Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	118	12.447257383966246	3.4610558014918395E-18	EHF, SPI1, JADE1, ARID4A, RORA, BACH1, ETS1, FGF2, ETS2, IKZF4, ELK3, RPS6KA3, SOX1, SALL1, MYB, KPNA6, HOXA7, RNF111, CDON, ACVR1, MEF2A, MED1, ZBTB38, EBF1, RFX3, SOX11, MITF, SOX10, FOXP1, NPAS4, PRKD1, ZFPM2, CBFB, KMT2A, EPAS1, GATA4, GATA3, PIK3R1, FOXO3, HIF1A, MED12L, NEUROD1, PPP3R1, TFAP2A, SMAD2, SMAD1, BCL11B, FZD5, NFATC3, PBX3, IGF1, ESR1, FOSL2, SMARCA4, CDK8, BMP2, MAFB, AGO1, SP3, CAPRIN2, TCF4, TCF3, GSK3B, ARF4, CSRNP2, THRB, CHD8, CHD7, SLC40A1, MED19, CTCF, CYR61, CDC73, NIPBL, ZIC3, TRPS1, MYBL1, NKX3-1, MKL2, PEG3, TCF12, EN2, ARNT, NRG1, ETV1, FOS, PROX1, CBFA2T2, SIRT1, CREB1, TFDP2, PAX8, IRF2, RHOQ, NFAT5, KDM3A, CEBPB, NFIX, PLAG1, SATB2, RNF4, RELA, STRN3, ATAD2B, GBX2, S1PR1, PLAGL2, MEF2D, TCF7L2, CDX1, NR1H3, ACVR2A, SKI, MEIS1, NFIA, NFIB, PAXBP1, CRLF3	867	981	16792	2.329680304093815	1.1712212832248385E-14	1.1712212832248385E-14	1.1556465321181252E-14
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	78	8.227848101265822	1.3916082389227597E-17	CDKN1C, EHF, SPI1, CHD8, SETD7, RORA, CTCF, ETS1, FGF2, ETS2, ELK3, GRIP1, FGF7, SALL1, ZIC3, GPBP1, MYB, SMARCAD1, SOX7, MYBL1, RNF111, NKX3-1, ACVR1, MED1, ARNT, RFX3, SOX11, MITF, FOS, PROX1, ARID1A, RUNX2, CREB1, PAX8, ASPH, KDM7A, KDM3A, KMT2A, GATA4, FOXK1, GATA3, BCL10, FOXO3, RNF4, HIF1A, RELA, CAMKK2, NEUROD1, HMBOX1, ERBB4, SERTAD2, TP53INP2, TP53INP1, MAPK1, RREB1, TFAP2A, SMAD2, MAP3K2, ZFHX3, NFYA, NFYB, SMARCA5, NFATC3, NR1H3, IGF1, NR2F2, FOXN2, GDF6, ESR1, SMAD5, SMARCA4, KLF7, BMP2, SP3, TCF4, TCF3, CRLF3, PICALM	867	515	16792	2.9333960425975074	4.709202280514619E-14	2.3546011402573094E-14	2.323289954881547E-14
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	86	9.071729957805907	5.123767342900608E-13	CDKN1C, THRB, SPI1, CHD8, WWC1, WWC2, CTCF, BMI1, BACH1, ETS2, CDC73, ELK4, NIPBL, SALL1, FGF9, TRPS1, SUFU, MYB, HOXA7, JARID2, DACT1, TLE4, MEF2A, MED1, PEG3, TSC22D3, SOX11, MITF, PEX2, DICER1, PROX1, ETV3, HCFC2, ARID1A, SIRT1, FOXP2, FOXP1, IRF2, ZMYND11, ZFPM2, NFIX, TSHZ3, SATB1, SATB2, GATA3, FOXO3, RELA, STRN3, PURB, CUX2, ATXN1L, FNIP2, RREB1, ZBTB18, TFAP2A, SMAD2, TCF7L2, SKOR1, ZFHX3, SMURF2, USP9X, PHF12, MBD2, NR1H3, NR2F2, ESR1, ACVR2B, GATAD2B, SMARCA4, SKI, BMP2, NFIA, NFIB, PKIA, CNOT2, SP3, CREBRF, RLIM, TCF4, MDM4, TCF3, CPEB3, MXD1, SIM2, FRK, RCOR1	867	720	16792	2.313392285018583	1.733853061125501E-9	5.779609562791887E-10	5.702753052648377E-10
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	67	7.067510548523207	5.401213615042198E-12	CSRNP2, EHF, SPI1, GTF2B, ARID4A, ARRB2, CTCF, BACH1, ETS1, ELK3, SOX1, ZIC3, TRPS1, MYB, HOXA7, MYBL1, MEF2A, TCF12, EBF1, SOX11, VEZF1, MITF, ETV1, FOS, SOX10, RUNX2, NPAS4, CREB1, PAX8, IRF2, LCORL, NFAT5, CEBPB, NFIX, CTDP1, KMT2A, CBFB, PLAG1, EPAS1, GATA4, GATA3, FOXO3, GTF2E1, HIF1A, RELA, NEUROD1, GBX2, SHOX, PLAGL2, HIVEP2, RREB1, MEF2D, TFAP2A, SMAD2, SMAD1, ZFHX3, BCL11B, NFYA, CDX1, NFATC3, PBX3, ESR1, MEIS1, MAFB, NFIA, NFIB, FUBP1	867	513	16792	2.5295354238473284	1.8277779068043287E-8	4.569426718325699E-9	4.508663065156474E-9
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	58	6.118143459915612	1.3895694177139497E-8	CDKN1C, CREBZF, KDM5B, CDKN1B, SPI1, CHD8, ARID4A, CTCF, IKZF4, ELK3, NIPBL, SALL1, MYB, HOXA7, JARID2, SOX7, NKX3-1, ZBTB38, RFX3, NRG1, PROX1, CBFA2T2, SOX10, SIRT1, FOXP2, RUNX2, FOXP1, TFDP2, ZFPM2, SMTNL1, CEBPB, TSHZ3, FOXG1, FOXK1, GATA3, RELA, STRN3, PURA, HMBOX1, ATXN1, ZNF703, RUNX1T1, ZBTB18, TFAP2A, SMAD2, TCF7L2, ZFHX3, SMURF2, PHF12, MBD2, NR2F2, SMARCA4, BMP2, SP3, RLIM, MAP3K10, RBAK, RCOR1	867	499	16792	2.251182873243603	4.7021923768042484E-5	9.40460581908801E-6	9.279544571493755E-6
GOTERM_BP_DIRECT	GO:0045669~positive regulation of osteoblast differentiation	17	1.7932489451476792	3.847447808704074E-8	FBN2, ACVR1, SMAD1, CEBPB, SOX11, IGF1, FGF2, SMAD5, ACVR2B, CYR61, ACVR2A, RUNX2, BMP2, GNAS, PRKD1, IL6ST, IL6R	867	60	16792	5.487581699346405	1.3018916087448318E-4	2.1699605641090976E-5	2.141104705543817E-5
GOTERM_BP_DIRECT	GO:0048015~phosphatidylinositol-mediated signaling	22	2.320675105485232	8.840177502281199E-8	CSF1R, PDPK1, GAB1, PDGFA, FRS2, NRG1, PIK3R1, IGF1, FGF2, IGF1R, TNRC6C, FGF7, PIK3CA, FGF9, ERBB3, RPS6KB1, ERBB4, AGO4, AGO1, KIT, GRB2, RICTOR	867	106	16792	4.019760179321451	2.9910687847689577E-4	3.790324659542051E-5	3.739921406090694E-5
GOTERM_BP_DIRECT	GO:0007399~nervous system development	39	4.113924050632911	8.960578391352367E-8	SEMA5A, PLPPR1, MYT1L, FGF2, PURA, GBX2, PCDHA1, FUT9, ERBB4, NTF3, PCDHA5, PCDHA4, SPOCK1, PCDHA3, PCDHA2, PCDHA8, MEF2D, PCDHAC2, GPM6B, PCDHA7, PCDHAC1, PCDHA6, MYLIP, DSCAM, BDNF, ST8SIA2, DYRK1A, NRG1, FOS, PCDHA11, PCDHA10, SMARCA4, DLG2, MAFB, KIF2A, DCX, CNTN4, ARHGEF7, SIM2	867	287	16792	2.631879724630168	3.03180017963256E-4	3.790324659542051E-5	3.739921406090694E-5
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	151	15.928270042194093	2.64773900614134E-7	MYT1L, WWC1, JADE1, RORA, ETS2, IKZF4, NR3C2, ELK4, SALL1, GPBP1, ARID2, SOX7, MAP3K7, MEF2A, TLE4, ZBTB39, TLE3, KDM2A, ZBTB38, ZFP3, EBF1, RFX3, FOXP2, EMSY, FOXP1, DMTF1, BCORL1, ZFPM2, KHDRBS2, CASZ1, TSHZ3, EPAS1, KMT2C, FOXG1, BAZ2B, NLK, HIF1A, MED12L, MBTD1, HMBOX1, ATXN1, MIER3, ZNF703, MCTS1, ZBTB18, SMAD2, SMAD1, PHF12, IRF2BP2, NR2F2, FOXN2, ESR1, SMAD5, FOSL2, SMARCA4, TADA2B, AGO1, CNOT2, SP3, CREBRF, HBP1, RNPS1, TCF3, RBAK, MXD1, BRWD1, SIM2, ZNF652, RCOR1, LHX8, CREBZF, KDM5B, PHF2, THRB, BNC2, CHD9, CHD8, CHD7, SETD7, MED19, FAM208A, BMI1, ZMYM2, ZNF248, ZNF644, JARID2, ZNF385A, NKX3-1, MKL2, PEG3, PDPK1, ARNT, PROX1, ETV3, ARID1A, CBFA2T2, SIRT1, TFDP2, PAX8, LCOR, ZMYND11, ZNF236, KDM7A, VGLL4, KDM3A, CEBPB, NFIX, SATB1, PLAG1, SATB2, ZNF518B, FOXK1, RNF4, SPTY2D1, PURB, PURA, CUX2, ZNF629, ERBB4, SERTAD2, SAP30L, TP53INP2, TP53INP1, ATXN1L, MAPK1, MEF2D, RUNX1T1, TCF7L2, SKOR1, MYEF2, IRX5, NFYB, PCGF3, MBD2, NR1H3, CDC5L, DMRT3, HIPK1, KLF3, GATAD2B, PNRC2, SKI, KLF7, ZNF618, NFIA, NFIB, POLR3E, RLIM, PKN2, PAXBP1, ZNF335	867	1955	16792	1.4959377221627332	8.955937145286308E-4	9.955498663091438E-5	9.823111712784372E-5
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	50	5.274261603375527	9.119731564088036E-7	GSK3B, TSSK1B, MYLK, RPS6KA3, AKAP13, TLK2, IKBKE, PSKH1, ACVR1, MORC3, PDPK1, DYRK1A, ADAM10, TGFBR2, CREB1, PIK3CA, PDIK1L, ALPK3, SGK3, PRKD1, CSNK1G2, PIK3R1, NLK, CAMKK1, CAMKK2, PAK1, MAPK1, FNIP2, MARK2, MARK1, SRPK2, SMAD2, MAP3K2, CSNK1A1, CDC42BPA, HIPK1, SMAD5, MAPK10, CDK8, TBCK, BMP2, MEX3B, SBK1, RPS6KB1, WNK1, TAOK1, WNK3, AAK1, PKN2, FRK	867	456	16792	2.123677128230033	0.003081361399688176	3.086117161287391E-4	3.045078369248995E-4
