Names	total	elements
GSE33814 GSE37031 GSE48452 GSE63067 GSE89632	1	IGFBP2
GSE33814 GSE37031 GSE48452 GSE89632	2	GADD45G
		SOCS2
GSE33814 GSE37031 GSE63067	2	GPR88
		GPAT3
GSE33814 GSE37031 GSE89632	9	GOLM1
		EFHD1
		IRS2
		UBD
		DNMT3L
		IGFBP1
		FOS
		THBS1
		CRISPLD2
GSE37031 GSE48452 GSE63067	1	TMEM154
GSE37031 GSE48452 GSE89632	5	FADS2
		TRHDE
		P4HA1
		FOSB
		ME1
GSE37031 GSE63067 GSE89632	6	RTP3
		PHLDA1
		IP6K3
		CEBPD
		SDC4
		IL1RN
GSE33814 GSE48452 GSE89632	1	STMN2
GSE33814 GSE63067 GSE89632	1	CCL20
GSE48452 GSE63067 GSE89632	1	PEG10
GSE33814 GSE37031	15	DEFB1
		CYP1A1
		LDLR
		HSPA1A
		ANGPTL8
		GPX2
		ALAS1
		CYP1A2
		TAT
		SYBU
		IL32
		FAT1
		C11orf96
		N4BP2L1
		OAT
GSE37031 GSE48452	1	CSRNP1
GSE37031 GSE63067	4	ZFP36L2
		SCD
		ENO3
		ELL2
GSE37031 GSE89632	28	NR4A2
		ATF3
		NFIL3
		EGR1
		LRRC31
		KLF6
		KLF4
		IER3
		ZFP36
		RCAN1
		SYT7
		MYC
		FMO1
		DUSP10
		RGS1
		TP53I3
		TMEM45B
		CRYAA
		ADAMTS1
		NR4A1
		JUNB
		GPAM
		MAMDC4
		JUN
		RND1
		APOL3
		MAFF
		SIK1
GSE33814 GSE48452	4	IGF1
		CFHR4
		THY1
		SPP1
GSE33814 GSE63067	7	BBOX1
		SRD5A2
		HPGD
		MME
		KLHL29
		TDO2
		COL1A2
GSE33814 GSE89632	25	AKR1B10
		C15orf52
		ANXA13
		ZNF385B
		FOXC1
		CDH15
		PIGR
		FCGBP
		LGALS4
		PRSS3
		KDELR3
		TNFRSF12A
		CCL2
		CA12
		ZMAT3
		EEF1A2
		TAGLN
		SLITRK3
		NR5A2
		LARP1B
		CDH23
		CDKN1A
		PMP22
		TRIM15
		CH25H
GSE48452 GSE89632	5	ISM1
		CYP7A1
		VIL1
		CXCL9
		FABP4
GSE63067 GSE89632	16	MBNL2
		IRF1
		TIPARP
		RALGDS
		C10orf10
		TMPRSS2
		BCL2A1
		FOSL2
		NAMPT
		DEFA1
		AKAP12
		AVPR1A
		TBX3
		PDE11A
		CASP4
		CD274
GSE37031	115	BTG2
		IER2
		TMEM139
		GDF15
		DEPDC7
		SLC12A8
		TSPAN3
		FBXO8
		TCIM
		TMEM19
		CRYM
		ALDOC
		SPTSSA
		STARD5
		DHRS7
		GATA6
		SHBG
		PPM1K
		CPEB3
		MYO5B
		HMCN1
		BAMBI
		PPBP
		TSC22D3
		H2BC7
		H2BC5
		HAL
		NUPR1
		GALNT18
		ADSS1
		CCN2
		RAMP1
		EGR2
		FST
		KLF2
		SLC1A2
		SLC38A2
		FDFT1
		DUSP1
		SQLE
		ANO10
		RGCC
		KDM8
		RND3
		FCAMR
		TRIB1
		ADRB2
		DHCR7
		ABHD18
		THRSP
		INHBB
		ARRDC4
		RDH11
		MCL1
		NSDHL
		TRIM47
		WEE1
		ACSS2
		SLC25A25
		H2BC12
		SLC23A1
		GAREM1
		DUSP6
		TCP10L
		AASS
		POGLUT2
		PABPC1L
		ZFP36L1
		ORMDL2
		FNDC5
		RHOB
		IDI1
		ELOVL6
		CPA3
		FMO5
		NCOR1
		SLC16A4
		ABCB4
		ZBTB10
		PLPPR1
		INHBE
		PHF8
		TGIF1
		ZFAND5
		REL
		CENPV
		CCN1
		RANGRF
		HSPA1B
		G6PC1
		CETN2
		AJUBA
		CSTB
		ABCB11
		PER1
		PPP1R3C
		CPS1-IT1
		IRF8
		SIRT1
		HPS5
		UPF3B
		APOA4
		AKR1C3
		RAD54L2
		GPT2
		AGBL2
		CTSZ
		EBLN2
		TM6SF2
		TENT5A
		SLC16A1
		RETREG1
		EFCAB11
		SLC19A2
		ANKRD37
GSE33814	383	COBLL1
		CHPT1
		KCNMA1
		PYROXD2
		CYP26A1
		PFKP
		GSTA1
		CFHR5
		CYBA
		TMSB10
		CYP39A1
		LAMA2
		RIDA
		MMP7
		FAM134B
		ID3
		RGN
		FOXQ1
		ARL2
		RCL1
		MSN
		SLCO1B3
		EPDR1
		SUSD2
		SORL1
		FASN
		ACSM3
		CYP2C19
		CLDN11
		COL1A1
		A1CF
		LTBP4
		TAGLN2
		CLEC1B
		CCL19
		BHMT
		PODN
		RAPH1
		GSTA2
		LGALS1
		MAOA
		GYPC
		PON1
		F2RL1
		NTHL1
		MZB1
		HYOU1
		SORT1
		DNASE1L3
		BCHE
		ADI1
		C8orf4
		SCP2
		HAO1
		HSD17B11
		ATP11C
		CRHBP
		PTRF
		GPI
		ALAD
		RGS4
		IGFALS
		AKR1B15
		VSNL1
		DPYD
		IGFBP7
		EZR
		SLC38A4
		SLC47A1
		VTCN1
		JAG1
		MT1M
		IDNK
		PIGP
		HLF
		COLEC11
		GSTP1
		TRIM55
		CXCL8
		CNGA1
		CLDN7
		VWA1
		IGLL1
		ATP1A1
		NR1I3
		FCN2
		F11
		MT1G
		MMP23B
		LYRM5
		FXYD2
		PROX1
		PPARGC1A
		CD151
		MTHFD1
		IL13RA2
		SOX9
		HPR
		PDGFRB
		ALDH6A1
		FBLN1
		SVEP1
		ANO1
		C1orf198
		ATP8B4
		GSN
		CD248
		CACNA1H
		SLC51B
		FAM3B
		LXN
		SPON1
		CHST4
		BOLA2
		FHL2
		VIM
		LTB
		LGALS3BP
		HSPA2
		ANTXR1
		ST3GAL6
		AQP11
		LGSN
		USH2A
		CFHR1
		SEZ6L2
		EGFLAM
		PCK1
		KBTBD11
		SLPI
		H2AFY2
		VWF
		FAM129B
		TPM1
		CIDEC
		SC5D
		SLC35G1
		CLEC4M
		LAMC3
		MGP
		CLDN10
		ACLY
		SLCO1B1
		ITM2C
		PLCXD3
		ADAMTSL2
		IL1RAP
		TXNDC5
		PER2
		DMGDH
		CD3D
		RAB25
		DNAJC12
		ENPP2
		S100A6
		CYP4A11
		GRB14
		MT1X
		TIMP1
		BAIAP2L2
		MCEE
		PIEZO1
		ALDOA
		ABHD17C
		AADAT
		PDK4
		IL27
		GCLC
		PDE1A
		ALDH5A1
		EPHX2
		FAM151A
		EPCAM
		MVP
		ADCY1
		TCEAL9
		EFEMP1
		WFS1
		HSD17B13
		ADGRG1
		SMOC2
		PHLDB1
		ANXA2
		SCTR
		RTN4
		GGH
		LINC00890
		GPC4
		DPT
		ALDH1L1
		CCL23
		LUM
		MOXD1
		EPHA3
		MFAP4
		TMED3
		SKAP1
		FITM1
		SERPINH1
		SLC10A1
		ACADM
		CD24
		CDC14B
		C9orf72
		PTGDS
		ACADSB
		MT1E
		SFXN1
		SERPINE2
		CCDC3
		MFGE8
		CDO1
		S100A4
		ANXA10
		FNIP2
		CTSG
		ISLR
		DKK3
		JAML
		ADHFE1
		SLC6A1
		GYS2
		FMO3
		PLAT
		LPA
		CXCL2
		NQO1
		CYP4F2
		SIRT5
		IGFBP6
		TMPRSS3
		PSAT1
		SLC22A15
		NAT2
		GBP1
		TAX1BP3
		F13B
		AKR1D1
		NKD2
		GNE
		ACAT2
		GNMT
		NEU4
		CD52
		TACSTD2
		EFEMP2
		ABAT
		HPRT1
		TUBA1C
		AEBP1
		TXNRD1
		CYP3A43
		THBS2
		RASL11B
		CA2
		MARC2
		ASNS
		MAPK13
		SORD
		ADH4
		BICC1
		ADAP1
		SMIM14
		HTRA1
		GLYAT
		PROM1
		ID2
		INMT
		ST14
		METTL7A
		SRC
		COX7A1
		KRT7
		MSMO1
		RABEPK
		MAT1A
		IL7R
		LRRC1
		CMBL
		KRT19
		CCL21
		FMO2
		C11orf1
		IYD
		COL4A1
		RNASE1
		SPP2
		CCL5
		HAO2
		PLGLA
		C1orf53
		MT1F
		FAM162A
		CHP1
		PLPP3
		ACMSD
		CLIP3
		LOXL4
		HAAO
		ADH1B
		KCNN2
		CAT
		GSTZ1
		RARRES1
		TPM2
		NREP
		CNDP1
		GPC3
		FCN3
		GBA3
		CXCL6
		PDGFRA
		CLEC4G
		AGMO
		PPP1R1A
