Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	4	9.30232558139535	0.002851270254367432	6364, 2354, 2353, 6347	26	94	8142	13.325695581014731	0.3352299118548687	0.39593576210133075	0.39316698054817456
KEGG_PATHWAY	hsa04935:Growth hormone synthesis, secretion and action	4	9.30232558139535	0.005537563106312318	8660, 3479, 2353, 8835	26	119	8142	10.52617970265029	0.5479995806477511	0.39593576210133075	0.39316698054817456
KEGG_PATHWAY	hsa05224:Breast cancer	4	9.30232558139535	0.009913036397913563	10912, 4609, 3479, 2353	26	147	8142	8.521193092621663	0.759404257161922	0.4136340259620794	0.4107414803259809
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	5	11.627906976744185	0.011570182544393829	10912, 4609, 3479, 2353, 3164	26	294	8142	5.32574568288854	0.8106545630305511	0.4136340259620794	0.4107414803259809
KEGG_PATHWAY	hsa04115:p53 signaling pathway	3	6.976744186046512	0.02082238220008115	10912, 7057, 3479	26	73	8142	12.869336143308747	0.9506608893401617	0.573495702463645	0.5694852430058573
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	4	9.30232558139535	0.024062756746726366	7057, 4609, 6385, 3479	26	205	8142	6.110318949343339	0.9692864153400795	0.573495702463645	0.5694852430058573
KEGG_PATHWAY	hsa05210:Colorectal cancer	3	6.976744186046512	0.028266423263901573	10912, 4609, 2353	26	86	8142	10.92397137745975	0.9834327304609378	0.5774426466768464	0.5734045862105748
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	3	6.976744186046512	0.032656366672028814	6364, 2353, 6347	26	93	8142	10.101736972704716	0.9913293590259632	0.583732554262515	0.5796505084285114
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	3	6.976744186046512	0.03729772161273479	57007, 6364, 6347	26	100	8142	9.394615384615385	0.9956413103327194	0.5926193545134528	0.588475163223149
KEGG_PATHWAY	hsa04668:TNF signaling pathway	3	6.976744186046512	0.04580548604937354	6364, 2353, 6347	26	112	8142	8.38804945054945	0.9987751613354535	0.6550184505060417	0.6504379019011042
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	4	9.30232558139535	0.060143314462450866	57007, 6364, 3557, 6347	26	295	8142	4.246153846153846	0.9998594555132463	0.7218942558972531	0.7168460443175521
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	3	6.976744186046512	0.060578538956412846	10912, 8660, 3479	26	131	8142	7.171462125660599	0.9998684628983594	0.7218942558972531	0.7168460443175521
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	3	6.976744186046512	0.06723296200167148	6385, 2353, 6347	26	139	8142	6.758716104039846	0.9999524044596154	0.7395625820183862	0.7343908157105654
KEGG_PATHWAY	hsa01040:Biosynthesis of unsaturated fatty acids	2	4.651162790697675	0.07979984026396206	9415, 3992	26	27	8142	23.1965811965812	0.9999931582135063	0.8150983684104696	0.8093983798201866
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	4	9.30232558139535	0.09255588925947025	7057, 4609, 3479, 3164	26	354	8142	3.5384615384615388	0.9999990705120559	0.8823661442736164	0.8761957516563184
