ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0019216	regulation of lipid metabolic process	11/73	431/18866	7.75790959692423e-07	0.00158649251257101	0.00124126553550788	8660/4199/55908/1917/150094/8835/3949/1958/51280/9314/57678	11
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	4/73	40/18866	1.69656642510777e-05	0.0091529538720271	0.00716123530329749	2353/1958/3725/9314	4
GO:0071277	cellular response to calcium ion	5/73	83/18866	1.73317770141306e-05	0.0091529538720271	0.00716123530329749	3726/2353/3725/9066/2354	5
GO:0051384	response to glucocorticoid	6/73	147/18866	2.23788603228046e-05	0.0091529538720271	0.00716123530329749	1026/3557/7538/3485/2353/2354	6
GO:0051592	response to calcium ion	6/73	147/18866	2.23788603228046e-05	0.0091529538720271	0.00716123530329749	3726/2353/7057/3725/9066/2354	6
GO:0045444	fat cell differentiation	7/73	235/18866	3.44753322672624e-05	0.0110607359523463	0.00865387653973303	7538/11221/55908/1052/9314/4929/3164	7
GO:0031960	response to corticosteroid	6/73	164/18866	4.14244842793281e-05	0.0110607359523463	0.00865387653973303	1026/3557/7538/3485/2353/2354	6
GO:1902893	regulation of pri-miRNA transcription by RNA polymerase II	4/73	51/18866	4.49245119344443e-05	0.0110607359523463	0.00865387653973303	2353/1958/3725/9314	4
GO:0061614	pri-miRNA transcription by RNA polymerase II	4/73	53/18866	5.23346523901443e-05	0.0110607359523463	0.00865387653973303	2353/1958/3725/9314	4
GO:0048545	response to steroid hormone	8/73	346/18866	5.62290790844926e-05	0.0110607359523463	0.00865387653973303	1026/3557/7538/3485/2353/7057/57678/2354	8
GO:0051412	response to corticosterone	3/73	20/18866	6.04358610937628e-05	0.0110607359523463	0.00865387653973303	1026/2353/2354	3
GO:0036499	PERK-mediated unfolded protein response	3/73	21/18866	7.03127468853308e-05	0.0110607359523463	0.00865387653973303	3484/467/6347	3
GO:0140467	integrated stress response signaling	3/73	21/18866	7.03127468853308e-05	0.0110607359523463	0.00865387653973303	3484/467/6347	3
GO:0006986	response to unfolded protein	6/73	183/18866	7.62148920216394e-05	0.011132818156018	0.00871027337390165	3484/11015/467/7057/6347/3303	6
GO:0034976	response to endoplasmic reticulum stress	7/73	294/18866	0.000140581327487932	0.0177385885458886	0.0138786022852918	3484/11015/467/7057/6347/3725/3303	7
GO:0035966	response to topologically incorrect protein	6/73	205/18866	0.000142145436684736	0.0177385885458886	0.0138786022852918	3484/11015/467/7057/6347/3303	6
GO:0035914	skeletal muscle cell differentiation	4/73	69/18866	0.000147460149281226	0.0177385885458886	0.0138786022852918	2353/467/1958/23764	4
GO:0034612	response to tumor necrosis factor	7/73	320/18866	0.000236344938048647	0.0241407608857621	0.0188876368788359	7538/51330/7057/10537/6347/6364/3303	7
GO:0051385	response to mineralocorticoid	3/73	32/18866	0.000254327902763973	0.0241407608857621	0.0188876368788359	1026/2353/2354	3
GO:0034620	cellular response to unfolded protein	5/73	146/18866	0.000254994395774964	0.0241407608857621	0.0188876368788359	3484/11015/467/6347/3303	5
GO:0030099	myeloid cell differentiation	8/73	431/18866	0.00025511707690873	0.0241407608857621	0.0188876368788359	7538/4609/3726/2353/7057/10537/3725/3303	8
GO:0070371	ERK1 and ERK2 cascade	7/73	325/18866	0.000259705007083994	0.0241407608857621	0.0188876368788359	11221/4609/467/6347/3725/6364/9314	7
GO:0006739	NADP metabolic process	3/73	35/18866	0.000332817860344083	0.0295918488871152	0.0231525468065449	4199/2326/9540	3
GO:0033002	muscle cell proliferation	6/73	244/18866	0.000363342488152344	0.0309598078446476	0.0242228325434896	1026/9510/2296/7057/3725/9314	6
GO:0002683	negative regulation of immune system process	8/73	463/18866	0.000411941415652306	0.0333062359538664	0.0260586687169615	7538/11221/4609/6385/7057/6347/3949/57678	8
GO:0055088	lipid homeostasis	5/73	163/18866	0.000423453366650624	0.0333062359538664	0.0260586687169615	8660/2494/55908/3949/57678	5
GO:0031668	cellular response to extracellular stimulus	6/73	253/18866	0.000440364048968914	0.0333534992644974	0.026095647346306	1026/2353/150094/467/3725/4929	6
GO:0035967	cellular response to topologically incorrect protein	5/73	166/18866	0.000460264056510594	0.0336157141272916	0.0263008032291768	3484/11015/467/6347/3303	5
GO:0010038	response to metal ion	7/73	366/18866	0.000530132496018878	0.0359328596594683	0.0281137288289238	3726/3485/2353/7057/3725/9066/2354	7
GO:0045637	regulation of myeloid cell differentiation	6/73	263/18866	0.000540319645757199	0.0359328596594683	0.0281137288289238	7538/4609/2353/7057/3725/3303	6
GO:0048660	regulation of smooth muscle cell proliferation	5/73	173/18866	0.000555516869052232	0.0359328596594683	0.0281137288289238	1026/9510/7057/3725/9314	5
GO:0030522	intracellular receptor signaling pathway	6/73	265/18866	0.000562274576578476	0.0359328596594683	0.0281137288289238	2494/89870/4929/3164/57678/3303	6
GO:0048659	smooth muscle cell proliferation	5/73	175/18866	0.000585269569342659	0.0362689778577496	0.0283767063923714	1026/9510/7057/3725/9314	5
GO:0019432	triglyceride biosynthetic process	3/73	43/18866	0.000613782205137489	0.0369171943972402	0.0288838684770583	150094/3949/57678	3
GO:0072203	cell proliferation involved in metanephros development	2/73	10/18866	0.000651344691190829	0.0378072663948548	0.0295802573260477	4609/1958	2
GO:1903706	regulation of hemopoiesis	8/73	498/18866	0.000665555789836074	0.0378072663948548	0.0295802573260477	7538/11221/4609/2353/2296/7057/3725/3303	8
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	6/73	277/18866	0.000708988211409254	0.039185970063025	0.0306589496825624	3557/1013/22865/64072/9314/2195	6
GO:0032570	response to progesterone	3/73	46/18866	0.000748731857997348	0.0398318631565136	0.0311642939121867	2353/7057/2354	3
GO:0034115	negative regulation of heterotypic cell-cell adhesion	2/73	11/18866	0.000794094823290953	0.0398318631565136	0.0311642939121867	3557/9314	2
GO:0070587	regulation of cell-cell adhesion involved in gastrulation	2/73	11/18866	0.000794094823290953	0.0398318631565136	0.0311642939121867	3557/9314	2
GO:0050678	regulation of epithelial cell proliferation	7/73	395/18866	0.000830892729240358	0.0398318631565136	0.0311642939121867	7538/11221/4609/7057/6347/3725/3164	7
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	4/73	109/18866	0.000844656093270886	0.0398318631565136	0.0311642939121867	467/1958/3725/3303	4
GO:0071248	cellular response to metal ion	5/73	193/18866	0.000909873597371928	0.0398318631565136	0.0311642939121867	3726/2353/3725/9066/2354	5
GO:0070586	cell-cell adhesion involved in gastrulation	2/73	12/18866	0.000950528677945187	0.0398318631565136	0.0311642939121867	3557/9314	2
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	2/73	12/18866	0.000950528677945187	0.0398318631565136	0.0311642939121867	3725/3303	2
GO:0002696	positive regulation of leukocyte activation	7/73	406/18866	0.000975170564558925	0.0398318631565136	0.0311642939121867	1026/8660/11221/3485/7057/6347/57678	7
GO:0006984	ER-nucleus signaling pathway	3/73	51/18866	0.00101304217200974	0.0398318631565136	0.0311642939121867	3484/467/6347	3
GO:0046460	neutral lipid biosynthetic process	3/73	51/18866	0.00101304217200974	0.0398318631565136	0.0311642939121867	150094/3949/57678	3
GO:0046463	acylglycerol biosynthetic process	3/73	51/18866	0.00101304217200974	0.0398318631565136	0.0311642939121867	150094/3949/57678	3
GO:0048146	positive regulation of fibroblast proliferation	3/73	51/18866	0.00101304217200974	0.0398318631565136	0.0311642939121867	1026/4609/3725	3
GO:0071356	cellular response to tumor necrosis factor	6/73	297/18866	0.00101764457977709	0.0398318631565136	0.0311642939121867	7538/51330/7057/6347/6364/3303	6
GO:0043620	regulation of DNA-templated transcription in response to stress	4/73	115/18866	0.00103150403393209	0.0398318631565136	0.0311642939121867	467/1958/3725/3303	4
GO:1901654	response to ketone	5/73	200/18866	0.00106679253844801	0.0398318631565136	0.0311642939121867	1026/2353/7057/9314/2354	5
GO:0038066	p38MAPK cascade	3/73	52/18866	0.00107209416224152	0.0398318631565136	0.0311642939121867	7538/11221/10912	3
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	3/73	52/18866	0.00107209416224152	0.0398318631565136	0.0311642939121867	51330/467/7057	3
GO:0031099	regeneration	5/73	201/18866	0.00109075028692653	0.0398318631565136	0.0311642939121867	1026/11221/3484/3725/9314	5
GO:1903708	positive regulation of hemopoiesis	5/73	204/18866	0.00116502431978774	0.0414651739637586	0.0324421898982952	11221/2353/2296/3725/3303	5
GO:0070372	regulation of ERK1 and ERK2 cascade	6/73	306/18866	0.00118633253728152	0.0414651739637586	0.0324421898982952	11221/467/6347/3725/6364/9314	6
GO:0050867	positive regulation of cell activation	7/73	421/18866	0.00120303487416093	0.0414651739637586	0.0324421898982952	1026/8660/11221/3485/7057/6347/57678	7
GO:0042594	response to starvation	5/73	206/18866	0.00121658212118607	0.0414651739637586	0.0324421898982952	1026/7538/150094/467/3725	5
GO:0009612	response to mechanical stimulus	5/73	209/18866	0.00129706422382731	0.0418415959737205	0.0327367010063339	3485/2353/7057/3725/2354	5
GO:0072216	positive regulation of metanephros development	2/73	14/18866	0.00130402769410099	0.0418415959737205	0.0327367010063339	4609/1958	2
GO:1901722	regulation of cell proliferation involved in kidney development	2/73	14/18866	0.00130402769410099	0.0418415959737205	0.0327367010063339	4609/1958	2
GO:0002573	myeloid leukocyte differentiation	5/73	210/18866	0.0013247470041925	0.0418415959737205	0.0327367010063339	4609/3726/2353/10537/3725	5
GO:0010332	response to gamma radiation	3/73	56/18866	0.00132992847838231	0.0418415959737205	0.0327367010063339	1026/4609/1958	3
GO:0030968	endoplasmic reticulum unfolded protein response	4/73	125/18866	0.00140463606382731	0.0435224356140432	0.0340517833655106	3484/11015/467/6347	4
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	2/73	15/18866	0.00150088439537292	0.0451368910079062	0.0353149269499511	467/7057	2
GO:1903960	negative regulation of anion transmembrane transport	2/73	15/18866	0.00150088439537292	0.0451368910079062	0.0353149269499511	8660/7057	2
GO:0022407	regulation of cell-cell adhesion	7/73	439/18866	0.00152959099868069	0.0453335303232176	0.0354687767810015	3557/11221/3485/6385/6347/9314/57678	7
GO:0050670	regulation of lymphocyte proliferation	5/73	219/18866	0.00159395698152147	0.0464711475002162	0.0363588440099491	1026/8660/3485/6385/57678	5
GO:0071496	cellular response to external stimulus	6/73	326/18866	0.00163765752994878	0.0464711475002162	0.0363588440099491	1026/2353/150094/467/3725/4929	6
GO:0032944	regulation of mononuclear cell proliferation	5/73	221/18866	0.00165887225795393	0.0464711475002162	0.0363588440099491	1026/8660/3485/6385/57678	5
GO:0071241	cellular response to inorganic substance	5/73	221/18866	0.00165887225795393	0.0464711475002162	0.0363588440099491	3726/2353/3725/9066/2354	5
GO:1903037	regulation of leukocyte cell-cell adhesion	6/73	329/18866	0.00171528559260881	0.0474021491470949	0.0370872560564067	11221/3485/6385/6347/9314/57678	6
GO:0050673	epithelial cell proliferation	7/73	453/18866	0.00182849589761413	0.0492322279280033	0.0385191025353571	7538/11221/4609/7057/6347/3725/3164	7
GO:0044706	multi-multicellular organism process	5/73	226/18866	0.00182965737042946	0.0492322279280033	0.0385191025353571	3726/3485/2353/23764/2354	5
