ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04115	p53 signaling pathway	5/44	73/8157	4.13666596741683e-05	0.00632909893014775	0.00452856063801422	1026/7057/64393/10912/9540	5
hsa05210	Colorectal cancer	5/44	86/8157	9.10643963418914e-05	0.00696642632015469	0.00498457748397721	1026/4609/2353/3725/10912	5
hsa04657	IL-17 signaling pathway	5/44	94/8157	0.000139021224308665	0.00709008243974193	0.00507305520284252	2353/6347/3725/6364/2354	5
hsa04668	TNF signaling pathway	5/44	112/8157	0.000316230170173961	0.012095804009154	0.0086547204468663	3726/2353/6347/3725/6364	5
hsa05167	Kaposi sarcoma-associated herpesvirus infection	6/44	194/8157	0.000556935387351464	0.0170422228529548	0.0121939537441163	1026/7538/4609/2353/3725/1827	6
hsa04010	MAPK signaling pathway	7/44	294/8157	0.000895531183973854	0.0191886580383529	0.0137297587615321	11221/4609/2353/3725/10912/3164/3303	7
hsa05216	Thyroid cancer	3/44	37/8157	0.00100118676018766	0.0191886580383529	0.0137297587615321	1026/4609/10912	3
hsa05224	Breast cancer	5/44	147/8157	0.00109488989544233	0.0191886580383529	0.0137297587615321	1026/4609/2353/3725/10912	5
hsa05166	Human T-cell leukemia virus 1 infection	6/44	222/8157	0.00112874459049134	0.0191886580383529	0.0137297587615321	1026/7538/4609/2353/1958/3725	6
hsa05219	Bladder cancer	3/44	41/8157	0.00135308491093012	0.0207021991372309	0.0148127190249193	1026/4609/7057	3
hsa05323	Rheumatoid arthritis	4/44	93/8157	0.00151686118257051	0.0210981600848444	0.01509603473563	2353/6347/3725/6364	4
hsa04928	Parathyroid hormone synthesis, secretion and action	4/44	106/8157	0.00245304717347633	0.0312763514618232	0.022378675968556	1026/2353/1958/4929	4
hsa05213	Endometrial cancer	3/44	58/8157	0.00367468543815898	0.0407333033586481	0.0291452600570994	1026/4609/10912	3
hsa04935	Growth hormone synthesis, secretion and action	4/44	119/8157	0.00372723037268675	0.0407333033586481	0.0291452600570994	8660/3726/2353/8835	4
hsa04380	Osteoclast differentiation	4/44	128/8157	0.00483473884951705	0.0493143362650739	0.0352851116034929	3726/2353/3725/2354	4
