Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04935:Growth hormone synthesis, secretion and action	3	23.076923076923077	0.0020512502515022198	SOCS2, IRS2, FOS	6	119	8156	34.26890756302521	0.16359476657454552	0.17845877188069312	0.17845877188069312
KEGG_PATHWAY	hsa04930:Type II diabetes mellitus	2	15.384615384615385	0.02789055185880383	SOCS2, IRS2	6	46	8156	59.10144927536232	0.9146469035224177	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	2	15.384615384615385	0.04219304109132698	SOCS2, FOS	6	70	8156	38.838095238095235	0.9764936627986097	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04115:p53 signaling pathway	2	15.384615384615385	0.043968949727656324	THBS1, GADD45G	6	73	8156	37.242009132420094	0.9799984433740797	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa05210:Colorectal cancer	2	15.384615384615385	0.05163414021728459	FOS, GADD45G	6	86	8156	31.612403100775193	0.9900710278212037	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	2	15.384615384615385	0.07778873193330796	IRS2, GADD45G	6	131	8156	20.75318066157761	0.9991285410811581	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04210:Apoptosis	2	15.384615384615385	0.08065880096519819	FOS, GADD45G	6	136	8156	19.99019607843137	0.9993355307464019	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	2	15.384615384615385	0.08123195632533182	SOCS2, IRS2	6	137	8156	19.844282238442823	0.999370621835721	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa05224:Breast cancer	2	15.384615384615385	0.08694780314869022	FOS, GADD45G	6	147	8156	18.49433106575964	0.9996343061136989	0.7960497190129115	0.7960497190129115
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease	2	15.384615384615385	0.09149996770263352	IRS2, FOS	6	155	8156	17.539784946236555	0.9997632606797713	0.7960497190129115	0.7960497190129115
