"111111111111111111111111111111111111111111111111111111111111111111111111111111XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000000000"
"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"miRNA_ID"	"SPOT_ID"
"106"	"3.93e-11"	"3.25e-13"	"8.4727"	"19.6771"	"2.7035"	"hsa-miR-221"	"NA"
"619"	"2.84e-10"	"5.68e-12"	"-7.8817"	"16.8706"	"-1.2067"	"hsa-miR-520f"	""
"702"	"2.84e-10"	"7.56e-12"	"-7.8224"	"16.5911"	"-1.182"	"hsa-miR-520d"	""
"1605"	"2.84e-10"	"9.39e-12"	"-7.7773"	"16.3786"	"-1.8175"	"hsa-miR-424"	"NA"
"196"	"1.01e-09"	"4.17e-11"	"-7.4658"	"14.9188"	"-2.236"	"hsa-miR-101"	"NA"
"144"	"3.30e-09"	"1.75e-10"	"7.1632"	"13.5147"	"2.3893"	"hsa-miR-222"	"NA"
"1533"	"3.30e-09"	"1.91e-10"	"-7.1448"	"13.4302"	"-1.0743"	"hsa-miR-422a"	"NA"
"1686"	"1.85e-07"	"1.22e-08"	"-6.2448"	"9.3687"	"-1.8936"	"hsa-miR-29c"	"NA"
"1575"	"3.17e-07"	"2.36e-08"	"-6.0988"	"8.7291"	"-1.6345"	"hsa-miR-188"	"NA"
"130"	"8.84e-07"	"7.30e-08"	"-5.8445"	"7.6315"	"-1.3629"	"hsa-miR-148a"	"NA"
"1120"	"9.32e-07"	"8.48e-08"	"5.8107"	"7.487"	"1.764"	"hsa-miR-25"	"NA"
"135"	"1.44e-06"	"1.43e-07"	"5.6919"	"6.9826"	"1.4803"	"hsa-miR-34a"	"NA"
"109"	"1.65e-06"	"1.78e-07"	"5.641"	"6.7682"	"1.7867"	"hsa-miR-15b"	"NA"
"84"	"6.39e-06"	"7.40e-07"	"5.3077"	"5.3879"	"1.551"	"hsa-miR-191"	"NA"
"324"	"1.59e-05"	"1.97e-06"	"5.0724"	"4.4405"	"1.0684"	"hsa-let-7i"	"NA"
"804"	"1.75e-05"	"2.32e-06"	"-5.0332"	"4.2849"	"-1.0254"	"hsa-miR-520b"	""
"1057"	"3.03e-05"	"4.26e-06"	"4.8837"	"3.6984"	"1.4941"	""	"PREDICTED_MIR189"
"177"	"3.64e-05"	"5.42e-06"	"-4.8243"	"3.468"	"-1.6178"	"hsa-miR-215"	"NA"
"270"	"3.69e-05"	"5.80e-06"	"4.8072"	"3.4023"	"1.0124"	"hsa-miR-103"	"NA"
"232"	"6.26e-05"	"1.03e-05"	"-4.6619"	"2.8475"	"-1.1483"	"hsa-miR-29b"	"NA"
"1629"	"7.28e-05"	"1.26e-05"	"-4.611"	"2.6556"	"-1.1105"	"hsa-miR-422b"	"NA"
"265"	"1.91e-04"	"3.48e-05"	"4.3486"	"1.688"	"1.1582"	"hsa-miR-93"	""
"1498"	"2.52e-04"	"4.80e-05"	"-4.263"	"1.3804"	"-0.8438"	"hsa-miR-134"	"NA"
"169"	"2.77e-04"	"5.53e-05"	"4.2251"	"1.2458"	"1.3139"	"hsa-miR-181a"	"NA"
"853"	"2.77e-04"	"5.73e-05"	"-4.2154"	"1.2112"	"-1.3376"	""	"PREDICTED_MIR166"
"1704"	"2.89e-04"	"6.21e-05"	"4.1937"	"1.1345"	"1.2202"	"hsa-miR-342"	"NA"
"1648"	"4.59e-04"	"1.03e-04"	"4.0575"	"0.6591"	"1.3369"	"hsa-miR-106b"	"NA"
"694"	"7.27e-04"	"1.68e-04"	"-3.9199"	"0.19"	"-0.6534"	"hsa-miR-523"	""
"202"	"7.30e-04"	"1.75e-04"	"3.9091"	"0.1536"	"1.0417"	"hsa-miR-30d"	"NA"
"1192"	"7.91e-04"	"1.96e-04"	"-3.8766"	"0.0448"	"-1.1483"	"hsa-miR-26b"	"NA"
"1576"	"1.04e-03"	"2.67e-04"	"-3.7887"	"-0.2465"	"-1.0672"	"hsa-miR-155"	"NA"
"748"	"1.26e-03"	"3.33e-04"	"-3.7256"	"-0.4526"	"-1.506"	"hsa-miR-451"	"NA"
"93"	"1.26e-03"	"3.42e-04"	"3.7171"	"-0.4799"	"0.745"	"hsa-miR-107"	"NA"
"1764"	"1.29e-03"	"3.61e-04"	"-3.7016"	"-0.5301"	"-1.0695"	"hsa-miR-365"	"NA"
"582"	"1.55e-03"	"4.48e-04"	"-3.6387"	"-0.732"	"-0.6116"	"hsa-miR-181d"	"NA"
"1819"	"2.14e-03"	"6.40e-04"	"-3.5328"	"-1.0658"	"-1.2428"	""	"PREDICTED_MIR165"
"1093"	"2.14e-03"	"6.54e-04"	"3.5262"	"-1.0865"	"1.3327"	""	"PREDICTED_MIR191"
"168"	"3.15e-03"	"9.91e-04"	"-3.4"	"-1.4739"	"-0.5995"	"hsa-miR-30c"	"NA"
"1501"	"3.19e-03"	"1.03e-03"	"3.3883"	"-1.5096"	"0.895"	"hsa-miR-185"	"NA"
"162"	"4.44e-03"	"1.47e-03"	"-3.2775"	"-1.8397"	"-0.9695"	"hsa-miR-100"	"NA"
"1204"	"4.72e-03"	"1.60e-03"	"-3.2505"	"-1.9187"	"-0.6169"	""	"PREDICTED_MIR206"
"718"	"5.14e-03"	"1.78e-03"	"3.2161"	"-2.019"	"1.0533"	"hsa-miR-146b"	"NA"
"1671"	"5.33e-03"	"1.89e-03"	"3.1967"	"-2.075"	"0.8558"	"hsa-miR-331"	"NA"
"1642"	"5.34e-03"	"1.94e-03"	"3.1888"	"-2.0978"	"1.1555"	"hsa-miR-150"	"NA"
"216"	"6.66e-03"	"2.48e-03"	"3.11"	"-2.3222"	"0.9426"	"hsa-miR-224"	"NA"
"226"	"8.06e-03"	"3.06e-03"	"3.0401"	"-2.5176"	"1.0119"	"hsa-miR-125a"	"NA"
"792"	"8.31e-03"	"3.23e-03"	"-3.0229"	"-2.5651"	"-1.0703"	"hsa-miR-202"	"NA"
"1153"	"9.18e-03"	"3.64e-03"	"-2.9825"	"-2.6758"	"-0.9241"	"hsa-miR-19b"	"NA"
"231"	"1.08e-02"	"4.43e-03"	"2.9165"	"-2.8539"	"0.9228"	"hsa-miR-92"	""
"129"	"1.08e-02"	"4.45e-03"	"-2.9148"	"-2.8584"	"-0.7825"	"hsa-miR-192"	"NA"
"1240"	"1.47e-02"	"6.21e-03"	"-2.7998"	"-3.1608"	"-1.075"	""	"PREDICTED_MIR207"
"1584"	"1.52e-02"	"6.53e-03"	"-2.7818"	"-3.2072"	"-0.6595"	"hsa-miR-30e-5p"	"NA"
"282"	"1.56e-02"	"6.85e-03"	"2.765"	"-3.2503"	"0.9288"	"hsa-miR-210"	"NA"
"559"	"1.63e-02"	"7.27e-03"	"-2.7442"	"-3.3034"	"-0.9546"	"hsa-miR-516-3p"	""
"141"	"2.38e-02"	"1.09e-02"	"2.5962"	"-3.6709"	"0.7873"	"hsa-miR-214"	"NA"
