"ID"	"adj.P.Val"	"P.Value"	"SPOT_ID"
"hsa-miR-665"	"7.49e-12"	"1.02e-14"	""
"hsa-miR-1228*"	"3.88e-11"	"1.05e-13"	"NA"
"hsa-miR-149*"	"5.18e-11"	"2.10e-13"	""
"hsa-miR-92b*"	"7.46e-11"	"4.04e-13"	""
"hsa-miR-583"	"9.96e-11"	"7.93e-13"	""
"hsa-miR-541"	"9.96e-11"	"8.10e-13"	""
"hsa-miR-631"	"1.25e-10"	"1.18e-12"	""
"hsa-miR-129-3p;hsa-miR-129*"	"1.91e-10"	"2.07e-12"	"NA"
"hsa-miR-221*"	"3.61e-10"	"4.50e-12"	""
"hsa-miR-490-3p"	"3.61e-10"	"5.04e-12"	""
"hsa-miR-298"	"3.61e-10"	"5.73e-12"	""
"hsa-miR-486-3p"	"3.61e-10"	"6.02e-12"	""
"hsa-miR-30c-2*"	"3.61e-10"	"6.55e-12"	""
"hsa-miR-663"	"3.61e-10"	"6.85e-12"	""
"hsa-miR-483-5p"	"4.43e-10"	"9.08e-12"	""
"hsa-miR-1224-5p"	"4.43e-10"	"9.61e-12"	"NA"
"hsa-miR-220c"	"4.48e-10"	"1.03e-11"	""
"hsa-miR-637"	"5.25e-10"	"1.28e-11"	""
"hsa-miR-1225-5p"	"5.41e-10"	"1.39e-11"	"NA"
"hsa-miR-877"	"5.95e-10"	"1.71e-11"	""
"hsa-miR-30b*"	"5.95e-10"	"1.74e-11"	""
"hsa-miR-551b*"	"5.95e-10"	"1.77e-11"	""
"hsa-miR-885-3p"	"6.46e-10"	"2.05e-11"	""
"hsa-miR-744"	"6.46e-10"	"2.10e-11"	""
"hsa-miR-485-5p"	"9.06e-10"	"3.07e-11"	""
"hsa-miR-518c*"	"9.06e-10"	"3.34e-11"	""
"hsa-miR-512-3p"	"9.06e-10"	"3.58e-11"	""
"hsa-miR-671-5p"	"9.06e-10"	"3.74e-11"	""
"hsa-miR-922"	"9.06e-10"	"3.75e-11"	""
"hsa-miR-890"	"9.06e-10"	"3.81e-11"	""
"hsa-miR-493"	"9.06e-10"	"3.82e-11"	""
"hsa-miR-184"	"9.06e-10"	"3.93e-11"	""
"hsa-miR-15a*"	"9.98e-10"	"4.46e-11"	""
"hsa-miR-550"	"1.12e-09"	"5.15e-11"	""
"hsa-miR-202"	"1.12e-09"	"5.31e-11"	""
"hsa-miR-492"	"1.19e-09"	"5.79e-11"	""
"hsa-miR-516b"	"1.31e-09"	"6.59e-11"	""
"hsa-miR-518a-5p;hsa-miR-520d-5p;hsa-miR-527"	"1.38e-09"	"7.18e-11"	""
"hsa-miR-524-3p"	"1.38e-09"	"7.45e-11"	""
"hsa-miR-575"	"1.38e-09"	"7.64e-11"	""
"hsa-miR-769-3p"	"1.38e-09"	"7.86e-11"	""
"hsa-miR-504"	"1.38e-09"	"7.86e-11"	""
"hsa-miR-641"	"1.47e-09"	"9.02e-11"	""
"hsa-miR-921"	"1.47e-09"	"9.22e-11"	""
"hsa-miR-628-5p"	"1.47e-09"	"9.31e-11"	""
"hsa-miR-638"	"1.47e-09"	"9.37e-11"	""
"hsa-miR-654-5p"	"1.47e-09"	"9.38e-11"	""
"hsa-miR-640"	"1.50e-09"	"9.96e-11"	""
"hsa-miR-515-3p"	"1.50e-09"	"9.97e-11"	""
"hsa-miR-596"	"1.54e-09"	"1.08e-10"	""
"hsa-miR-346"	"1.54e-09"	"1.13e-10"	""
"hsa-miR-525-3p"	"1.54e-09"	"1.14e-10"	""
"hsa-miR-892b"	"1.54e-09"	"1.16e-10"	""
"hsa-miR-423-5p"	"1.54e-09"	"1.17e-10"	""
"hsa-miR-619"	"1.54e-09"	"1.20e-10"	""
"hsa-miR-708"	"1.54e-09"	"1.21e-10"	""
"hsa-miR-371-3p"	"1.54e-09"	"1.22e-10"	""
"hsa-miR-564"	"1.54e-09"	"1.22e-10"	""
"hsa-miR-940"	"1.54e-09"	"1.23e-10"	""
"hsa-miR-650"	"1.57e-09"	"1.28e-10"	""
"hsa-miR-605"	"1.65e-09"	"1.36e-10"	""
"hsa-miR-218-2*"	"1.66e-09"	"1.39e-10"	""
"hsa-miR-658"	"1.87e-09"	"1.60e-10"	""
"hsa-miR-7"	"2.19e-09"	"1.90e-10"	""
"hsa-miR-219-2-3p"	"2.37e-09"	"2.09e-10"	""
"hsa-miR-612"	"2.37e-09"	"2.12e-10"	""
"hsa-miR-525-5p"	"2.55e-09"	"2.35e-10"	""
"hsa-miR-622"	"2.55e-09"	"2.38e-10"	""
"hsa-miR-510"	"2.55e-09"	"2.39e-10"	""
"hsa-miR-18a*"	"2.55e-09"	"2.41e-10"	""
"hsa-miR-873"	"2.60e-09"	"2.50e-10"	""
"hsa-miR-520a-5p"	"2.73e-09"	"2.67e-10"	""
"hsa-miR-150*"	"2.88e-09"	"2.86e-10"	""
"hsa-miR-495"	"2.88e-09"	"2.89e-10"	""
"hsa-miR-25*"	"3.04e-09"	"3.09e-10"	""
"hsa-miR-518d-5p;hsa-miR-518f*;hsa-miR-520c-5p;hsa-miR-526a"	"3.04e-09"	"3.17e-10"	""
"hsa-miR-524-5p"	"3.04e-09"	"3.19e-10"	""
"hsa-miR-558"	"3.04e-09"	"3.23e-10"	""
"hsa-miR-548b-3p"	"3.04e-09"	"3.26e-10"	""
"hsa-miR-187*"	"3.21e-09"	"3.48e-10"	""
"hsa-miR-646"	"3.26e-09"	"3.58e-10"	""
"hsa-miR-372"	"3.44e-09"	"3.82e-10"	""
"hsa-miR-181a-2*"	"3.52e-09"	"3.96e-10"	""
"hsa-miR-449a;hsa-miR-449b"	"3.53e-09"	"4.06e-10"	""
"hsa-miR-18b*"	"3.53e-09"	"4.11e-10"	""
"hsa-miR-296-3p"	"3.53e-09"	"4.11e-10"	""
"hsa-miR-1234"	"3.58e-09"	"4.22e-10"	"NA"
"hsa-miR-602"	"3.65e-09"	"4.39e-10"	""
"hsa-miR-198"	"3.65e-09"	"4.44e-10"	""
"hsa-miR-431*"	"3.65e-09"	"4.46e-10"	""
"hsa-miR-1225-3p"	"3.65e-09"	"4.50e-10"	"NA"
"hsa-miR-938"	"3.67e-09"	"4.66e-10"	""
"hsa-miR-149"	"3.67e-09"	"4.67e-10"	""
"hsa-miR-214"	"3.67e-09"	"4.68e-10"	""
"hsa-miR-875-3p"	"3.74e-09"	"4.81e-10"	""
"hsa-miR-632"	"3.84e-09"	"4.99e-10"	""
"hsa-miR-373"	"3.86e-09"	"5.08e-10"	""
"hsa-miR-220a"	"4.02e-09"	"5.34e-10"	""
"hsa-miR-490-5p"	"4.18e-09"	"5.66e-10"	""
"hsa-miR-659"	"4.18e-09"	"5.67e-10"	""
"hsa-miR-661"	"4.26e-09"	"5.82e-10"	""
"hsa-miR-874"	"4.44e-09"	"6.13e-10"	""
"hsa-miR-635"	"4.49e-09"	"6.26e-10"	""
"hsa-miR-146b-3p"	"4.69e-09"	"6.64e-10"	"NA"
"hsa-miR-608"	"4.69e-09"	"6.67e-10"	""
"hsa-miR-200b*"	"4.92e-09"	"7.07e-10"	""
"hsa-miR-936"	"4.93e-09"	"7.15e-10"	""
"hsa-miR-604"	"5.21e-09"	"7.68e-10"	""
"hsa-miR-647"	"5.21e-09"	"7.69e-10"	""
"hsa-miR-576-3p"	"5.96e-09"	"8.88e-10"	""
"hsa-miR-935"	"6.04e-09"	"9.08e-10"	""
"hsa-miR-300"	"6.54e-09"	"9.93e-10"	""
"hsa-miR-620"	"6.80e-09"	"1.04e-09"	""
"hsa-miR-23a*"	"7.09e-09"	"1.10e-09"	""
"hsa-miR-888*"	"7.18e-09"	"1.12e-09"	""
"hsa-miR-302d*"	"7.25e-09"	"1.14e-09"	""
"hsa-miR-624"	"7.52e-09"	"1.19e-09"	""
"hsa-miR-185"	"7.71e-09"	"1.23e-09"	""
"hsa-miR-383"	"7.73e-09"	"1.25e-09"	""
"hsa-miR-105*"	"7.78e-09"	"1.27e-09"	"NA"
"hsa-miR-488*"	"7.80e-09"	"1.28e-09"	""
"hsa-miR-526b"	"8.25e-09"	"1.36e-09"	""
"hsa-miR-645"	"8.45e-09"	"1.41e-09"	""
"hsa-miR-324-3p"	"8.50e-09"	"1.43e-09"	""
"hsa-miR-551a"	"8.67e-09"	"1.47e-09"	""
"hsa-miR-892a"	"8.77e-09"	"1.50e-09"	""
"hsa-miR-519e"	"8.81e-09"	"1.53e-09"	""
"hsa-miR-611"	"8.81e-09"	"1.53e-09"	""
"hsa-miR-595"	"9.14e-09"	"1.60e-09"	""
"hsa-miR-23b*"	"9.17e-09"	"1.62e-09"	""
"hsa-miR-183"	"9.31e-09"	"1.65e-09"	""
"hsa-miR-325"	"9.39e-09"	"1.68e-09"	""
"hsa-miR-432*"	"9.79e-09"	"1.78e-09"	""
"hsa-miR-556-5p"	"9.79e-09"	"1.78e-09"	""
"hsa-miR-549"	"9.79e-09"	"1.79e-09"	""
"hsa-miR-330-3p"	"9.89e-09"	"1.84e-09"	""
"hsa-miR-768-5p"	"9.89e-09"	"1.85e-09"	""
"hsa-miR-188-5p"	"9.89e-09"	"1.85e-09"	""
"hsa-miR-33b*"	"9.94e-09"	"1.87e-09"	""
"hsa-miR-588"	"1.04e-08"	"1.98e-09"	""
"hsa-miR-369-5p"	"1.04e-08"	"1.99e-09"	""
"hsa-miR-520g;hsa-miR-520h"	"1.06e-08"	"2.04e-09"	""
"hsa-miR-500*;hsa-miR-502-3p"	"1.07e-08"	"2.07e-09"	""
"hsa-miR-139-3p"	"1.08e-08"	"2.11e-09"	"NA"
"hsa-miR-501-3p"	"1.11e-08"	"2.20e-09"	""
"hsa-miR-648"	"1.11e-08"	"2.20e-09"	""
"hsa-miR-185*"	"1.12e-08"	"2.22e-09"	""
"hsa-miR-518e*;hsa-miR-519a*;hsa-miR-519b-5p;hsa-miR-519c-5p;hsa-miR-522*;hsa-miR-523*"	"1.12e-08"	"2.26e-09"	""
"hsa-miR-610"	"1.12e-08"	"2.26e-09"	""
"hsa-miR-1231"	"1.12e-08"	"2.30e-09"	"NA"
"hsa-miR-337-5p"	"1.12e-08"	"2.31e-09"	""
"hsa-miR-206"	"1.12e-08"	"2.31e-09"	""
"hsa-miR-323-5p"	"1.13e-08"	"2.35e-09"	""
"hsa-miR-199b-5p"	"1.14e-08"	"2.38e-09"	""
"hsa-miR-323-3p"	"1.15e-08"	"2.42e-09"	""
"hsa-miR-31*"	"1.16e-08"	"2.45e-09"	""
"hsa-miR-616"	"1.16e-08"	"2.47e-09"	""
"hsa-miR-600"	"1.16e-08"	"2.49e-09"	""
"hsa-miR-517*"	"1.20e-08"	"2.58e-09"	""
"hsa-miR-454*"	"1.32e-08"	"2.86e-09"	""
"hsa-miR-541*"	"1.35e-08"	"2.96e-09"	""
