"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"SPOT_ID"
"hsa-miR-665"	"7.49e-12"	"1.02e-14"	"-15.6186"	"23.69633"	"-3.24003"	""
"hsa-miR-1228"	"3.88e-11"	"1.05e-13"	"-14.1301"	"21.40156"	"-3.0803"	"NA"
"hsa-miR-149"	"5.18e-11"	"2.10e-13"	"-13.7104"	"20.71673"	"-3.17273"	""
"hsa-miR-92b"	"7.46e-11"	"4.04e-13"	"-13.3239"	"20.07043"	"-3.01837"	""
"hsa-miR-583"	"9.96e-11"	"7.93e-13"	"-12.9341"	"19.40301"	"-2.56539"	""
"hsa-miR-541"	"9.96e-11"	"8.10e-13"	"-12.9222"	"19.38237"	"-2.49222"	""
"hsa-miR-631"	"1.25e-10"	"1.18e-12"	"-12.7078"	"19.00791"	"-2.54069"	""
"hsa-miR-129;hsa-miR-129"	"1.91e-10"	"2.07e-12"	"-12.393"	"18.44919"	"-2.67636"	"NA"
"hsa-miR-221"	"3.61e-10"	"4.50e-12"	"-11.9682"	"17.67756"	"-2.35817"	""
"hsa-miR-490"	"3.61e-10"	"5.04e-12"	"-11.9074"	"17.56539"	"-2.12563"	""
"hsa-miR-298"	"3.61e-10"	"5.73e-12"	"-11.8382"	"17.43729"	"-2.41776"	""
"hsa-miR-486"	"3.61e-10"	"6.02e-12"	"-11.8123"	"17.38924"	"-3.08478"	""
"hsa-miR-30c-2"	"3.61e-10"	"6.55e-12"	"-11.7672"	"17.30523"	"-2.5923"	""
"hsa-miR-663"	"3.61e-10"	"6.85e-12"	"-11.7428"	"17.25962"	"-2.45239"	""
"hsa-miR-483"	"4.43e-10"	"9.08e-12"	"-11.5933"	"16.97924"	"-3.23228"	""
"hsa-miR-1224"	"4.43e-10"	"9.61e-12"	"-11.5633"	"16.92268"	"-3.24852"	"NA"
"hsa-miR-220c"	"4.48e-10"	"1.03e-11"	"-11.5262"	"16.85248"	"-2.00575"	""
"hsa-miR-637"	"5.25e-10"	"1.28e-11"	"-11.4124"	"16.63638"	"-2.72182"	""
"hsa-miR-1225"	"5.41e-10"	"1.39e-11"	"-11.3685"	"16.55252"	"-3.34802"	"NA"
"hsa-miR-877"	"5.95e-10"	"1.71e-11"	"-11.263"	"16.35022"	"-3.00853"	""
"hsa-miR-30b"	"5.95e-10"	"1.74e-11"	"-11.2538"	"16.33249"	"-2.7799"	""
"hsa-miR-551b"	"5.95e-10"	"1.77e-11"	"-11.2423"	"16.31034"	"-1.97058"	""
"hsa-miR-885"	"6.46e-10"	"2.05e-11"	"-11.1675"	"16.16577"	"-2.96187"	""
"hsa-miR-744"	"6.46e-10"	"2.10e-11"	"-11.1553"	"16.14213"	"-2.84095"	""
"hsa-miR-485"	"9.06e-10"	"3.07e-11"	"-10.9606"	"15.76258"	"-2.22979"	""
"hsa-miR-518c"	"9.06e-10"	"3.34e-11"	"-10.9188"	"15.68037"	"-2.07576"	""
"hsa-miR-512"	"9.06e-10"	"3.58e-11"	"-10.8823"	"15.60846"	"-2.19513"	""
"hsa-miR-671"	"9.06e-10"	"3.74e-11"	"-10.8603"	"15.56517"	"-2.48458"	""
"hsa-miR-922"	"9.06e-10"	"3.75e-11"	"-10.8591"	"15.56269"	"-3.12643"	""
"hsa-miR-890"	"9.06e-10"	"3.81e-11"	"-10.8508"	"15.54636"	"-1.81692"	""
"hsa-miR-493"	"9.06e-10"	"3.82e-11"	"-10.8505"	"15.54568"	"-2.15263"	""
"hsa-miR-184"	"9.06e-10"	"3.93e-11"	"-10.8359"	"15.51693"	"-2.84764"	""
"hsa-miR-15a"	"9.98e-10"	"4.46e-11"	"-10.7717"	"15.38975"	"-2.09327"	""
"hsa-miR-550"	"1.12e-09"	"5.15e-11"	"-10.6995"	"15.24608"	"-2.1208"	""
"hsa-miR-202"	"1.12e-09"	"5.31e-11"	"-10.6838"	"15.21462"	"-2.79959"	""
"hsa-miR-492"	"1.19e-09"	"5.79e-11"	"-10.6412"	"15.12951"	"-1.8311"	""
"hsa-miR-516b"	"1.31e-09"	"6.59e-11"	"-10.5766"	"14.99998"	"-2.10535"	""
"hsa-miR-518a;hsa-miR-520d;hsa-miR-527"	"1.38e-09"	"7.18e-11"	"-10.534"	"14.91423"	"-1.59789"	""
"hsa-miR-524"	"1.38e-09"	"7.45e-11"	"-10.5152"	"14.87624"	"-2.35594"	""
"hsa-miR-575"	"1.38e-09"	"7.64e-11"	"-10.503"	"14.85164"	"-2.7809"	""
"hsa-miR-769"	"1.38e-09"	"7.86e-11"	"-10.4892"	"14.82371"	"-1.99891"	""
"hsa-miR-504"	"1.38e-09"	"7.86e-11"	"-10.4892"	"14.82369"	"-2.30574"	""
"hsa-miR-641"	"1.47e-09"	"9.02e-11"	"-10.421"	"14.6856"	"-2.02571"	""
"hsa-miR-921"	"1.47e-09"	"9.22e-11"	"-10.4099"	"14.66305"	"-1.59867"	""
"hsa-miR-628"	"1.47e-09"	"9.31e-11"	"-10.4051"	"14.65325"	"-1.889"	""
"hsa-miR-638"	"1.47e-09"	"9.37e-11"	"-10.4022"	"14.6474"	"-2.72399"	""
"hsa-miR-654"	"1.47e-09"	"9.38e-11"	"-10.4016"	"14.64629"	"-2.11198"	""
"hsa-miR-640"	"1.50e-09"	"9.96e-11"	"-10.3721"	"14.58626"	"-1.98569"	""
"hsa-miR-515"	"1.50e-09"	"9.97e-11"	"-10.3715"	"14.58503"	"-2.03311"	""
"hsa-miR-596"	"1.54e-09"	"1.08e-10"	"-10.334"	"14.50845"	"-2.08723"	""
"hsa-miR-346"	"1.54e-09"	"1.13e-10"	"-10.3095"	"14.45845"	"-2.24829"	""
"hsa-miR-525"	"1.54e-09"	"1.14e-10"	"-10.3066"	"14.45244"	"-2.18208"	""
"hsa-miR-892b"	"1.54e-09"	"1.16e-10"	"-10.2987"	"14.43635"	"-1.86213"	""
"hsa-miR-423"	"1.54e-09"	"1.17e-10"	"-10.2938"	"14.42643"	"-1.69454"	""
"hsa-miR-619"	"1.54e-09"	"1.20e-10"	"-10.2823"	"14.40271"	"-1.85839"	""
"hsa-miR-708"	"1.54e-09"	"1.21e-10"	"-10.2781"	"14.39426"	"-2.11198"	""
