"ID"	"adj.P.Val"	"P.Value"	"miRNA_ID_LIST"	"SPOT_ID"
"fru-miR-200a_st"	"0.000907"	"1.14e-07"	"fru-mir-200a"	""
"tgu-miR-146b_st"	"0.000907"	"1.33e-07"	"tgu-mir-146b"	""
"mml-miR-200a_st"	"0.000907"	"1.36e-07"	"mml-mir-200a"	""
"dre-miR-141_st"	"0.000907"	"1.45e-07"	"dre-mir-141"	""
"gga-miR-146b_st"	"0.000973"	"1.95e-07"	"gga-mir-146b"	""
"mdo-miR-200a_st"	"0.001184"	"2.84e-07"	"mdo-mir-200a"	""
"hsa-miR-200b_st"	"0.001788"	"5.11e-07"	"hsa-mir-200b"	""
"pma-miR-146_st"	"0.001788"	"5.72e-07"	"pma-mir-146"	""
"ptr-miR-200a_st"	"0.001848"	"6.65e-07"	"ptr-mir-200a"	""
"ppy-miR-224_st"	"0.00279"	"1.12e-06"	"ppy-mir-224"	""
"csa-miR-200_st"	"0.003123"	"1.37e-06"	"csa-mir-200"	""
"mdo-miR-146b_st"	"0.004349"	"2.14e-06"	"mdo-mir-146b"	""
"dre-miR-200c_st"	"0.004349"	"2.28e-06"	"dre-mir-200c"	""
"ppy-miR-146b-5p_st"	"0.004349"	"2.43e-06"	"ppy-mir-146b"	""
"eca-miR-146b-5p_st"	"0.004356"	"2.61e-06"	"eca-mir-146b"	""
"xtr-miR-200a_st"	"0.004559"	"3.14e-06"	"xtr-mir-200a"	""
"tni-miR-200a_st"	"0.004559"	"3.22e-06"	"tni-mir-200a"	""
"eca-miR-200a_st"	"0.004559"	"3.29e-06"	"eca-mir-200a"	""
"mmu-miR-200a_st"	"0.004559"	"3.46e-06"	"mmu-mir-200a"	""
"gga-miR-200a_st"	"0.005346"	"4.27e-06"	"gga-mir-200a"	""
"mmu-miR-146b_st"	"0.006739"	"5.90e-06"	"mmu-mir-146b"	""
"ptr-miR-146b_st"	"0.006739"	"5.93e-06"	"ptr-mir-146b"	""
"tgu-miR-200a_st"	"0.007136"	"6.56e-06"	"tgu-mir-200a"	""
"hsa-miR-146b-5p_st"	"0.007403"	"7.13e-06"	"hsa-mir-146b"	""
"ppy-miR-200a_st"	"0.007403"	"7.56e-06"	"ppy-mir-200a"	""
"hsa-miR-200a_st"	"0.007403"	"7.69e-06"	"hsa-mir-200a"	""
"hsa-miR-224-star_st"	"0.008101"	"8.85e-06"	"hsa-mir-224"	""
"mmu-miR-505-5p_st"	"0.008101"	"9.07e-06"	"mmu-mir-505"	""
"tcc-miR394b_st"	"0.008553"	"9.92e-06"	"tcc-MIR394b"	""
"oan-miR-200a_st"	"0.012161"	"1.55e-05"	"oan-mir-200a"	""
"oan-miR-146b_st"	"0.012161"	"1.55e-05"	"oan-mir-146b"	""
"ppa-miR-223_st"	"0.012161"	"1.60e-05"	"ppa-mir-223"	""
"mml-miR-146b-5p_st"	"0.012161"	"1.63e-05"	"mml-mir-146b"	""
"fru-miR-200b_st"	"0.012161"	"1.65e-05"	"fru-mir-200b"	""
"mne-miR-224_st"	"0.012612"	"1.82e-05"	"mne-mir-224"	""
"bta-miR-200a_st"	"0.012612"	"1.85e-05"	"bta-mir-200a"	""
"gga-miR-200b_st"	"0.012612"	"1.87e-05"	"gga-mir-200b"	""
"ssc-miR-146b_st"	"0.0142"	"2.18e-05"	"ssc-mir-146b"	""
"cfa-miR-224_st"	"0.0142"	"2.21e-05"	"cfa-mir-224"	""
"cfa-miR-146b_st"	"0.014833"	"2.37e-05"	"cfa-mir-146b"	""
"hsa-miR-3162-3p_st"	"0.015443"	"2.53e-05"	"hsa-mir-3162"	""
"zma-miR394b_st"	"0.016566"	"2.84e-05"	"zma-MIR394b"	""
"hsa-miR-181d_st"	"0.016566"	"2.85e-05"	"hsa-mir-181d"	""
"bta-miR-200b_st"	"0.016566"	"2.91e-05"	"bta-mir-200b"	""
"hsa-miR-193b-star_st"	"0.018667"	"3.36e-05"	"hsa-mir-193b"	""
"oan-miR-200b_st"	"0.021227"	"3.90e-05"	"oan-mir-200b"	""
"mdo-miR-200b_st"	"0.021376"	"4.02e-05"	"mdo-mir-200b"	""
"mmu-miR-21_st"	"0.021588"	"4.14e-05"	"mmu-mir-21"	""
"mmu-miR-193b-star_st"	"0.022067"	"4.41e-05"	"mmu-mir-193b"	""
"vvi-miR394b_st"	"0.022067"	"4.47e-05"	"vvi-MIR394b"	""
