"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"miRNA_ID_LIST"	"SPOT_ID"
"fRu-miR-200a_st"	"0.000907"	"1.14e-07"	"1.03e+01"	"7.379649"	"3.21"	"fRu-miR-200a"	""
"tgu-miR-146b_st"	"0.000907"	"1.33e-07"	"1.02e+01"	"7.261979"	"2.25"	"tgu-miR-146b"	""
"mml-miR-200a_st"	"0.000907"	"1.36e-07"	"1.02e+01"	"7.243005"	"2.75"	"mml-miR-200a"	""
"dRe-miR-141_st"	"0.000907"	"1.45e-07"	"1.01e+01"	"7.194935"	"2.79"	"dRe-miR-141"	""
"gga-miR-146b_st"	"0.000973"	"1.95e-07"	"9.86"	"6.965928"	"2.46"	"gga-miR-146b"	""
"mdo-miR-200a_st"	"0.001184"	"2.84e-07"	"9.54"	"6.667695"	"3.17"	"mdo-miR-200a"	""
"hsa-miR-200b_st"	"0.001788"	"5.11e-07"	"9.07"	"6.196293"	"1.98"	"hsa-miR-200b"	""
"pma-miR-146_st"	"0.001788"	"5.72e-07"	"8.98"	"6.104245"	"1.95"	"pma-miR-146"	""
"ptR-miR-200a_st"	"0.001848"	"6.65e-07"	"8.86"	"5.981326"	"2.99"	"ptR-miR-200a"	""
"ppy-miR-224_st"	"0.00279"	"1.12e-06"	"8.46"	"5.554042"	"1.83"	"ppy-miR-224"	""
"csa-miR-200_st"	"0.003123"	"1.37e-06"	"8.31"	"5.380597"	"2.34"	"csa-miR-200"	""
"mdo-miR-146b_st"	"0.004349"	"2.14e-06"	"7.98"	"5.004974"	"1.66"	"mdo-miR-146b"	""
"dRe-miR-200c_st"	"0.004349"	"2.28e-06"	"7.94"	"4.952315"	"1.44"	"dRe-miR-200c"	""
"ppy-miR-146b-5p_st"	"0.004349"	"2.43e-06"	"7.89"	"4.897263"	"1.80"	"ppy-miR-146b"	""
"eca-miR-146b-5p_st"	"0.004356"	"2.61e-06"	"7.84"	"4.837046"	"2.00"	"eca-miR-146b"	""
"xtR-miR-200a_st"	"0.004559"	"3.14e-06"	"7.71"	"4.67948"	"2.75"	"xtR-miR-200a"	""
"tni-miR-200a_st"	"0.004559"	"3.22e-06"	"7.69"	"4.657826"	"3.07"	"tni-miR-200a"	""
"eca-miR-200a_st"	"0.004559"	"3.29e-06"	"7.68"	"4.639166"	"2.98"	"eca-miR-200a"	""
"mmu-miR-200a_st"	"0.004559"	"3.46e-06"	"7.64"	"4.595784"	"2.44"	"mmu-miR-200a"	""
"gga-miR-200a_st"	"0.005346"	"4.27e-06"	"7.49"	"4.414325"	"3.00"	"gga-miR-200a"	""
"mmu-miR-146b_st"	"0.006739"	"5.90e-06"	"7.27"	"4.134715"	"1.90"	"mmu-miR-146b"	""
"ptR-miR-146b_st"	"0.006739"	"5.93e-06"	"7.27"	"4.130939"	"1.84"	"ptR-miR-146b"	""
"tgu-miR-200a_st"	"0.007136"	"6.56e-06"	"7.20"	"4.042228"	"2.47"	"tgu-miR-200a"	""
"hsa-miR-146b-5p_st"	"0.007403"	"7.13e-06"	"7.14"	"3.969486"	"1.88"	"hsa-miR-146b"	""
"ppy-miR-200a_st"	"0.007403"	"7.56e-06"	"7.10"	"3.918866"	"2.97"	"ppy-miR-200a"	""
"hsa-miR-200a_st"	"0.007403"	"7.69e-06"	"7.09"	"3.902891"	"2.98"	"hsa-miR-200a"	""
"hsa-miR-224-staR_st"	"0.008101"	"8.85e-06"	"7.00"	"3.780412"	"1.59"	"hsa-miR-224"	""
"mmu-miR-505-5p_st"	"0.008101"	"9.07e-06"	"-6.98"	"3.758799"	"-1.67"	"mmu-miR-505"	""
"tcc-miR394b_st"	"0.008553"	"9.92e-06"	"-6.92"	"3.680055"	"-1.49"	"tcc-MIR394b"	""
"oan-miR-200a_st"	"0.012161"	"1.55e-05"	"6.63"	"3.284915"	"2.46"	"oan-miR-200a"	""
"oan-miR-146b_st"	"0.012161"	"1.55e-05"	"6.63"	"3.28282"	"1.78"	"oan-miR-146b"	""
"ppa-miR-223_st"	"0.012161"	"1.60e-05"	"-6.61"	"3.256506"	"-7.14e-01"	"ppa-miR-223"	""
"mml-miR-146b-5p_st"	"0.012161"	"1.63e-05"	"6.60"	"3.238911"	"1.75"	"mml-miR-146b"	""
"fRu-miR-200b_st"	"0.012161"	"1.65e-05"	"6.59"	"3.227413"	"1.63"	"fRu-miR-200b"	""
"mne-miR-224_st"	"0.012612"	"1.82e-05"	"6.53"	"3.139899"	"1.70"	"mne-miR-224"	""
"bta-miR-200a_st"	"0.012612"	"1.85e-05"	"6.52"	"3.124863"	"1.83"	"bta-miR-200a"	""
"gga-miR-200b_st"	"0.012612"	"1.87e-05"	"6.51"	"3.119579"	"2.23"	"gga-miR-200b"	""
"ssc-miR-146b_st"	"0.0142"	"2.18e-05"	"6.42"	"2.981829"	"1.82"	"ssc-miR-146b"	""
"cfa-miR-224_st"	"0.0142"	"2.21e-05"	"6.41"	"2.966532"	"1.61"	"cfa-miR-224"	""
"cfa-miR-146b_st"	"0.014833"	"2.37e-05"	"6.36"	"2.904731"	"1.96"	"cfa-miR-146b"	""
"hsa-miR-3162-3p_st"	"0.015443"	"2.53e-05"	"-6.32"	"2.846452"	"-1.35"	"hsa-miR-3162"	""
"zma-miR394b_st"	"0.016566"	"2.84e-05"	"-6.25"	"2.743998"	"-1.23"	"zma-MIR394b"	""
"hsa-miR-181d_st"	"0.016566"	"2.85e-05"	"6.25"	"2.740432"	"1.30"	"hsa-miR-181d"	""
"bta-miR-200b_st"	"0.016566"	"2.91e-05"	"6.23"	"2.719892"	"2.04"	"bta-miR-200b"	""
"hsa-miR-193b-staR_st"	"0.018667"	"3.36e-05"	"-6.15"	"2.592023"	"-1.56"	"hsa-miR-193b"	""
"oan-miR-200b_st"	"0.021227"	"3.90e-05"	"6.05"	"2.456117"	"2.20"	"oan-miR-200b"	""
"mdo-miR-200b_st"	"0.021376"	"4.02e-05"	"6.04"	"2.43032"	"2.41"	"mdo-miR-200b"	""
"mmu-miR-21_st"	"0.021588"	"4.14e-05"	"6.02"	"2.402313"	"1.76"	"mmu-miR-21"	""
"mmu-miR-193b-staR_st"	"0.022067"	"4.41e-05"	"-5.98"	"2.346476"	"-1.64"	"mmu-miR-193b"	""
"vvi-miR394b_st"	"0.022067"	"4.47e-05"	"-5.97"	"2.334151"	"-1.31"	"vvi-MIR394b"	""
"pma-miR-4568_st"	"0.022067"	"4.54e-05"	"5.96"	"2.319321"	"1.21"	"pma-miR-4568"	""
"tni-miR-200b_st"	"0.022067"	"4.60e-05"	"5.95"	"2.308196"	"2.10"	"tni-miR-200b"	""
"ptc-miR394b-5p_st"	"0.022067"	"4.68e-05"	"-5.94"	"2.292655"	"-1.19"	"ptc-MIR394b"	""
"hsv2-miR-H24_st"	"0.023691"	"5.19e-05"	"-5.88"	"2.197934"	"-1.25"	"hsv2-miR-H24"	""
"tca-miR-3811b-3p_st"	"0.023691"	"5.21e-05"	"5.88"	"2.19454"	"7.67e-01"	"tca-miR-3811b"	""
"cfa-miR-150_st"	"0.026785"	"6.00e-05"	"5.79"	"2.066523"	"1.96"	"cfa-miR-150"	""
"tgu-miR-200b_st"	"0.026865"	"6.12e-05"	"5.78"	"2.047665"	"1.88"	"tgu-miR-200b"	""
"U43_st"	"0.027085"	"6.28e-05"	"-5.77"	"2.024391"	"-7.78e-01"	""	"CDBox: U43"
"csi-miR482b_st"	"0.027595"	"6.51e-05"	"-5.74"	"1.991835"	"-8.25e-01"	"csi-MIR482b"	""
"Rno-miR-200a_st"	"0.027927"	"6.70e-05"	"5.73"	"1.965577"	"2.67"	"Rno-miR-200a"	""
"mdo-miR-21_st"	"0.028133"	"7.07e-05"	"5.70"	"1.916799"	"2.26"	"mdo-miR-21"	""
"dRe-miR-200a_st"	"0.028133"	"7.15e-05"	"5.69"	"1.905719"	"2.53"	"dRe-miR-200a"	""
"cRm-miR-233_st"	"0.028133"	"7.25e-05"	"5.68"	"1.893821"	"6.01e-01"	"cRm-miR-233"	""
"ppy-miR-182_st"	"0.028133"	"7.28e-05"	"5.68"	"1.889954"	"1.27"	"ppy-miR-182"	""
"osa-miR1868_st"	"0.028133"	"7.34e-05"	"5.67"	"1.881623"	"1.08"	"osa-MIR1868"	""
"gga-let-7d_st"	"0.028133"	"7.51e-05"	"5.66"	"1.861052"	"9.44e-01"	"gga-let-7d"	""
"ssc-miR-21_st"	"0.028133"	"7.54e-05"	"5.66"	"1.858149"	"1.69"	"ssc-miR-21"	""
"hsa-miR-483-5p_st"	"0.028515"	"7.87e-05"	"-5.63"	"1.817968"	"-1.21"	"hsa-miR-483"	""
"gga-miR-1677-staR_st"	"0.028515"	"7.97e-05"	"5.62"	"1.807144"	"5.92e-01"	"gga-miR-1677"	""
"ptc-miR166c_st"	"0.028515"	"8.05e-05"	"-5.62"	"1.797261"	"-1.03"	"ptc-MIR166c"	""
"bta-miR-339b_st"	"0.028515"	"8.13e-05"	"5.61"	"1.78846"	"8.79e-01"	"bta-miR-339b"	""
"xtR-miR-200b_st"	"0.028515"	"8.21e-05"	"5.61"	"1.780051"	"2.38"	"xtR-miR-200b"	""
"ppy-miR-450b-5p_st"	"0.029941"	"8.74e-05"	"-5.57"	"1.722753"	"-7.06e-01"	"ppy-miR-450b"	""
"cfa-miR-200a_st"	"0.030243"	"8.95e-05"	"5.56"	"1.701106"	"5.74e-01"	"cfa-miR-200a"	""
"AFFX-HUMRGE/M10098_M_st"	"0.031067"	"9.31e-05"	"-5.53"	"1.664195"	"-1.01"	""	"--AffymetRix ContRol Sequence"
"mml-miR-132_st"	"0.031437"	"9.55e-05"	"5.52"	"1.64122"	"1.15"	"mml-miR-132"	""
"dpu-miR-10_st"	"0.031721"	"9.76e-05"	"5.50"	"1.620994"	"1.26"	"dpu-miR-10"	""
"hsa-miR-193b_st"	"0.032161"	"1.00e-04"	"-5.49"	"1.596519"	"-1.20"	"hsa-miR-193b"	""
"cfa-miR-200b_st"	"0.033856"	"1.07e-04"	"5.45"	"1.535406"	"9.55e-01"	"cfa-miR-200b"	""
