pvaladj,pval,logfc,mir
7.38e-10,1.8199999999999998e-13,-3.36,hsa-mir-139
3.81e-09,2.26e-12,-1.76,hsa-mir-378
8.49e-09,6.29e-12,2.21,hsa-mir-34a
3.82e-08,4.62e-11,2.22,hsa-mir-21
1.57e-07,3.02e-10,-0.494,hsa-mir-378
2.66e-06,8.67e-09,-2.59,hsa-mir-422a
3.96e-06,1.35e-08,-2.46,hsa-mir-378c
5.9e-06,2.18e-08,1.87,hsa-mir-221
1.29e-05,5.7199999999999996e-08,-2.2,hsa-mir-378
2.56e-05,1.2199999999999998e-07,1.61,hsa-mir-222
0.000148,8.1e-07,2.17,hsa-mir-1973
0.000148,8.29e-07,-1.3,hsa-miR-125b-2-star
0.0022199999999999998,1.6e-05,-2.76,hsa-mir-214
0.0029100000000000003,2.18e-05,-0.327,hsa-mir-1296
0.00339,2.62e-05,-1.54,hsa-mir-130a
0.00373,2.9600000000000005e-05,2.76,hsa-mir-224
0.00406,3.39e-05,0.447,hsa-mir-182
0.0061200000000000004,5.8399999999999997e-05,-2.01,hsa-mir-375
0.00629,6.12e-05,1.5,hsa-mir-532
0.00807,8.290000000000001e-05,1.18,hsa-mir-502
0.008440000000000001,8.88e-05,0.27699999999999997,hsa-mir-222
0.0103,0.00011200000000000001,1.13,hsa-mir-1307
0.0108,0.00011999999999999999,-0.992,hsa-mir-424
0.0109,0.000122,1.04,hsa-mir-1975
0.0109,0.000123,1.1,hsa-mir-501
0.0115,0.000134,-0.203,hsa-mir-576
0.0124,0.000149,-0.207,hsa-mir-124-1
0.0127,0.00015800000000000002,-0.25,hsa-mir-10a
0.0136,0.000172,1.84,hsa-mir-452
0.0142,0.000181,-0.823,hsa-mir-574
0.0146,0.00018999999999999998,0.73,hsa-mir-106b
0.0148,0.000194,0.261,hsa-mir-589
0.0196,0.00028900000000000003,2.75,hsa-mir-182
0.0198,0.000294,-0.16899999999999998,hsa-mir-1244-2
0.0205,0.00031099999999999997,-0.31,hsa-mir-3128
0.0209,0.00032,-0.192,hsa-mir-4272
0.0229,0.000362,-1.05,hsa-mir-122
0.0239,0.00038700000000000003,-0.306,hsa-mir-505
0.0263,0.000446,-0.23,hsa-mir-375
0.0275,0.000479,-0.20600000000000002,hsa-mir-103-2
0.0282,0.0005,-0.248,hsa-mir-125b-2
0.0295,0.000541,-0.445,hsa-miR-30c-2-star
0.0296,0.00055,0.774,hsa-mir-3196
0.0298,0.0005650000000000001,-2.79,hsa-miR-199a-5p
0.0302,0.00058,-0.9640000000000001,hsa-mir-30e
0.0305,0.000587,0.613,hsa-mir-93
0.0316,0.000615,0.242,hsa-mir-452
0.035,0.00072,-0.722,hsa-miR-194-star
0.0373,0.000802,-1.16,hsa-mir-99a
0.0384,0.0008529999999999999,-0.315,hsa-mir-139
0.0389,0.000868,1.36,hsa-mir-4322
0.0403,0.000917,0.963,hsa-mir-34a
0.0433,0.0010199999999999999,-0.226,hsa-mir-3179-1
0.0447,0.00109,-0.212,hsa-mir-378b
0.0473,0.00122,-1.09,hsa-mir-505
0.0494,0.0013,-0.289,hsa-mir-148a
0.0494,0.0013,0.257,hsa-mir-449b
0.05,0.00133,1.61,hsa-mir-155
