"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"miRNA_ID_LIST"	"SPOT_ID"
"ppy-miR-139-5p_st"	"6.33e-10"	"5.09e-14"	"-8.03"	"21.19835"	"-3.37"	"ppy-miR-139"	""
"eca-miR-139-5p_st"	"6.33e-10"	"6.25e-14"	"-8.00"	"21.00308"	"-3.43"	"eca-miR-139"	""
"ssc-miR-139-5p_st"	"7.17e-10"	"1.06e-13"	"-7.92"	"20.49944"	"-3.42"	"ssc-miR-139-5p"	""
"bta-miR-139_st"	"7.38e-10"	"1.52e-13"	"-7.86"	"20.15731"	"-3.34"	"bta-miR-139"	""
"hsa-miR-139-5p_st"	"7.38e-10"	"1.82e-13"	"-7.83"	"19.98627"	"-3.36"	"hsa-miR-139"	""
"mmu-miR-139-5p_st"	"1.17e-09"	"3.46e-13"	"-7.73"	"19.37644"	"-3.32"	"mmu-miR-139"	""
"Rno-miR-139-5p_st"	"1.20e-09"	"4.16e-13"	"-7.70"	"19.20238"	"-3.24"	"Rno-miR-139"	""
"mml-miR-139-5p_st"	"2.00e-09"	"7.91e-13"	"-7.59"	"18.59198"	"-3.27"	"mml-miR-139"	""
"cfa-miR-21_st"	"2.68e-09"	"1.26e-12"	"7.52"	"18.15119"	"2.39"	"cfa-miR-21"	""
"ggo-miR-21_st"	"2.68e-09"	"1.32e-12"	"7.51"	"18.10399"	"2.57"	"ggo-miR-21"	""
"mmu-miR-378-staR_st"	"3.21e-09"	"1.74e-12"	"-7.47"	"17.84154"	"-1.74"	"mmu-miR-378"	""
"hsa-miR-378-staR_st"	"3.81e-09"	"2.26e-12"	"-7.42"	"17.59644"	"-1.76"	"hsa-miR-378"	""
"mml-miR-422a_st"	"4.00e-09"	"2.57e-12"	"-7.40"	"17.47414"	"-2.39"	"mml-miR-422a"	""
"ppy-miR-34a_st"	"4.11e-09"	"2.84e-12"	"7.39"	"17.37743"	"2.36"	"ppy-miR-34a"	""
"hsa-miR-34a_st"	"8.49e-09"	"6.29e-12"	"7.25"	"16.62348"	"2.21"	"hsa-miR-34a"	""
"bta-miR-21_st"	"1.51e-08"	"1.19e-11"	"7.15"	"16.01636"	"1.89"	"bta-miR-21"	""
"tgu-miR-21_st"	"1.52e-08"	"1.27e-11"	"7.14"	"15.95396"	"2.33"	"tgu-miR-21"	""
"cfa-miR-34a_st"	"1.58e-08"	"1.40e-11"	"7.12"	"15.86239"	"2.18"	"cfa-miR-34a"	""
"age-miR-21_st"	"2.20e-08"	"2.06e-11"	"7.05"	"15.49709"	"2.35"	"age-miR-21"	""
"eca-miR-34_st"	"2.58e-08"	"2.55e-11"	"7.02"	"15.29737"	"2.24"	"eca-miR-34"	""
"bta-miR-34a_st"	"2.96e-08"	"3.07e-11"	"6.99"	"15.12035"	"2.06"	"bta-miR-34a"	""
"ppy-miR-21_st"	"3.01e-08"	"3.27e-11"	"6.98"	"15.06121"	"2.24"	"ppy-miR-21"	""
"ppa-miR-21_st"	"3.16e-08"	"3.59e-11"	"6.96"	"14.97078"	"2.28"	"ppa-miR-21"	""
"hsa-miR-21_st"	"3.82e-08"	"4.62e-11"	"6.92"	"14.73269"	"2.22"	"hsa-miR-21"	""
"age-miR-34a_st"	"3.82e-08"	"4.82e-11"	"6.91"	"14.69153"	"2.20"	"age-miR-34a"	""
"ptR-miR-34a_st"	"3.82e-08"	"4.90e-11"	"6.91"	"14.67642"	"2.16"	"ptR-miR-34a"	""
"ptR-miR-21_st"	"4.00e-08"	"5.33e-11"	"6.89"	"14.59622"	"2.25"	"ptR-miR-21"	""
