Names	total	elements
GSE10694 GSE49012 GSE59492 GSE74618	3	hsa-miR-221
		hsa-miR-155
		hsa-miR-222
GSE10694 GSE49012 GSE74618	1	hsa-miR-422a
GSE10694 GSE49012 GSE59492	1	hsa-miR-150
GSE49012 GSE59492 GSE74618	3	hsa-miR-378
		hsa-miR-182
		hsa-miR-21
GSE10694 GSE49012	14	hsa-miR-520b
		hsa-miR-181a
		hsa-miR-191
		hsa-miR-148a
		hsa-miR-25
		hsa-miR-202
		hsa-miR-26b
		hsa-miR-15b
		hsa-miR-520f
		hsa-miR-30d
		hsa-miR-93
		hsa-miR-101
		hsa-miR-424
		hsa-miR-106b
GSE10694 GSE74618	2	hsa-miR-34a
		hsa-miR-451
GSE10694 GSE59492	1	hsa-miR-146b
GSE49012 GSE74618	8	hsa-miR-214
		hsa-miR-452
		hsa-miR-217
		hsa-miR-125b-2
		hsa-miR-10b
		hsa-miR-183
		hsa-miR-497
		hsa-miR-505
GSE49012 GSE59492	12	hsa-miR-200b
		hsa-miR-31
		hsa-miR-143
		hsa-miR-10a
		hsa-miR-200c
		hsa-miR-940
		hsa-miR-181d
		hsa-miR-200a
		hsa-miR-193b
		hsa-miR-141
		hsa-miR-551b
		hsa-miR-1234
GSE59492 GSE74618	4	hsa-miR-199b
		hsa-miR-224
		hsa-miR-486
		hsa-miR-3187
GSE10694	11	hsa-miR-188
		hsa-miR-103
		hsa-miR-520d
		hsa-miR-365
		hsa-miR-29c
		hsa-miR-215
		hsa-miR-29b
		hsa-miR-422b
		hsa-let-7i
		hsa-miR-342
		hsa-miR-125a
GSE49012	455	hsa-miR-576-3p
		hsa-miR-376b
		hsa-miR-453
		hsa-miR-517a
		hsa-miR-557
		hsa-miR-502-3p
		hsa-miR-518d-5p
		hsa-miR-665
		hsa-miR-637
		hsa-miR-510
		hsa-miR-509-3-5p
		hsa-miR-490-5p
		hsa-miR-877
		hsa-miR-34c-5p
		hsa-miR-32
		hsa-miR-518a-3p
		hsa-miR-642
		hsa-miR-19b-2
		hsa-miR-645
		hsa-miR-380
		hsa-miR-448
		hsa-miR-518e
		hsa-miR-500
		hsa-miR-515-5p
		hsa-miR-542-3p
		hsa-miR-187
		hsa-miR-922
		hsa-miR-138
		hsa-miR-625
		hsa-miR-648
		hsa-miR-562
		hsa-let-7d
		hsa-miR-513a-5p
		hsa-miR-218-2
		hsa-miR-192
		hsa-miR-766
		hsa-miR-30c-1
		hsa-miR-650
		hsa-miR-9
		hsa-miR-520g
		hsa-miR-616
		hsa-miR-615-5p
		hsa-miR-374b
		hsa-miR-644
		hsa-miR-337-5p
		hsa-miR-483-3p
		hsa-miR-193a-5p
		hsa-miR-96
		hsa-miR-604
		hsa-miR-28-3p
		hsa-miR-668
