From	To	Species	Gene Name
201799	TMEM154	Homo sapiens	transmembrane protein 154(TMEM154)
3485	IGFBP2	Homo sapiens	insulin like growth factor binding protein 2(IGFBP2)
3484	IGFBP1	Homo sapiens	insulin like growth factor binding protein 1(IGFBP1)
353322	ANKRD37	Homo sapiens	ankyrin repeat domain 37(ANKRD37)
9066	SYT7	Homo sapiens	synaptotagmin 7(SYT7)
4170	MCL1	Homo sapiens	BCL2 family apoptosis regulator(MCL1)
29947	DNMT3L	Homo sapiens	DNA methyltransferase 3 like(DNMT3L)
230	ALDOC	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
54112	gpr88	Homo sapiens	G protein-coupled receptor 88(GPR88)
120224	TMEM45B	Homo sapiens	transmembrane protein 45B(TMEM45B)
4609	MYC	Homo sapiens	v-myc avian myelocytomatosis viral oncogene homolog(MYC)
10537	UBD	Homo sapiens	ubiquitin D(UBD)
56892	c8orf4	Homo sapiens	chromosome 8 open reading frame 4(C8orf4)
201161	cenpv	Homo sapiens	centromere protein V(CENPV)
84962	AJUBA	Homo sapiens	ajuba LIM protein(AJUBA)
2027	ENO3	Homo sapiens	enolase 3(ENO3)
10099	TSPAN3	Homo sapiens	tetraspanin 3(TSPAN3)
11221	DUSP10	Homo sapiens	dual specificity phosphatase 10(DUSP10)
84561	slc12a8	Homo sapiens	solute carrier family 12 member 8(SLC12A8)
7832	BTG2	Homo sapiens	BTG anti-proliferation factor 2(BTG2)
8647	ABCB11	Homo sapiens	ATP binding cassette subfamily B member 11(ABCB11)
158056	MAMDC4	Homo sapiens	MAM domain containing 4(MAMDC4)
9235	IL32	Homo sapiens	interleukin 32(IL32)
9510	adamts1	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1)
374378	GALNT18	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 18(GALNT18)
7057	THBS1	Homo sapiens	thrombospondin 1(THBS1)
