ID	adj.P.Val	P.Value	logFC	Gene.symbol
228155_at	0.173	0.00000335	0.91497056	FAM213A
201368_at	0.173	0.00000631	1.02598666	ZFP36L2
202429_s_at	0.205	0.00001179	0.88807438	PPP3CA
221575_at	0.205	0.00001498	-0.96420128	SCLY
222209_s_at	0.215	0.00002298	0.48875045	TMEM135
206263_at	0.215	0.00002363	-0.54024362	FMO4
202992_at	0.26	0.00003323	-0.77297143	C7
221834_at	0.286	0.00005035	0.96112663	LOC100507577///LONP2
219596_at	0.286	0.00005169	-0.54172474	THAP10
236551_at	0.286	0.00005403	-0.29406628	ZNF311
228168_at	0.286	0.00005762	0.35788883	ATP5G3
236236_at	0.332	0.00008683	-1.34552654	WNK3
207386_at	0.332	0.00008927	-0.54338656	CYP7B1
238063_at	0.332	0.00009726	1.32546662	TMEM154
204359_at	0.332	0.00011338	-0.82127608	LOC100506718///FLRT2
229744_at	0.332	0.00012451	0.57085072	SSFA2
220263_at	0.332	0.00012601	0.40831714	SMAD5-AS1
220313_at	0.332	0.00013014	-2.71825883	GPR88
229811_at	0.332	0.00013853	0.37938544	
218858_at	0.332	0.00014436	-1.04347489	DEPTOR
221868_at	0.332	0.00014864	-0.6977852	PAIP2B
202457_s_at	0.332	0.00015116	0.885539	PPP3CA
207820_at	0.332	0.00015223	0.49055868	ADH1A
222930_s_at	0.332	0.00015416	0.60880048	AGMAT
205209_at	0.332	0.00016906	0.56637806	ACVR1B
205363_at	0.332	0.00019172	1.2179043	BBOX1
205775_at	0.332	0.00019943	-0.69267076	FAM50B
236457_at	0.332	0.00020348	-0.33353198	GTDC1
1553927_at	0.332	0.00020463	-0.31199292	C7orf33
233647_s_at	0.332	0.0002047	0.72700816	CDADC1
219682_s_at	0.332	0.00020802	-1.10695442	TBX3
220157_x_at	0.332	0.00021388	-0.32653839	PLEKHA8P1
225990_at	0.332	0.0002142	-0.3626562	BOC
225561_at	0.332	0.0002313	0.41142952	SELT
213452_at	0.332	0.00023813	-0.32170969	ZNF184
215977_x_at	0.332	0.00024697	0.67077103	GK
221648_s_at	0.332	0.0002479	0.59807534	AGMAT
243894_at	0.332	0.00024866	0.66406454	SLC41A2
211548_s_at	0.332	0.00026071	0.99986689	HPGD
225793_at	0.332	0.00026575	-0.43528557	LIX1L
241302_at	0.332	0.00026713	-0.44849627	
223598_at	0.332	0.00027051	0.54831688	RAD23B
1568593_a_at	0.332	0.00027193	-0.71746669	NUDT16P1
221833_at	0.332	0.00028191	0.97891938	LOC100507577///LONP2///SIAH1
1569290_s_at	0.332	0.00028362	0.62864837	GRIA3
223289_s_at	0.332	0.00028937	0.93709953	USP38
205913_at	0.332	0.00028937	1.40998692	PLIN1
205102_at	0.332	0.00029593	0.53139094	TMPRSS2
237691_x_at	0.332	0.00029731	0.44775484	ENO3
222462_s_at	0.34	0.00031276	-0.24778072	BACE1
224435_at	0.34	0.00031879	0.76847676	FAM213A
235945_at	0.34	0.00032874	1.6368254	
235051_at	0.34	0.00032936	0.47611001	CCDC50
203914_x_at	0.354	0.00034987	0.94625088	HPGD
211689_s_at	0.36	0.0003624	1.41436972	TMPRSS2
239240_at	0.372	0.00038444	-0.27860909	
204526_s_at	0.372	0.00039104	0.75467763	TBC1D8
212230_at	0.372	0.0003968	0.9529237	PLPP3
243483_at	0.372	0.00040106	1.32292378	TRPM8
213988_s_at	0.378	0.00043048	0.82854086	SAT1
201662_s_at	0.378	0.00043187	0.75287203	ACSL3
203188_at	0.378	0.00043393	-0.56210826	B4GAT1
226553_at	0.378	0.00045262	1.11174666	TMPRSS2
210732_s_at	0.378	0.00045958	1.76251588	LGALS8
223699_at	0.378	0.00046588	0.75762046	CNDP1
223798_at	0.378	0.00047184	0.72608836	SLC41A2
235360_at	0.378	0.00047328	-0.3709248	PLEKHM3
239452_at	0.378	0.00047777	-0.70272759	
204483_at	0.378	0.00048575	2.04058605	ENO3
200732_s_at	0.378	0.00048865	0.57585845	PTP4A1
218968_s_at	0.378	0.00049036	-0.51213237	ZFP64
226754_at	0.389	0.00051627	-0.28415751	ZNF251
203282_at	0.389	0.00052622	0.58253057	GBE1
239133_at	0.389	0.0005442	0.36027755	CTDSPL2
218557_at	0.389	0.00056483	0.33198178	NIT2
224957_at	0.389	0.00056533	0.30060454	RPL17-C18orf32///C18orf32///RPL17
234087_at	0.389	0.00057227	-0.26334111	
202057_at	0.389	0.00058863	0.37454334	KPNA1
209340_at	0.389	0.00058928	0.78154415	UAP1
226785_at	0.389	0.00059279	0.51311575	ATP11C
226255_at	0.389	0.00060519	0.67432455	ZBTB33
211959_at	0.389	0.00060968	-0.85792675	IGFBP5
229105_at	0.389	0.00061009	-0.72608513	GPR39
204688_at	0.389	0.00061114	1.22975799	SGCE
203913_s_at	0.389	0.00061245	0.85007288	HPGD
225544_at	0.389	0.00062537	-0.57523672	TBX3
209574_s_at	0.389	0.00062622	0.67064681	LDLRAD4
205927_s_at	0.389	0.00063034	-0.31454618	CTSE
1554414_a_at	0.389	0.00065032	1.09463094	OSGIN2
203961_at	0.389	0.00065746	0.96788578	NEBL
219622_at	0.389	0.00066129	0.81256026	RAB20
210201_x_at	0.389	0.00066887	-0.46887957	BIN1
225498_at	0.389	0.00067324	0.67746064	CHMP4B
201432_at	0.389	0.0006823	0.51010026	CAT
213099_at	0.389	0.00068652	-0.39500069	ANGEL1
205482_x_at	0.389	0.00071063	-0.26751864	SNX15
237226_at	0.389	0.00071412	-0.32868288	
232282_at	0.389	0.00071989	-1.37828718	WNK3
222666_s_at	0.389	0.00072176	0.98818085	RCL1
219948_x_at	0.389	0.00072381	1.26469388	UGT2A3
222467_s_at	0.389	0.00073324	0.48341656	PPP6R3
220021_at	0.389	0.00073525	-0.21281425	TMC7
206938_at	0.389	0.00073652	1.09300319	SRD5A2
209375_at	0.389	0.00074997	-0.37084399	XPC
212461_at	0.389	0.00075072	0.53828847	AZIN1
228466_at	0.389	0.00075479	-0.50987447	GABPB2
215890_at	0.395	0.00078447	-0.20897085	GM2A
222270_at	0.395	0.00078587	0.41346034	PPP4R3B
214283_at	0.395	0.00079937	-0.42398254	TMEM97
1570192_at	0.395	0.00080824	-0.29154704	
239086_at	0.395	0.00080864	-0.79104663	IDNK
209545_s_at	0.395	0.00081191	0.76050522	RIPK2
243049_at	0.395	0.00081706	-0.22849092	
