ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7941714	0.0424	0.00000147	-5.60	4.783	-3.77e-01	C11orf80	chromosome 11 open reading frame 80
8152606	0.0916	0.00000635	5.16	3.5437	4.08e-01	SNTB1	syntrophin beta 1
8076185	0.1012	0.00001455	4.90	2.8383	3.37e-01	CBX7	chromobox 7
8029969	0.1012	0.00002602	4.72	2.3437	3.92e-01	SEPW1	selenoprotein W, 1
7900597	0.1012	0.00002711	4.71	2.3086	2.71e-01	C1orf50	chromosome 1 open reading frame 50
8044415	0.1012	0.00002909	4.69	2.2487	4.23e-01		
8013015	0.1012	0.00002974	4.68	2.2298	3.11e-01	CENPV	centromere protein V
8022655	0.1012	0.00003417	-4.64	2.1114	-2.32e-01	AQP4	aquaporin 4
8022666	0.1012	0.00003473	-4.63	2.0975	-5.92e-01	CHST9	carbohydrate sulfotransferase 9
8081233	0.1012	0.00003505	-4.63	2.0898	-2.07e-01		
8025551	0.1073	0.00005605	4.48	1.6896	4.12e-01	C19orf66	chromosome 19 open reading frame 66
8154836	0.1073	0.00006489	-4.44	1.5648	-5.85e-01	ANXA2P2	annexin A2 pseudogene 2
8016699	0.1073	0.00006951	4.41	1.5061	2.02e-01	MRPL27	mitochondrial ribosomal protein L27
7923547	0.1073	0.00008611	-4.35	1.3236	-1.10	CHI3L1	chitinase 3 like 1
7949954	0.1073	0.00008855	4.34	1.2997	6.68e-01		
8043155	0.1073	0.00008921	4.33	1.2935	5.14e-01		
7913380	0.1073	0.00009372	-4.32	1.2514	-2.60e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
8000590	0.1073	0.0001022	4.29	1.1775	4.59e-01	SULT1A1	sulfotransferase family 1A member 1
8101126	0.1073	0.00011046	-4.27	1.1113	-6.48e-01	CXCL10	C-X-C motif chemokine ligand 10
8072989	0.1073	0.00011613	4.25	1.0687	3.05e-01	PICK1	protein interacting with PRKCA 1
8093518	0.1073	0.00011985	4.24	1.0418	4.88e-01	FGFR3	fibroblast growth factor receptor 3
8009844	0.1073	0.00012205	4.23	1.0262	4.63e-01	LLGL2	LLGL2, scribble cell polarity complex component
8148728	0.1073	0.00013208	4.21	0.959	4.81e-01	CYC1	cytochrome c1
