"X1XXXXXX11X11XX111X1X111XXXX1X11111X10000000000000000X000X00000"
ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1703123	5.78e-23	2.97e-27	24.56807	50.4305879	1.81646766	AXUD1
ILMN_1718977	5.78e-23	3.93e-27	24.40031	50.1831522	1.48326025	GADD45B
ILMN_3310840	9.56e-22	9.76e-26	22.546969	47.3185591	2.11441102	MIR21
ILMN_2086077	9.52e-21	1.37e-24	21.111189	44.9217844	2.85550139	JUNB
ILMN_1751607	9.52e-21	1.62e-24	21.024114	44.7710803	4.6880547	FOSB
ILMN_1781001	2.00e-18	4.08e-22	18.272937	39.6641603	3.21117884	SOCS3
ILMN_1669523	3.75e-18	8.94e-22	17.906528	38.9298953	2.88624683	FOS
ILMN_2110908	1.26e-17	3.53e-21	17.27891	37.640197	2.21179032	MYC
ILMN_1659936	1.26e-17	3.85e-21	17.239345	37.5575115	1.74361125	PPP1R15A
ILMN_1680618	2.21e-17	7.63e-21	16.934115	36.9139933	2.89341358	MYC
ILMN_1806023	2.21e-17	8.28e-21	16.897479	36.8360788	1.18861808	JUN
ILMN_1782050	4.31e-16	1.76e-19	15.581489	33.9380417	1.4199465	CEBPD
ILMN_1651498	5.50e-16	2.44e-19	15.445855	33.6280387	2.73451896	GADD45G
ILMN_1815023	7.90e-16	3.76e-19	15.265756	33.2130335	2.03019363	PIM1
ILMN_2131861	8.60e-16	4.39e-19	15.202155	33.0655509	2.12037609	SOCS2
ILMN_1725175	1.15e-15	6.28e-19	15.055867	32.7244813	1.9752598	FOSL2
ILMN_1794875	2.29e-15	1.33e-18	14.752086	32.007908	1.66496659	AGPAT9
ILMN_1743445	4.81e-15	3.05e-18	14.41944	31.2102011	2.23169584	FAM107A
ILMN_1687978	4.81e-15	3.11e-18	14.411416	31.1907884	1.84998334	PHLDA1
ILMN_1695590	5.26e-15	3.58e-18	14.356253	31.0571139	0.9436018	ADRB2
ILMN_2188264	5.95e-15	4.25e-18	14.288036	30.8912784	1.82267638	CYR61
