Names	total	elements
GSE37031 GSE62232 GSE89632	17	NR4A2
		NFIL3
		CEBPD
		RCAN1
		TP53I3
		THBS1
		FOSB
		ME1
		GOLM1
		EFHD1
		TMEM45B
		GADD45G
		DNMT3L
		IGFBP1
		FOS
		SOCS2
		CRISPLD2
GSE37031 GSE62232	24	PPM1K
		CYP1A1
		SQLE
		CSRNP1
		GAREM1
		AASS
		NCOR1
		PLPPR1
		ENO3
		IL32
		FAT1
		AJUBA
		CSTB
		N4BP2L1
		OAT
		ANKRD37
		DEPDC7
		DUSP1
		RND3
		ADRB2
		THRSP
		IDI1
		AKR1C3
		TM6SF2
GSE37031 GSE89632	26	PHLDA1
		KLF4
		IER3
		ZFP36
		IGFBP2
		SYT7
		IRS2
		MYC
		DUSP10
		NR4A1
		GPAM
		IL1RN
		P4HA1
		MAMDC4
		CYR61
		MAFF
		SIK1
		ATF3
		EGR1
		LRRC31
		KLF6
		SDC4
		UBD
		FMO1
		JUNB
		JUN
GSE62232 GSE89632	63	CENPQ
		TMEM98
		CHI3L1
		GNAO1
		TYMS
		ZWINT
		KANK4
		NR4A3
		SOCS3
		FOXO1
		CA12
		PTTG1
		UBE2T
		FAM13A
		GADD45B
		EEF1A2
		ANGPTL4
		NAMPT
		SLITRK3
		AKAP12
		SPATA18
		HIST1H2AC
		LRRC20
		CDH19
		S100A12
		BACH2
		TMEM63A
		RFX2
		RBP5
		MBNL2
		GJA1
		GPNMB
		AKR1B10
		JAKMIP2
		ETS2
		RAB26
		STC1
		CCL20
		SLCO1A2
		S100A8
		KDELR3
		FREM2
		TBX15
		CCL2
		MOGAT2
		TLR3
		ZMAT3
		KIAA0040
		SLC7A2
		RGS2
		ASPM
		ADAMTS1
		MND1
		CKAP2
		AVPR1A
		LARP1B
		LRRN3
		HMMR
		FABP4
		DHODH
		NRG1
		CISH
		BIRC3
GSE37031	88	BTG2
		TMEM139
		GDF15
		TMEM19
		ALDOC
		SPTSSA
		cetn2
		DHRS7
		GATA6
		BAMBI
		PPBP
		KDELC1
		GALNT18
		FST
		LDLR
		KLF2
		FDFT1
		ANO10
		DHCR7
		RDH11
		gpr88
		hspa1b
		TRIM47
		WEE1
		hal
		SLC23A1
		ZFP36L1
		ZBTB10
		adamts1
		INHBE
		PHF8
		TGIF1
		ZFAND5
		ABCB11
		PER1
		SIRT1
		G6PC
		HIST1H2BD
		UPF3B
		apol3
		AGBL2
		cenpv
		SLC16A1
		EFCAB11
		SLC19A2
		IER2
		slc12a8
		TSPAN3
		FBXO8
		CRYM
		MYO5B
		hps5
		NUPR1
		ZFP36L2
		fam134b
		EGR2
		SLC38A2
		RGCC
		HSPA1A
		Angptl8
		FCAMR
		TRIB1
		ADSSL1
		ARRDC4
		INHBB
		MCL1
		CTGF
		NSDHL
		TMEM154
		ACSS2
		SLC25A25
		c8orf4
		DUSP6
		Hist1h2bk
		ORMDL2
		RHOB
		ELOVL6
		FMO5
		ABCB4
		Hist1h2bf
		REL
		RANGRF
		CPS1-IT1
		IRF8
		c11orf96
		ELL2
		CTSZ
		EBLN2
GSE62232	1419	AACS
		KRTCAP2
		KCNMA1
		BBOX1
		CYP26A1
		XDH
		TKT
		HSPB1
		ANKRD36B
		IRAK1
		ACOT12
		IGF1
		TMSB10
		CYP39A1
		RBM15
		METTL2A///METTL2B
		PELI2
		C1RL
		TPX2
		HMGCS2
		EPB41L4B
		GNAL
		FAM134B
		B9D1
		GPSM2
		C15orf48
		IGF2BP3
		RGN
		CCNB1
		PON3
		ZG16
		SLC16A14
		XK
		UGT2B17
		MIR4271///C3orf62
		RCL1
		PIR
		IGSF3
		ANP32E
		B3GAT1
		HOXA13
		PCOLCE
		SORL1
		C15orf41
		SHC1
		CCDC34
		GINS1
		ACSM3
		CYP2C19
		ZNF623
		PALLD
		ANXA3
		LOC149703
		ZIC2
		COL1A1
		SMC3
		KPNA2
		MACROD1
		LOC284926
		ACBD3
		TMCO3
		ANLN
		TRAF5
		ST8SIA6-AS1
		SMYD3
		BIRC5
		WHSC1
		GHR
		CLEC1B
		STARD5
		PPIL1
		STAU2
		KNTC1
		BHMT
		FOXM1
		ALDH18A1
		ETNK2
		ALDH2
		F2RL1
		CDK1
		SHBG
		FABP5
		DNM1
		HYOU1
		PLXNA1
		ATOH8
		KIAA0100
		PLIN2
		GLYR1///SEPT6
		BCHE
		CPEB3
		FAM198A
		MZT1
		ZNF605
		RACGAP1
		C12orf75
		DUSP5
		ID1
		TDGF1P3///TDGF1
		NUP37
		RHEB
		OTUD6B
		ATP11C
		C1orf168
		GPD1
		FAM213B
		C9orf16
		PCK2
		TOX3
		CRHBP
		ASS1
		TMEM200A
