ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032570	response to progesterone	3/30	46/18866	5.25935561272666e-05	0.0369311146540792	0.0277985400302031	7057/2353/2354	3
GO:0051384	response to glucocorticoid	4/30	147/18866	8.28207876043265e-05	0.0369311146540792	0.0277985400302031	3485/2353/2354/3557	4
GO:0031960	response to corticosteroid	4/30	164/18866	0.000126464556410881	0.0369311146540792	0.0277985400302031	3485/2353/2354/3557	4
GO:0048545	response to steroid hormone	5/30	346/18866	0.000196976875546963	0.0369311146540792	0.0277985400302031	3485/7057/2353/2354/3557	5
GO:1903960	negative regulation of anion transmembrane transport	2/30	15/18866	0.00025338751037488	0.0369311146540792	0.0277985400302031	7057/8660	2
GO:0009612	response to mechanical stimulus	4/30	209/18866	0.000319958800821081	0.0369311146540792	0.0277985400302031	3485/7057/2353/2354	4
GO:0044539	long-chain fatty acid import into cell	2/30	17/18866	0.000327548688727975	0.0369311146540792	0.0277985400302031	7057/8660	2
GO:0140354	lipid import into cell	2/30	17/18866	0.000327548688727975	0.0369311146540792	0.0277985400302031	7057/8660	2
GO:0051412	response to corticosterone	2/30	20/18866	0.000456249507027315	0.0457263394820709	0.0344188224599553	2353/2354	2
GO:0019216	regulation of lipid metabolic process	5/30	431/18866	0.000540673205581764	0.0487687231434751	0.0367088650105513	8835/51280/8660/55908/4199	5
GO:1902001	fatty acid transmembrane transport	2/30	23/18866	0.000605733380655422	0.0496210739083427	0.0373504407409045	7057/8660	2
GO:0032891	negative regulation of organic acid transport	2/30	24/18866	0.000660147324722962	0.0496210739083427	0.0373504407409045	7057/8660	2
