ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0019216	regulation of lipid metabolic process	12/84	431/18866	4.43473416365733e-07	0.000972093728673686	0.000759973391414119	51280/8835/8660/55908/3949/1917/150094/9314/57678/4199/1958/3491	12
GO:0036499	PERK-mediated unfolded protein response	4/84	21/18866	2.06569108392455e-06	0.0015093316186542	0.00117998073144883	3484/6347/3576/467	4
GO:0140467	integrated stress response signaling	4/84	21/18866	2.06569108392455e-06	0.0015093316186542	0.00117998073144883	3484/6347/3576/467	4
GO:0006986	response to unfolded protein	7/84	183/18866	1.73868590041011e-05	0.00839919742815839	0.0065664105902045	7057/3484/3303/11015/6347/3576/467	7
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	4/84	40/18866	2.9575134331455e-05	0.00839919742815839	0.0065664105902045	2353/9314/3725/1958	4
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	8/84	277/18866	3.24296777259502e-05	0.00839919742815839	0.0065664105902045	2195/54825/1013/64072/22865/9314/84962/3557	8
GO:0071277	cellular response to calcium ion	5/84	83/18866	3.43008359689292e-05	0.00839919742815839	0.0065664105902045	2353/9066/3726/2354/3725	5
GO:0035966	response to topologically incorrect protein	7/84	205/18866	3.60335956849661e-05	0.00839919742815839	0.0065664105902045	7057/3484/3303/11015/6347/3576/467	7
GO:0019432	triglyceride biosynthetic process	4/84	43/18866	3.95336164632124e-05	0.00839919742815839	0.0065664105902045	3949/84803/150094/57678	4
GO:0034620	cellular response to unfolded protein	6/84	146/18866	4.79487906396074e-05	0.00839919742815839	0.0065664105902045	3484/3303/11015/6347/3576/467	6
GO:0034976	response to endoplasmic reticulum stress	8/84	294/18866	4.94296031702737e-05	0.00839919742815839	0.0065664105902045	7057/3484/3303/11015/6347/3576/467/3725	8
GO:0051384	response to glucocorticoid	6/84	147/18866	4.98127584699175e-05	0.00839919742815839	0.0065664105902045	3485/2353/1026/2354/7538/3557	6
GO:0051592	response to calcium ion	6/84	147/18866	4.98127584699175e-05	0.00839919742815839	0.0065664105902045	7057/2353/9066/3726/2354/3725	6
