ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04657	IL-17 signaling pathway	6/48	94/8157	1.65703478775559e-05	0.00265125566040895	0.0018663444451563	2353/6347/3576/6364/2354/3725	6
hsa04115	p53 signaling pathway	5/48	73/8157	6.34353004530851e-05	0.00444515506705424	0.00312915521167634	10912/7057/1026/64393/9540	5
hsa05219	Bladder cancer	4/48	41/8157	9.11094612451862e-05	0.00444515506705424	0.00312915521167634	7057/1026/3576/4609	4
hsa05167	Kaposi sarcoma-associated herpesvirus infection	7/48	194/8157	0.000124481645715003	0.00444515506705424	0.00312915521167634	2353/1026/3576/4609/1827/3725/7538	7
hsa05210	Colorectal cancer	5/48	86/8157	0.000138911095845445	0.00444515506705424	0.00312915521167634	10912/2353/1026/4609/3725	5
hsa05323	Rheumatoid arthritis	5/48	93/8157	0.000201016631197934	0.00536044349861157	0.00377347009441736	2353/6347/3576/6364/3725	5
hsa04668	TNF signaling pathway	5/48	112/8157	0.000477334547171141	0.0109105039353404	0.00768042053343039	2353/6347/6364/3726/3725	5
hsa05216	Thyroid cancer	3/48	37/8157	0.00129130032260453	0.0237029473759453	0.0166856274291194	10912/1026/4609	3
hsa04010	MAPK signaling pathway	7/48	294/8157	0.00152159879322357	0.0237029473759453	0.0166856274291194	10912/2353/3303/4609/3725/11221/3164	7
hsa05417	Lipid and atherosclerosis	6/48	215/8157	0.00152235553686453	0.0237029473759453	0.0166856274291194	2353/3949/3303/6347/3576/3725	6
hsa05224	Breast cancer	5/48	147/8157	0.00162957763209624	0.0237029473759453	0.0166856274291194	10912/2353/1026/4609/3725	5
hsa05166	Human T-cell leukemia virus 1 infection	6/48	222/8157	0.0017927150872544	0.0239028678300586	0.016826360906686	2353/1026/4609/3725/7538/1958	6
hsa05161	Hepatitis B	5/48	162/8157	0.00249631506330054	0.0307238777021605	0.0216279928561261	2353/1026/3576/4609/3725	5
hsa04933	AGE-RAGE signaling pathway in diabetic complications	4/48	100/8157	0.0027370143367071	0.0308759515939757	0.021735044872075	6347/3576/3725/1958	4
hsa05142	Chagas disease	4/48	102/8157	0.00294086789173862	0.0308759515939757	0.021735044872075	2353/6347/3576/3725	4
hsa05144	Malaria	3/48	50/8157	0.00308759515939757	0.0308759515939757	0.021735044872075	7057/6347/3576	3
hsa04928	Parathyroid hormone synthesis, secretion and action	4/48	106/8157	0.00337937399892999	0.0318058729311058	0.0223896605501863	2353/1026/1958/4929	4
hsa05134	Legionellosis	3/48	57/8157	0.00447866343370622	0.0396093061135409	0.027882866803611	3303/3576/1917	3
hsa05213	Endometrial cancer	3/48	58/8157	0.00470360510098298	0.0396093061135409	0.027882866803611	10912/1026/4609	3
hsa04935	Growth hormone synthesis, secretion and action	4/48	119/8157	0.00510926514146535	0.0408741211317228	0.0287732300071996	2353/8835/8660/3726	4
hsa00561	Glycerolipid metabolism	3/48	62/8157	0.00567132906202509	0.0432101261868578	0.0304176546183802	57016/84803/57678	3
hsa04380	Osteoclast differentiation	4/48	128/8157	0.00660475210992135	0.048034560799428	0.0338138026680184	2353/3726/2354/3725	4
