gene	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
gene	CBL	KRAS	PRKAR1A	PIK3R1	CRKL	PRKACB	RPS6KB1	MAPK10	DCBLD2	MAPK1IP1L	EIF4E3	MAPK1	PDPK1	SOCS1	CALM1	PRKAA2	RHEB	IKBKB	PPP1CB	SOS1	NRAS	PTPN11	EIF4EBP2	PTPN14	GSK3B	IRS2	PRKAR2B	SOS2	PTPN12	PIK3CA	PTPN13	SHC1	AKT3	GRB2	TSC1	PPARGC1A	PPP1R3A	SOCS3	G6PC	PPP1R3B	EIF4E	AKT2	PRKAR2A	PRKAB1	SHC4	FLOT1	CRK	FOXO1	CBLN4	PIK3R3	HK2	MAP2K1	CBLB	PTPRF	SLC2A4	PPP1R3D	SLC2A4RG	SOCS4	EXOC7	DCBLD1	FLOT2	EIF4EBP3	ANKHD1-EIF4EBP3	SOCS2
miR-10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-143	61	86	0	0	0	0	0	0	0	0	0	67	0	0	67	0	0	0	0	0	49	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-146b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0
miR-150	66	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-155	60	90	70	66	0	0	81	0	0	0	0	0	0	86	0	0	63	0	0	58	0	0	0	0	45	0	0	0	0	78	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-181d	0	80	0	0	0	0	80	0	66	70	0	74	62	0	78	0	0	0	67	70	63	0	0	0	0	73	0	0	0	0	0	0	78	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	79	0	73	71	0	0	0	0	56	0	0	0	0	0	40
miR-182	0	0	84	84	61	91	0	0	0	69	0	0	0	0	0	52	0	0	0	67	0	0	64	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	39	0	88	86	0	82	81	0	0	0	0	0	0	63	0	0	0	52	0	50	48	0
miR-193b	0	75	0	0	0	0	0	56	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	50	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0
miR-199b	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	70	0	0	0	0	0	0	86	0	0	77	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
