gene	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
gene	PRKCE	CREB1	PTEN	RPS6KA3	PIK3R1	RPS6KB1	MAPK10	PDPK1	OGT	PRKAA2	IKBKB	PPP1CB	PTPN11	PTPN14	GSK3B	IRS2	PTPN12	PIK3CA	PTPN13	AKT3	CREB5	PPARGC1A	PPP1R3A	SOCS3	G6PC	PPP1R3B	STAT3	AKT2	RPS6KA2	PRKAB1	FOXO1	PIK3R3	CREB3L1	PRKCD	TBC1D4	GFPT2	MLX	MLXIP	PTPRF	SLC2A4	CREB3L2	PPP1R3D	PPARA	SLC2A4RG	PTPA
miR-10a	0	72	67	0	0	0	0	0	0	60	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-143	89	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
miR-146b	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
miR-155	0	62	0	90	66	81	0	0	0	0	0	0	0	0	45	0	0	78	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-181d	67	82	64	68	0	80	0	62	66	0	0	67	0	0	0	73	0	0	0	78	0	0	0	0	0	55	47	0	0	0	0	79	0	73	73	0	0	0	0	0	0	0	60	0	0
miR-182	84	93	0	0	84	0	0	0	80	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	78	0	0	0	71	0	0	0	63	63	0	0	0
miR-193b	0	0	77	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0
miR-199b	0	0	0	0	0	0	0	0	0	0	70	0	0	0	86	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-200a	91	0	79	0	0	0	0	0	81	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-200b	0	0	67	87	0	90	0	66	0	0	71	67	61	64	0	0	78	0	74	0	71	0	0	0	62	0	0	58	53	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-200c	0	43	69	87	0	90	0	66	0	0	65	66	56	65	0	0	77	0	74	0	69	0	0	0	66	0	0	52	50	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-21	65	0	0	84	81	0	75	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	78	0	0	71	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0
miR-221	0	51	0	0	75	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-222	0	46	0	0	68	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-31	83	0	0	0	0	0	0	53	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	63	0	0	0	0	0
