gene	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
gene	PRKCE	KRAS	PPP2R5E	BCL2	TP53INP1	GNAI3	PTEN	PIK3R1	PPP2R2A	MAPK10	GNA13	CERS6	BCL2L11	MAPK1IP1L	SGMS1	MAPK1	PDPK1	RAC1	PPP2R5C	PPP2CA	PPP2R2C	NRAS	ROCK1	PRKCA	GNAQ	TP53INP2	GNAI2	S1PR1	RHOA	PIK3CA	ROCK2	PLCB4	AKT3	TP53BP2	PLD1	BCL2L2	AKT2	BCL2L12	PIK3R3	SGMS2	PPP2CB	MAP2K1	GNAI1	BCL2L13	TP53	ZPLD1	PPP2R2B	ABCC1	NSMAF	CRISPLD1	BCL2L14
miR-10a	0	0	0	0	0	0	67	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
miR-143	89	86	0	88	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-146b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	39	53	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	76	0	0	0	65	0	0	0	0	0	0
miR-155	0	90	0	0	83	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
miR-181d	67	80	66	68	0	0	64	0	0	0	0	0	57	70	0	74	62	0	0	0	48	63	0	0	0	0	0	82	0	0	0	0	78	0	0	0	0	0	79	0	0	73	0	0	0	0	0	0	55	51	0
miR-182	84	0	0	91	88	86	0	84	0	0	76	76	0	69	92	0	0	90	0	0	0	0	76	0	91	82	0	0	0	0	0	76	0	0	84	0	0	83	0	78	0	0	0	67	0	0	0	0	0	0	0
miR-193b	0	75	0	0	61	0	77	0	0	56	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-199b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0
miR-200a	91	0	71	0	77	0	79	0	91	0	79	59	0	0	0	57	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	69	0	0	0	62	0	0	0	0
miR-200b	0	67	89	59	63	89	67	0	0	0	41	75	0	59	0	0	66	71	75	68	75	0	0	64	43	0	0	0	81	0	74	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-200c	0	66	91	58	62	89	69	0	0	0	40	77	0	57	0	0	66	70	73	73	76	0	0	60	41	0	0	0	76	0	74	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-21	65	0	0	77	0	0	0	81	0	75	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-221	0	0	69	0	0	83	0	75	78	91	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	47	84	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-222	0	0	64	0	0	82	0	68	74	89	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	45	85	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-31	83	0	0	0	0	0	0	0	87	0	71	0	0	0	78	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
