ID_REF,1,1,1,1,1,0,0,0,0,0,0
hsa-miR-10a,6.36,5.86,6.2,4.23,4.93,3.49,3.9,5.34,3.5,3.87,4.61
hsa-miR-1234,2.32,1.93,1.96,2.32,3.27,3.67,3.79,4.28,3.01,2.31,3.35
hsa-miR-143,10.65,11.91,11.91,9.87,10,9.21,9.81,10.48,9.1,9.85,9.71
hsa-miR-146b,8.46,7.36,7.54,7.27,7.53,6.06,5.69,5.53,4.88,6.44,5.92
hsa-miR-150,8.72,6.83,7.68,8.38,6.6,4.29,6.66,5.9,5.95,6.13,6.09
hsa-miR-155,7.6,7.07,7.76,7.5,7.65,5.86,6.24,5.93,4.77,6.94,7.37
hsa-miR-181d,3.98,2.72,3.06,2.83,3.12,1.52,2.24,1.79,1.86,1.57,2.09
hsa-miR-182,4.05,2.71,4,2.53,2.66,2.03,2.32,2.32,1.84,2.47,2.12
hsa-miR-193b,6.73,7.62,6.62,7.73,7.24,8.78,8.18,8,8.75,8.16,8.45
hsa-miR-199b,10.7,10.11,10.17,8.63,9.04,8,8.37,8.93,8.19,8.79,8.33
hsa-miR-200a,5.77,5.21,7.02,5.96,4.67,1.55,2.9,2.9,2.48,3.97,2.68
hsa-miR-200b,5.56,4.95,5.8,5.04,4.73,2.72,3.56,3.64,3.06,3.53,2.93
hsa-miR-200c,6.46,6.01,8.3,3.5,2.59,2.87,3.22,2.96,2.07,2.53,2.03
hsa-miR-21,6.99,5.73,5.58,5.14,5.6,3.45,3.37,4.44,5.22,4.04,5.27
hsa-miR-221,7.64,7.27,7.41,7.06,6.47,5.74,6.5,6.55,6.19,6.19,5.4
hsa-miR-222,8.39,7.74,8.31,7.69,7,6.81,7.28,7.15,6.69,6.55,6.36
hsa-miR-31,5.49,4.89,5.29,4.65,2.05,2.83,2.22,2.28,1.84,2.27,2.26
hsa-miR-378,7.29,7.92,7.81,8.46,8.26,9.04,8.7,9.43,9.11,8.71,8.81
hsa-miR-483,2.18,2.54,2.03,2.72,2.42,3.93,3.91,3.66,3.99,2.77,3.24
hsa-miR-940,4.26,3.65,3.38,4.79,5.28,5.08,5.48,5.4,4.99,4.85,5.87
