Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	214	6.752918901861786	3.60745016167573E-17	ATF2, SPI1, GFI1, IKZF1, RBPJ, BACH1, BACH2, SOX2, EDNRB, MYB, SOX6, MEF2A, MED1, MEF2C, SMARCC2, SOX11, DICER1, HCFC2, ISL1, HCFC1, ATF7, TAGLN3, ZFPM2, TP53, CGGBP1, ATF3, TSHZ3, SHOX2, ZBTB4, T, ALX1, ZNF148, RREB1, HEXIM1, WWTR1, EGR1, XBP1, BCL11A, PDE2A, NR2F2, SMARCA4, PKIA, CREBRF, PAF1, SNAI2, CPEB3, RCOR1, CC2D1B, CDKN1C, ZNF254, SUV39H2, BTG2, RARG, CITED2, BHLHE41, OTUD7B, VLDLR, CTCF, BMI1, GLI2, ZNF280D, MECP2, NIPBL, HEY1, ZNF280B, MLX, CD36, JARID2, NCOA2, FOXD3, ZHX2, ZHX3, HSBP1, TSC22D3, PAWR, PAX6, SIRT1, ZHX1, AES, ZEB2, ZEB1, AEBP2, AHRR, PPARA, SP100, NFIX, SATB1, SATB2, PURB, CUX2, CUX1, NSD1, STAT6, TAF9B, SUZ12, DMRT1, USP9X, MBD1, STAT3, MBD2, GATAD2B, VEGFA, HIPK2, PER2, SKI, RYBP, NFIA, NFIB, NFIC, ZNF217, CTNNB1, HDGF, WWC1, WWC2, UBE2D3, PRDM1, ETS2, ZFP36, DACH1, SALL1, FGF9, EP300, PITX2, EOMES, TLE4, KDM2B, OSR1, ARID5B, MITF, FOXP2, FOXP1, MAF, TBL1XR1, AJUBA, ZNF431, NOTCH3, DLX2, GLIS3, PHB, FOXO3, PHF21A, FOXO1, GLIS2, ZBTB18, TFAP2A, SMAD2, CBX7, DR1, SMAD4, SMURF2, CBX4, PTCH1, RITA1, HMGA2, ESR1, SMAD7, EFNA1, BMP2, NR4A3, SP3, MDM2, PHF14, MDM4, TCF4, FGFR1, KDM5A, THRB, CHD8, FASLG, CDC73, IRF2BPL, PPP1R13L, TRPS1, DACT1, KLF12, MYOCD, TGIF2, DNMT3A, OLIG2, ETV3, ARID1A, DUSP22, PPM1A, IMPACT, TRAF6, IRF2, ZMYND11, HDAC4, CEBPA, HDAC2, UHRF1, MOSPD1, HDAC9, RNF2, STRN3, IFI16, NRIP1, HES1, FNIP2, ZNF189, JAZF1, SPEN, TCF7L2, PRRX1, ACVR2B, MEIS2, TBX2, TBX15, KLF5, BRMS1L, TRIM37, INSM1, PTPN2, TRIM33	2906	720	16792	1.7174657796130615	2.317425983860489E-13	2.317425983860489E-13	2.293977557809597E-13
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	268	8.45692647522878	8.646040641500433E-16	ATF1, ATF2, EHF, SPI1, PID1, IKZF1, RBPJ, BACH1, ELK1, IKZF4, DCAF6, ELK3, SOX2, RPS6KA3, SOX1, CREB3L1, CREB3L2, NAMPT, MYB, TNFSF11, SOX6, RNF111, CDON, ACVR1, MEF2A, MED1, MEF2C, SMARCC1, SOX11, EBF3, SOX10, ISL1, HCFC1, PRKD1, ZFPM2, CLOCK, TP53, ATF3, EPAS1, SHOX2, PIK3R1, HIF1A, MED12L, PPP3R1, RAD21, PCBP1, MYO6, HLTF, ALX4, ALX1, ZNF148, PPARGC1A, NKX2-2, WWTR1, EGR1, XBP1, EGR2, JAG1, YES1, FZD5, FOXF2, BCL11B, BCL11A, NFATC3, PBX3, PBX2, IGF1, FOSL2, SMARCA4, SETX, STAG1, HNRNPK, FUBP3, AGO1, AGO2, PAF1, EZH1, ARF4, CSRNP2, RARG, CSRNP3, CITED2, BRCA1, CTCF, MEOX1, GLI2, PPP3CA, MED14, NIPBL, MED13, HEY1, NCOA1, NCOA2, FOXD3, TCF12, TET2, EN2, TET1, PAX6, FOS, SIRT1, IL1A, ZEB2, ZEB1, NR5A2, MED21, IL1B, AHRR, ARHGEF2, VGLL2, PPARA, TLR4, YAP1, NFIX, SATB2, PLAGL2, STAT6, TAF9B, MEF2D, BRD4, EGLN1, CDKN2B, DMRT1, CDX1, PCGF5, STAT3, GRHL2, VEGFA, HIPK2, SKI, RIT2, NFIA, NFIB, NFIC, CTNNB1, CRLF3, CCNT2, CRTC1, JADE1, ARID4A, RORA, FGF1, NR3C1, ETS1, FGF2, ETS2, HOXA10, SALL1, KPNA6, EP300, PITX2, EOMES, LMO4, ZBTB38, OSR1, WNT5A, CASK, MITF, FOXP1, PYGO2, MAF, LMX1A, TBL1XR1, MORF4L2, NOTCH3, DLX2, KMT2A, CBFB, TNKS, GLIS3, CREM, FOXO4, NRF1, FOXO3, RLF, FOXO1, GLIS2, BCL2L12, RAI1, ATXN7, CAMTA1, RPRD1B, TFAP2A, SMAD2, SMAD1, SMAD4, HMGA2, ESRRG, INHBA, ESR1, SMAD7, AHI1, BMP2, NR4A3, SP1, CCPG1, SP3, CAPRIN2, TAF4B, TCF4, MAFK, BMPR1B, OGT, DDX3X, BMPR2, THRB, ONECUT2, CHD8, CHD7, SLC40A1, PSIP1, CDC73, CYR61, IRF2BPL, ZIC3, TRPS1, MYBL1, NKX3-1, MKL2, KLF12, MYOCD, PPP1R12A, KLF13, DDX58, ARNT, NRG1, ETV1, KLF15, GREM1, HAX1, CREB1, TFDP2, TRAF6, IRF2, ITGA6, MET, HDAC4, CEBPA, NFAT5, KDM3A, CEBPB, HDAC2, PLAG1, UHRF1, SRF, CRX, MOSPD1, ACVR1B, RNF4, ATAD2B, STRN3, LRP6, IFI16, NRIP1, S1PR1, HES1, TCF7L2, PRRX1, LUM, MEIS2, ACVR2A, MEIS1, KLF5, TNIP1, ASXL2, LPIN1, TAF4, PAXBP1	2906	981	16792	1.5786018312142687	5.7056581681536045E-12	2.777108254049939E-12	2.749008621965063E-12
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	157	4.954244241085516	1.372629926111441E-13	EHF, SPI1, RORA, RORB, ETS1, FGF2, ELK1, ETS2, ELK3, SOX2, FGF7, SALL1, GPBP1, MYB, CREB3L2, BTRC, SOX7, RNF111, ACVR1, EOMES, MAP2K3, MED1, MEF2C, SMARCC1, SMARCC2, FBXW11, WNT5A, SOX11, MITF, RUNX2, ILF3, TBL1XR1, KAT6A, CLOCK, TP53, ZNF398, KMT2A, CREBL2, PHB, BCL10, FOXO3, MRPL12, HIF1A, RLF, FOXO1, NPAS3, GLIS2, RAI1, NPAT, HMBOX1, IRAK1, DVL2, ALX1, NDP, RREB1, PPARGC1A, TFAP2A, SMAD2, EGR1, EGR2, SMAD4, NEK4, FOXF2, FZD4, INSR, PTCH1, SS18L1, SMARCA5, NFATC3, HMGA2, ESRRG, NR1D2, INHBA, FOXN3, NR2F2, IGF1, FOXN2, GDF6, ESR1, SMAD5, SMARCA4, DAB2, BMP2, FUBP3, SP1, SP3, RFXAP, CDK2, HNRNPD, TCF4, PICALM, CDKN1C, KDM5A, MSTN, CITED2, CHD8, SETD7, BRCA1, CTCF, PHF8, GLI2, MECP2, MED14, MED13, MECOM, ZIC3, YAF2, MYBL1, NKX3-1, NCOA1, MYOCD, NCOA4, ARNT, PAX6, FOS, ARID1A, TGFBR1, TOPORS, PPM1A, CREB1, NR5A2, ELF2, PSRC1, ASPH, IL1B, PPARA, PLCB1, KDM7A, CREB5, HDAC4, KDM3A, SP100, HDAC2, RNF6, FOXK1, RNF4, CAMKK2, LRP6, ERBB4, SERTAD2, NSD1, TP53INP2, NRIP1, TP53INP1, E2F3, MAP3K2, NPM1, TAF15, NFYB, STAT3, HIPK2, KLF7, KLF6, KLF5, CTNNB1, CRLF3, TAF4	2906	515	16792	1.7615672963203015	8.815241869797319E-10	2.9392582151132994E-10	2.9095179000475507E-10
GOTERM_BP_DIRECT	GO:0009791~post-embryonic development	41	1.2937835279267906	4.0923976826268985E-13	KDM5B, KMT2A, SEMA3C, ITPR1, PRDM1, GIGYF2, MECP2, SERP1, CHST11, STK36, PPP1R13L, SCN9A, PLAGL2, ALX4, ACADM, SOX6, TAPT1, SLC18A2, SMAD2, MORC3, PLEKHA1, TIPARP, HEG1, SLC4A10, TET2, ARID5B, SOD2, ACVR2B, MUT, GABRG2, TGFBR1, RC3H2, FOXP2, PYGO2, ALDH5A1, ETNK2, IMPAD1, GNAQ, AGO2, BCL2, ACO1	2906	73	16792	3.245396864305311	2.6288820009767733E-9	6.572390678298799E-10	6.505889215956112E-10
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	93	2.9346797096875985	1.9119666111096242E-11	YWHAE, DDX3X, DOCK9, OLA1, HDLBP, FNBP1L, CLINT1, BZW1, CRKL, TMEM47, SEPT9, PCMT1, LASP1, SEPT7, CAPZB, MPRIP, PPP1R13L, TRIM25, ERC1, LRRFIP1, MKL2, SH3GLB1, CAST, USP8, SH3GLB2, ANXA2, IST1, SWAP70, UNC5D, YWHAZ, HCFC1, SHTN1, CTTN, NUMB, CHMP4B, MAPRE1, LRRC59, RAB1A, NOTCH3, PDXDC1, ARHGAP18, TWF1, ASAP1, UBFD1, ZC3HAV1, CBL, RTN4, GIGYF2, ADD1, CNN3, DNAJB1, LIMA1, SDCBP, SNX1, LARP1, CALD1, EPB41L1, PERP, PCBP1, MICALL1, MYO6, STK38, STX5, H1FX, FLNB, RPL15, PDLIM5, WASF2, PAK2, ZC3H15, SPTBN1, SPTBN2, HSPA8, RDX, KTN1, RAB10, EHD1, ANLN, AFDN, MYO1B, EIF5, DIAPH3, FMNL2, HNRNPK, VAPA, STK24, VAPB, CHMP2B, ESYT2, UBAP2, PKN2, PICALM, ADGRL3	2906	271	16792	1.9829897679568673	1.2282498262905506E-7	2.4564947019536453E-8	2.43163913600922E-8
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	140	4.417797412432945	1.826166471430466E-9	SPI1, GFI1, ZBTB21, ARID4A, IKZF1, RORB, RBPJ, IKZF4, ELK3, DACH1, SALL1, BASP1, MYB, BTRC, SOX7, SMARCC2, FBXW11, ZBTB38, WNT5A, KCTD1, ARID5B, ZNF12, SOX10, FOXP2, RUNX2, EREG, FOXP1, ILF3, ZNF91, KAT6A, ZNF438, ZFPM2, CLOCK, TP53, MAGEL2, TSHZ3, FOXG1, CREM, PHB, ZBTB4, FOXO1, GLIS2, HMBOX1, ATXN1, ZNF706, ALX1, ZNF148, TFAP2A, HEXIM1, ZBTB18, SMAD2, HSPA8, SMAD4, POU2F1, CBX4, SMURF2, FOXF2, HMGA2, NR1D2, FOXN3, NR2F2, PA2G4, SMARCA4, DAB2, DAP, BMP2, SP3, MDM2, MAP3K10, RBAK, RCOR1, CDKN1C, CREBZF, KDM5B, SUV39H2, CDKN1B, CITED2, CHD8, BHLHE41, BRCA1, CTCF, LIMD1, ZNF280D, MECP2, NIPBL, MECOM, BCL7A, HEY1, ZNF280B, CHMP1A, MLX, LRRFIP1, JARID2, YAF2, NKX3-1, USP47, ZHX2, ZHX3, NRG1, CBFA2T3, SIRT1, ZHX1, AES, GREM1, ZEB1, ELF2, TFDP2, TRAF6, DEPDC1, BIRC5, PLCB1, HDAC4, CEBPA, SP100, CEBPB, HDAC2, FOXK1, HDAC9, PPM1F, STRN3, TCEAL7, PURA, BCLAF1, DNAJB6, IFI16, BAHD1, HES1, SMARCE1, SPEN, TCF7L2, MBD1, MBD2, WWP1, TBX2, PER2, PDCD4, ZNF217, CTNNB1, TRIM33, LIMS1	2906	499	16792	1.621191453795409	1.173122441178176E-5	1.955215568744886E-6	1.935432098637722E-6
GOTERM_BP_DIRECT	GO:0007399~nervous system development	90	2.8400126222783215	7.168738603574549E-9	SEMA5A, CNTFR, GMFB, MYT1L, GDA, VLDLR, FGF2, FGF5, EDNRB, OPHN1, POFUT1, EP300, EPHB2, PCDHAC2, PCDHAC1, EPM2A, MYLIP, MBNL1, RBFOX1, SMARCC1, MEF2C, DSCAM, APAF1, TMOD2, VPS13A, DYRK1A, NRG1, FOS, NAV2, PCDHA11, PCDHA10, ZEB2, DOK4, KIF2A, MAP1B, FEZ2, DCX, ARHGEF7, RAPGEF5, HDAC4, NOTCH2, SMARCD1, PRPS1, NRN1, PLPPR1, SHOX2, RFNG, EFNA5, KALRN, PCDH18, GLIS2, PURA, PCDHA1, MOBP, ERBB4, NTF3, PCDHA5, SPOCK1, PCDHA4, HES1, PCDHA3, PCDHA2, NDP, CAMK2G, PCDHA8, MEF2D, GPM6B, PCDHA7, FKTN, PCDHA6, LGI1, JAG1, BDNF, ST8SIA2, STAT3, CRIM1, SLC4A10, INHBA, L1CAM, TSHR, SMARCA4, VEGFA, NELL1, DLG2, MAFK, CNTN4, ATXN10, FGF13, APBA2, FGF12	2906	287	16792	1.812038531357686	4.6050916573059375E-5	6.578853827051843E-6	6.51228696859008E-6
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	429	13.537393499526665	1.5627877369133673E-8	MYT1L, HOXA9, ZSCAN31, ZXDB, GPBP1, ADNP2, VPS36, MEF2A, MEF2C, CSNK2A1, PRKCB, ZNF160, ZNF10, ZNF705A, ZNF12, ATF7, CLOCK, ASF1A, CGGBP1, PRR13, ZNF398, MEAF6, HOXD1, MYNN, HIF1A, PRDM10, T, HOXC9, NKX2-2, HEXIM1, ZNF260, IRF2BP2, PBX2, NR1D2, NR2F2, PA2G4, FOSL2, TADA2B, ZNF37A, AGO1, AGO2, HNRNPD, SNAI2, HBP1, EZH1, ZNF254, PHF3, PHF2, BTG2, RARG, ATF7IP2, SETD7, BHLHE41, LITAF, PHF6, HOXC10, PHF8, MECP2, ZNF280D, ING3, MECOM, HEY1, ZNF280B, ZNF248, JARID2, ZNF367, ZNF483, CNOT6L, TET1, PAWR, PAX6, SIRT1, AES, MED28, ZEB2, ZEB1, AEBP2, MED21, AHRR, ZNF236, ZNF594, ZNF592, NFIX, ZNF470, ZNF518B, BCLAF1, NSD1, PPP1R8, STAT6, ZNF468, MEF2D, DEDD, ZIM3, BRD4, ZNF341, ZNF460, PCGF5, PCGF3, STAT3, MBD2, SAMD4B, HIPK1, GATAD2B, HIPK2, SKI, ZNF33A, RYBP, NFIA, NFIB, NFIC, ZNF217, PKN2, ZNF335, ZNF576, ZNF697, ZNF451, ZNF572, CCNT2, ZBTB21, RORA, RORB, BZW1, SALL1, ZFP30, ZNF208, ZNF326, KMT5B, ZNF445, ZNF200, ZNF320, TLE4, ZBTB39, TLE3, ZNF681, ZNF680, ZBTB38, ZBTB37, EMSY, FOXP2, FOXP1, MORF4L1, ILF3, MAF, DMTF1, MAK, MORF4L2, KAT6A, ZNF317, ZNF438, ERG, ADNP, AJUBA, ZNF431, ZNF793, ZNF792, MAGEL2, KHDRBS2, KHDRBS3, INO80D, KMT2C, CREM, CREBL2, RLF, PHF21A, FOXO1, NPAS3, NPAT, HMBOX1, ATXN1, NEUROD4, ATXN7, ZKSCAN8, ZKSCAN5, ZNF302, ZNF665, ZNF543, ZNF664, ZNF300, ZBTB18, TRAPPC2, DR1, RBPMS, ESRRG, FOXN3, FOXN2, CNOT6, IRAK1BP1, ZFP69, SP3, TADA1, SP5, MAFK, ZNF655, CNOT8, ZNF654, ZNF532, ZNF652, LHX8, BNC2, CDCA7L, FASLG, FAM208A, ZNF529, PPP1R13L, ZNF528, WDR5, ZNF644, HIF1AN, YAF2, EID2B, NKX3-1, COMMD10, ARNT, MSL3, FOXL1, ACTR8, TFDP2, BIRC5, LCOR, BDP1, HDAC4, CEBPA, GTF3C2, CEBPB, PRKAA1, SMARCD2, HDAC2, ZBTB47, PLAG1, UHRF1, FOXK1, ZBTB44, HDAC9, ZBTB41, IFI16, ZNF507, ELMSAN1, TP53INP2, POLR2C, BAHD1, TP53INP1, E2F3, ZNF621, JAZF1, IRX5, ASCC1, MACC1, FOXJ3, KLF3, PNRC2, TBX2, KLF8, KLF7, KLF6, ZNF618, KLF9, ZNF615, ASXL2, TRIM37, INSM1, ZNF611, TRIM33, GFI1, JMJD1C, IKZF1, IKZF4, UBE2L3, ZNF607, DPF2, ZNF721, SOX6, SOX7, SMARCC1, SMARCC2, PTOV1, EBF3, THAP1, BCORL1, ZFPM2, TP53, CASZ1, TSHZ3, EPAS1, FOXG1, NLK, ZBTB5, ZBTB4, MED12L, ZBTB2, MBTD1, MIER3, MIER1, EGR2, EGR3, BCL11A, SS18L1, SMARCA4, MED13L, FUBP3, CREBRF, RBAK, SLC2A4RG, RCOR1, CC2D1B, SUV39H2, CITED2, PPP1R10, BRCA1, WASL, BMI1, LIMD1, SCML2, ZMYM2, SCML4, CHMP1A, MLX, NCOA1, NCOA2, FOXD3, ZHX2, PBRM1, ZHX3, NCOA4, CBFA2T3, ZHX1, TOPORS, NR5A2, TFEC, DEPDC1, VGLL2, VGLL4, VGLL3, SP100, SATB1, SATB2, PURB, TCEAL7, PURA, CUX2, CUX1, SERTAD2, SUZ12, MYEF2, NFYB, DMRT3, PER2, CTNNB1, TCEA1, HDGF, MAMLD1, PRDM9, KDM1B, CRTC1, WWC1, JADE1, PRDM2, PRDM1, NR3C1, ETS2, NR3C2, ZNF83, ARID2, EOMES, KDM2B, OSR1, LMO3, ARID5B, KCTD1, ZNF98, SUPT7L, ZNF91, LMX1A, TBL1XR1, LRIF1, BHLHE22, SMAD2, HSPA8, CBX7, SMAD1, SMAD4, POU2F1, CBX4, DENND4A, ESR1, SMAD5, SMAD7, NR4A3, BRWD1, FGFR1, CREBZF, KDM5B, PHTF2, DDX3X, THRB, CHD9, CHD8, CHD7, CHD5, PSIP1, CHD2, LRRFIP1, ZNF385A, MKL2, KLF12, TGIF2, OLIG2, ETV3, ARID1A, ELF2, ZMYND11, KDM7A, KDM3A, LIN9, RNF4, RNF2, ERBB4, SAP30L, NRIP1, HES1, ZNF189, SPEN, TCF7L2, ZNF182, ZNF181, MAPK13, TBX15, BRMS1L, LPIN1, PAXBP1	2906	1955	16792	1.2679944307834747	1.0038844546667036E-4	1.2549185527414339E-5	1.2422209023790129E-5
GOTERM_BP_DIRECT	GO:0060021~palate development	35	1.1044493531082362	2.3493650244815275E-8	GABRB3, PKDCC, BNC2, INSIG2, SATB2, INSIG1, CHD7, LRP6, ALX4, ALX1, BBS7, EPHB2, TFAP2A, SMAD2, TGFB2, MEF2C, SMAD4, PLEKHA1, PRRX1, FOXF2, TIPARP, OSR1, WNT5A, ARID5B, INHBA, ACVR2B, TGFBR1, TGFBR2, TBX2, TGFBR3, SKI, PYGO2, SNAI2, ANP32B, SOS1	2906	76	16792	2.6611004455391747	1.509118226276085E-4	1.6769245463632593E-5	1.659956910075337E-5
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	136	4.291574629220574	1.3364535435091597E-7	ATF1, ATF2, EHF, SPI1, CCNT2, PRDM4, ARID4A, NR3C1, BACH1, ETS1, CARF, ELK1, BACH2, ELK3, SOX2, HOXA10, SOX1, CREB3L1, MYB, CREB3L2, EP300, PITX2, SOX5, GTF2I, MEF2A, MEF2C, LMO4, SOX11, EBF3, MITF, SOX10, ISL1, RUNX2, HCFC1, MAF, ZNF831, CLOCK, TP53, ATF3, DLX2, CBFB, KMT2A, EPAS1, GLIS3, NRF1, FOXO4, FOXO3, HIF1A, GTF2E1, TAF5L, GLIS2, RAD21, HLTF, DVL2, ALX4, CAMTA1, ALX1, HIVEP2, ZNF148, RREB1, TFAP2A, SMAD2, EGR1, SMAD1, XBP1, EGR2, SMAD4, BCL11B, FOXF2, NFATC3, PBX3, HMGA2, ESR1, STAG1, HNRNPK, FUBP3, TAF4B, MAFK, KDM5A, CSRNP2, BMPR2, CSRNP3, ONECUT2, ELL, ARRB2, CTCF, MEOX1, AFF4, GLI2, ZIC3, TRPS1, MYBL1, MYOCD, KLF13, TCF12, VEZF1, ETV1, PAX6, FOS, KLF15, CREB1, IRF2, LCORL, CREB5, CEBPA, NFAT5, CEBPB, NFIX, CTDP1, PLAG1, SRF, CRX, POLR2C, SHOX, PLAGL2, TAF9B, MEF2D, RNGTT, DMRT1, CDX1, MBD1, TAF11, SSRP1, DEK, GRHL2, MEIS2, MEIS1, KLF5, NFIA, NFIB, POU2AF1, NFIC, TCEA1, TRIP13, TAF5, TAF4	2906	513	16792	1.5318927432521812	8.581693755004283E-4	8.585377563502842E-5	8.498508083174746E-5
