Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	171	3.4213685474189672	3.274731844040615E-13	RB1, SPI1, CBLB, FGF1, ETS1, FGF2, CRKL, IGF1R, FGF5, EDNRA, RASSF1, FGF7, EDNRB, CCND1, TFG, FGF9, CDH1, AKT2, AKT3, EP300, PRKACB, PDGFRA, RALBP1, MAP2K1, WNT5B, TPM3, DAPK1, PRKCB, HGF, WNT5A, F2R, MITF, PRKCA, RUNX1, BCR, ADCY9, CCNE2, SMO, COL4A4, COL4A3, COL4A6, AGTR1, COL4A5, TP53, CSF1R, CTBP2, MAX, LPAR1, PIK3R3, LPAR2, PIK3R1, STK4, HIF1A, RASGRP1, CSF2RA, FOXO1, HSP90B1, DVL2, DVL3, PLCG1, FGF23, STAT5A, SMAD2, STAT5B, FZD3, CREBBP, TGFB2, JUN, SMAD3, FZD5, FZD4, PTCH1, FN1, FZD8, IGF1, GNG12, PTK2, CXCL12, CDK6, LPAR6, GNB1, CDK2, BCL2, MDM2, GNB4, GNAS, GRB2, FGF13, FGFR1, CDKN1B, PTEN, LAMC2, LAMC1, PIK3CG, GLI3, CKS1B, GLI2, IKBKB, CASP8, SUFU, ITGAV, RAC1, APPL1, NKX3-1, ARHGEF12, ITGA3, ITGA2, NCOA4, AXIN1, ARNT, TRAF2, FOS, AXIN2, WNT16, RHOA, TGFBR1, TGFBR2, PLCB4, PIK3CA, KIT, RARB, ITGA6, PLCB1, SOS1, CRK, MET, SOS2, PTGER4, RALA, HDAC2, ROCK2, PTGER2, PTGER3, GNAI3, XIAP, ADCY3, ADCY2, ADCY1, CBL, PTGS2, ADCY7, ADCY6, EGFR, GNAI1, GNAI2, RXRB, GNA13, CDC42, MAPK9, NRAS, GNG2, GNG7, CTNNA1, E2F2, MAPK1, E2F3, VHL, RUNX1T1, EGLN1, TCF7L2, CDKN2B, EGLN3, VEGFA, MAPK10, KITLG, RAD51, APC, CCDC6, FAS, CTNNB1, KRAS	1846	393	6879	1.6214261493801327	9.530709554894656E-11	9.529469666158191E-11	6.287485140557981E-11
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	99	1.9807923169267705	9.41655153755201E-12	HPSE2, CBLB, FGF2, ELK1, ACTG1, IGF1R, PPP1CB, CCND1, PLAU, AKT2, AKT3, KDR, PRKACB, MAP2K1, WNT5B, PRKCB, HGF, WNT5A, FRS2, PRKCA, ANK3, ANK1, TIAM1, SMO, TP53, DDX5, SDC2, ITPR1, PIK3R3, ITPR2, PIK3R1, HIF1A, PLCG1, FZD3, TGFB2, FZD5, FZD4, CAV1, PTCH1, FN1, MSN, FZD8, IGF1, ESR1, PTK2, MDM2, SDC1, GRB2, FGFR1, ITGB3, PIK3CG, TIMP3, ITGAV, RAC1, PPP1R12A, ARHGEF12, PDPK1, ITGA2, GAB1, RRAS2, WNT16, DCN, RHOA, PIK3CA, CTTN, ITGA5, PPP1R12B, SOS1, MET, TLR4, SOS2, CD44, HBEGF, TLR2, CAMK2D, ROCK2, SRC, CAMK2A, CBL, THBS1, HOXD10, EGFR, CDC42, NRAS, PAK1, ERBB3, ERBB4, DROSHA, MAPK1, CAMK2G, EIF4B, PTPN11, MAPK13, VEGFA, RPS6KB1, PDCD4, FAS, CTNNB1, KRAS	1846	200	6879	1.844585590465872	2.7402243807372884E-9	1.3701082487138175E-9	9.03988947604993E-10
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	145	2.9011604641856743	5.386819539538926E-10	CHRM2, ATF2, CSF3, CSF1, PPP2R2A, FGF1, FGF2, IGF1R, FGF5, FGF7, CCND2, CCND1, PPP2R1B, FGF9, PPP2R1A, AKT2, AKT3, MYB, CREB3L2, KDR, IL6R, PDGFRA, MAP2K1, G6PC, IFNA16, HGF, F2R, TSC1, PRKCA, PRLR, CCNE2, COL4A4, CDC37, COL4A3, DDIT4, COL4A6, COL4A5, TP53, IFNAR1, EPHA2, CSF1R, LPAR1, PIK3R3, LPAR2, PIK3R1, FOXO3, HSP90B1, BCL2L11, PDGFD, FGF23, MCL1, NGFR, COL24A1, FN1, IGF1, GNG12, PTK2, EFNA1, COL1A1, CDK6, COL5A1, RHEB, LPAR6, IL7, ITGA10, COL5A3, COL5A2, ITGA11, GNB1, CDK2, BCL2, MDM2, GNB4, GRB2, FGF13, FGFR1, YWHAE, CDKN1B, FLT1, YWHAB, ITGB3, PTEN, LAMC2, LAMC1, BRCA1, PIK3CG, IKBKB, PPP2R5E, ITGB8, ITGAV, RAC1, JAK2, JAK3, YWHAG, PDPK1, ITGA3, ITGA2, PPP2R5C, OSMR, YWHAZ, RBL2, CREB1, PIK3CA, KIT, ITGA6, SGK3, COL6A5, ITGA5, SGK1, SOS1, MET, TLR4, SOS2, CREB5, TLR2, PHLPP2, PRKAA2, PHLPP1, COL11A1, THBS2, THBS1, EGFR, PPP2CA, PPP2CB, NRAS, RELN, GNG2, GNG7, SPP1, MAPK1, EIF4E, EIF4B, OSM, PPP2R3A, VEGFA, KITLG, RPS6KB1, PPP2R2C, PPP2R2B, IL2RA, IL2RB, KRAS, PKN2, TEK, PIK3AP1	1846	345	6879	1.5661830514861748	1.5675644626789165E-7	5.225214953352758E-8	3.4475645053049124E-8
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	113	2.2609043617446978	8.72932977314646E-10	ATF2, FGF1, FGF2, ELK1, CRKL, FGF5, ELK4, RPS6KA3, FGF7, FGF9, RPS6KA2, AKT2, AKT3, STMN1, MAP3K8, PRKACB, MAP3K7, MAP2K4, PDGFRA, MEF2C, MAP2K1, PRKCB, IL1R1, CACNA2D3, CACNA2D2, PRKCA, MAPK8IP1, CDC25B, CACNB1, CACNB2, CACNB3, CACNB4, MAPKAPK3, MAPKAPK2, TP53, MAX, CACNA1A, CACNA1C, STK4, NLK, CACNA1E, RASGRP1, STK3, CACNA1G, RAP1B, CACNA1I, PPP3R1, PPP3R2, FGF23, HSPA8, TGFB2, JUN, BDNF, NFATC3, NFATC1, GNG12, NF1, GRB2, TAB2, TAB1, FGF13, MAP3K13, MAP3K14, FGFR1, ARRB2, DUSP16, IKBKB, PPP3CA, DUSP10, RAC1, DUSP4, DUSP5, DUSP3, DUSP1, RRAS2, PLA2G4A, TRAF2, FOS, DUSP6, TGFBR1, DUSP7, TGFBR2, PPM1A, IL1A, PPM1B, RASA1, RAPGEF2, SOS1, CRK, SOS2, SRF, EGFR, CDC42, MAPK9, NRAS, PAK1, MAPK7, NTF3, MAPK1, PAK2, MAP4K3, CACNG4, MAP4K4, NTRK2, MAP3K3, MAP3K1, MAPK13, MAPK10, TAOK3, TAOK2, FAS, KRAS, LAMTOR3	1846	253	6879	1.664376346250198	2.540234557146803E-7	6.350587409964049E-8	4.1900782911103005E-8
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	76	1.520608243297319	1.2415874219529901E-9	YWHAE, PATJ, BMPR2, YWHAB, WWC1, SERPINE1, PPP2R2A, LIMD1, FGF1, AMOT, GLI2, ACTG1, CTGF, BBC3, SOX2, PPP1CB, RASSF1, CCND2, PPP2R1B, CCND1, PPP2R1A, CDH1, RASSF6, BTRC, TEAD1, YWHAG, TEAD3, WNT5B, FBXW11, WNT5A, AXIN1, CSNK1E, AXIN2, WNT16, YWHAZ, TGFBR1, TGFBR2, LATS1, LATS2, FRMD6, AJUBA, YAP1, CRB2, CRB1, STK3, PPP2CA, PPP2CB, PARD6B, DVL2, CTNNA1, TP53BP2, DVL3, SMAD2, TCF7L2, WWTR1, SMAD1, TGFB2, FZD3, SMAD3, FZD5, FZD4, FZD8, MPP5, GDF6, DLG1, DLG2, PPP2R2C, APC, DLG3, PPP2R2B, DLG4, ID2, SNAI2, CTNNB1, NF2, BMPR1A	1846	151	6879	1.8755569586648775	3.6130186498173344E-7	7.226038795766403E-8	4.767695700299482E-8
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	96	1.9207683073229291	4.476170753169237E-9	DOCK4, FLT1, CSF1, ITGB3, CTNND1, FGF1, SIPA1L2, FGF2, PIK3CG, IGF1R, ACTG1, CRKL, FGF5, FGF7, FGF9, CDH1, AKT2, AKT3, KDR, RAC1, MAGI1, PDGFRA, MAP2K1, PRKCB, HGF, MAGI3, MAGI2, F2R, PRKCA, RHOA, TIAM1, PLCB4, ADCY9, PIK3CA, KIT, RAPGEF2, PRKD2, LCP2, TLN2, PRKD1, RAPGEF5, TLN1, PLCB1, MET, RAPGEF6, CRK, EPHA2, RAPGEF4, PFN2, CSF1R, RALA, SRC, GNAI3, LPAR1, PIK3R3, LPAR2, ADCY3, ADCY2, PIK3R1, ADCY1, THBS1, ADCY7, RAP1GAP, EGFR, GNAI1, ADCY6, GNAI2, RAP1B, CDC42, PARD6B, NRAS, GRIN2A, CNR1, PDGFD, KRIT1, MAPK1, PLCG1, DRD2, FGF23, NGFR, IGF1, GRIN2B, MAPK13, VEGFA, EFNA1, GNAO1, AFDN, KITLG, GNAS, CTNNB1, KRAS, CALM3, TEK, CALM1, FGF13, FGFR1	1846	210	6879	1.7035133880204303	1.3025648478715013E-6	2.0203970720352227E-7	1.3330454908273635E-7
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	63	1.2605042016806722	4.860061685308096E-9	YWHAE, PRDM4, PIK3CG, CRKL, IKBKB, RPS6KA3, ARHGDIA, RPS6KA2, AKT2, AKT3, RAC1, MAP2K1, PDPK1, RIPK2, PRKCD, GAB1, FRS2, IRAK4, RHOA, PIK3CA, MAPKAPK2, SOS1, TP53, CRK, SOS2, SHC4, ZNF274, CAMK2D, SHC1, CAMK2A, PIK3R3, PSEN1, PIK3R1, FOXO3, RAP1B, CDC42, MAPK9, NRAS, MAPK7, IRAK1, IRAK2, NTF3, MAPK1, PLCG1, SH2B3, CAMK2G, NTRK2, NGFR, MAP3K3, JUN, MAP3K1, SORT1, KIDINS220, BDNF, NTRK3, PTPN11, MAPK13, MAPK10, BCL2, KRAS, CALM3, GRB2, CALM1	1846	120	6879	1.9563786565547132	1.414276954103677E-6	2.0203970720352227E-7	1.3330454908273635E-7
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	49	0.9803921568627451	1.765206597935596E-8	CDKN1B, CBLB, ELK1, PIK3CG, CRKL, AKT2, AKT3, NCK2, NCK1, MAP2K4, MAP2K1, PRKCB, GAB1, NRG1, PRKCA, EREG, PIK3CA, SOS1, CRK, SOS2, HBEGF, SHC4, CAMK2D, SRC, SHC1, CAMK2A, PIK3R3, PIK3R1, CBL, EGFR, MAPK9, NRAS, PAK1, ERBB3, ERBB4, ABL2, MAPK1, PLCG1, CAMK2G, PAK2, PAK5, STAT5A, STAT5B, JUN, PTK2, MAPK10, RPS6KB1, KRAS, GRB2	1846	87	6879	2.098797026188964	5.136738067346158E-6	6.420938999990731E-7	4.2364958350454304E-7
KEGG_PATHWAY	hsa04144:Endocytosis	104	2.080832332933173	4.0721597171440335E-8	TFRC, WIPF1, ZFYVE9, WIPF2, CBLB, IGF1R, ZFYVE27, KIF5C, VPS36, AP2M1, SH3GLB1, PDGFRA, USP8, IST1, HLA-A, RNF41, ACAP3, ACAP2, ZFYVE16, CHMP4C, CHMP4B, STAM2, RAB5B, RAB5C, NEDD4L, VPS26B, PLD1, SNX4, SNX1, RAB11FIP1, GRK2, GRK6, PIP5K1A, RAB11FIP2, RAB11FIP4, SNX5, SNX6, SMAD2, HSPA8, SMAD3, IQSEC2, SMURF2, VTA1, CAV1, ARPC5, IGF2R, EHD1, DAB2, CHMP2B, MDM2, RAB5A, ARF3, ARF1, ARPC1A, WASL, ARRB2, RAB22A, PSD2, CAPZB, PSD3, PDCD6IP, ARAP2, VPS37A, ARFGAP3, RBSN, RHOA, TGFBR1, EPN1, TGFBR2, DNM3, RABEP1, DNAJC6, CHMP3, CHMP7, ARF5, CHMP5, ARF6, RAB7A, SRC, VPS4B, ASAP3, ASAP1, ASAP2, CBL, EGFR, CYTH3, CDC42, PARD6B, MVB12B, EPS15, LDLR, CYTH1, ARFGEF2, GIT2, AP2B1, RAB11A, RAB10, ITCH, CAPZA1, NEDD4, IL2RA, IL2RB, VPS45, SMAP1	1846	241	6879	1.6080883642101573	1.18499148172857E-5	1.2900489977130473E-6	8.511663490065466E-7
KEGG_PATHWAY	hsa04921:Oxytocin signaling pathway	72	1.440576230492197	4.43315806774243E-8	GUCY1B3, PRKAG2, ELK1, MYLK, ACTG1, PPP1CB, PPP3CA, EEF2K, CCND1, PRKACB, GUCY1A3, PRKAB2, MAP2K1, MEF2C, PPP1R12A, PRKCB, CACNA2D3, CACNA2D2, PLA2G4A, PRKCA, FOS, PRKAB1, RHOA, CACNB1, CACNB2, CACNB3, CACNB4, PLCB4, ADCY9, PPP1R12B, PLCB1, CAMK2D, PRKAA2, ROCK2, SRC, CAMK2A, GNAI3, ITPR1, ADCY3, ITPR2, ADCY2, CACNA1C, ADCY1, PTGS2, ADCY7, CAMKK1, EGFR, GNAI1, ADCY6, CAMKK2, GNAI2, NRAS, PPP3R1, PPP3R2, MAPK7, MAPK1, CAMK2G, KCNJ2, CACNG4, KCNJ3, JUN, KCNJ6, NFATC3, NFATC2, NFATC1, NFATC4, GNAO1, RCAN1, GNAS, KRAS, CALM3, CALM1	1846	150	6879	1.7886890574214518	1.2900407037941264E-5	1.2900489977130473E-6	8.511663490065466E-7
