Names	total	elements
GSE37031 GSE48452 GSE89632	8	
GADD45G
FADS2
P4HA1
SOCS2
FOSB
IGFBP2
TRHDE
ME1
GSE37031 GSE48452	2	CSRNP1
		TMEM154
GSE37031 GSE89632	41	TMEM45B
		RTP3
		DNMT3L
		GOLM1
		NR4A2
		ATF3
		NR4A1
		IGFBP1
		FOS
		JUNB
		EFHD1
		THBS1
		PHLDA1
		NFIL3
		EGR1
		LRRC31
		GPAM
		IL1RN
		IP6K3
		KLF6
		KLF4
		IER3
		CEBPD
		ZFP36
		MAMDC4
		SDC4
		RCAN1
		SYT7
		IRS2
		UBD
		MYC
		JUN
		FMO1
		CRISPLD2
		RND1
		CYR61
		MAFF
		SIK1
		DUSP10
		RGS1
		TP53I3
GSE48452 GSE89632	7	VIL1
		ISM1
		CXCL9
		CYP7A1
		FABP4
		PEG10
		STMN2
GSE37031	136	BTG2
		SLC25A25
		IER2
		hal
		TMEM139
		SLC23A1
		GDF15
		GAREM1
		DEPDC7
		slc12a8
		TSPAN3
		FBXO8
		c8orf4
		DUSP6
		TMEM19
		TCP10L
		DEFB1
		CRYM
		AASS
		ALDOC
		Hist1h2bk
		SPTSSA
		STARD5
		PABPC1L
		cetn2
		DHRS7
		ZFP36L1
		GATA6
		ORMDL2
		FAM46A
		SHBG
		FNDC5
		PPM1K
		cryaa
		RHOB
		MYO5B
		IDI1
		ELOVL6
		CPA3
		hps5
		CYP1A1
		FMO5
		BAMBI
		NCOR1
		SLC16A4
		PPBP
		TSC22D3
		ABCB4
		Cyp1a2
		KDELC1
		NUPR1
		ZBTB10
		PLPPR1
		Hist1h2bf
		GALNT18
		adamts1
		INHBE
		ZFP36L2
		PHF8
		SYBU
		ENO3
		TGIF1
		ZFAND5
		REL
		fam134b
		RAMP1
		EGR2
		FST
		LDLR
		IL32
		RANGRF
		KLF2
		SLC1A2
		cpeb3
		FAT1
		SCD
		AJUBA
		CSTB
		SLC38A2
		ABCB11
		FDFT1
		PER1
		DUSP1
		SQLE
		PPP1R3C
		CPS1-IT1
		IRF8
		SIRT1
		c11orf96
		ANO10
		RGCC
		G6PC
		HIST1H2BD
		UPF3B
		KDM8
		apol3
		APOA4
		HSPA1A
		AKR1C3
		ELL2
		RAD54L2
		GPT2
		AGBL2
		RND3
		CTSZ
		Angptl8
		FCAMR
		GPX2
		TRIB1
		N4BP2L1
		ADRB2
		DHCR7
		EBLN2
		ADSSL1
		ABHD18
		THRSP
		TM6SF2
		INHBB
		ARRDC4
		RDH11
		cenpv
		ALAS1
		MCL1
		SLC16A1
		GPAT3
		CTGF
		gpr88
		hspa1b
		NSDHL
		EFCAB11
		TRIM47
		WEE1
		SLC19A2
		ACSS2
		OAT
		ANKRD37
GSE48452	37	PRKAA2
		IGF1
		IGHV3OR16-7
		IGKV3-20
		LINC00885
		IGKC
		PCDH20
		IGK
		HYDIN2
		RFC1
		IGHV3-23
		IGHA1
		IGHG1
		IGHV3-69-1
		NR0B2
		SCUBE1
		IGHD
		IGHM
		IGLJ3
		CFHR4
		THY1
		IGHV3-30
		SPP1
		GAS6-AS1
		SULF2
		ANKRD18A
		IGHV3-48
		SCFV
		HYDIN
		TRHDE-AS1
		MEP1B
		C14orf99
		IGHV4-31
		CHAC1
		GRID1
		HBA2
		HBA1
GSE89632	499	RBP5
		C3orf14
		URB2
		THAP2
		MT1B
		RGS2
		SHD
