
Generated at: 2021/04/04 17:38:27
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - GADD45G
FADS2
P4HA1
SOCS2
FOSB
TRHDE
ME1
RTP3
PHLDA1
IL1RN
IP6K3
CEBPD
SDC4
PEG10
TMEM154
IGFBP2
Micro RNA       - 
Minimum Score   - Very High


Gene Symbols input verification: (1)
Provided Gene Symbol,Suggestion,Updated Symbol at Database,Correct HUGO notation,HUGO Symbol ID,Approved Gene Symbol (HUGO),Previous Gene Symbol (HUGO),Gene Symbol Synonyms (HUGO)
RTP3,approved symbol, not in database for selected minimum score,,RTP3,,,,

Note: Suggested Gene Symbols may not be found in database.


Results (615) 
Gene Symbol,Uniprot,Pseudogene,MicroRNA,Integrated Score,Number of Sources,Score Class,Sources
TRHDE,Q9UKU6,,hsa-miR-219a-5p,0.91918387810652,20,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-218-5p,0.918238369538764,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
IP6K3,Q96PC2,,hsa-miR-30d-5p,0.91356629686526,18,Very High,BCmicrO|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
IP6K3,Q96PC2,,hsa-miR-30b-5p,0.896868552348417,16,Very High,BCmicrO|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RNAhybrid|TargetRank|TargetScan
IP6K3,Q96PC2,,hsa-miR-30a-5p,0.88383618266041,18,Very High,Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan|TargetSpy
P4HA1,P13674,,hsa-miR-124-3p,0.883724888077136,17,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RNAhybrid|TargetRank
IP6K3,Q96PC2,,hsa-miR-30c-5p,0.883458993364089,15,Very High,BCmicrO|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-122-5p,0.87112254824913,19,Very High,CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
IP6K3,Q96PC2,,hsa-miR-30e-5p,0.863533330842301,17,Very High,BiTargeting|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
PHLDA1,Q8WV24,,hsa-miR-181c-5p,0.835969485430396,18,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
