"111111110000000"
ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	Description
1959_at	0.0000117	6.47e-10	1.54e+01	13.01527	4.61	1959	early growth response 2
3491_at	0.000017	1.88e-09	1.42e+01	11.89811	4.87	3491	cysteine-rich, angiogenic inducer, 61
10468_at	0.0001447	2.39e-08	1.16e+01	9.22348	2.95	10468	follistatin
2353_at	0.0002024	4.47e-08	1.10e+01	8.56689	5.80	2353	FBJ murine osteosarcoma viral oncogene homolog
2354_at	0.0002251	7.29e-08	1.05e+01	8.05092	4.63	2354	FBJ murine osteosarcoma viral oncogene homolog B
3725_at	0.0002251	7.45e-08	1.05e+01	8.02769	2.12	3725	jun oncogene
3484_at	0.0006184	2.48e-07	9.51	6.76085	3.78	3484	insulin-like growth factor binding protein 1
1316_at	0.0006184	2.73e-07	9.44	6.65921	3.16	1316	Kruppel-like factor 6
29960_at	0.0006507	3.23e-07	-9.30	6.48134	-7.68e-01	29960	FtsJ homolog 2 (E. coli)
10121_at	0.0008506	4.69e-07	-9.01	6.08788	-4.09e-01	10121	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
2597_at	0.0008565	6.14e-07	-8.80	5.80501	-4.77e-01	2597	glyceraldehyde-3-phosphate dehydrogenase
230_at	0.0008565	6.22e-07	-8.79	5.79064	-1.54	230	aldolase C, fructose-bisphosphate
51506_at	0.0008565	6.73e-07	-8.73	5.70862	-3.77e-01	51506	ubiquitin-fold modifier conjugating enzyme 1
9963_at	0.0008565	6.92e-07	-8.71	5.6783	-1.15	9963	solute carrier family 23 (nucleobase transporters), member 1
4929_at	0.0008565	7.09e-07	8.69	5.65338	4.59	4929	nuclear receptor subfamily 4, group A, member 2
64834_at	0.0009804	8.66e-07	-8.54	5.44302	-6.61e-01	64834	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1
1666_at	0.0010765	1.01e-06	-8.43	5.28064	-5.80e-01	1666	2,4-dienoyl CoA reductase 1, mitochondrial
892_at	0.0010848	1.10e-06	-8.37	5.19435	-3.80e-01	892	cyclin C
10221_at	0.0010848	1.14e-06	8.34	5.1554	1.99	10221	tribbles homolog 1 (Drosophila)
1958_at	0.0010863	1.21e-06	8.30	5.09067	3.74	1958	early growth response 1
83729_at	0.0010863	1.28e-06	-8.25	5.02754	-2.37	83729	inhibin, beta E
1069_at	0.0010863	1.33e-06	-8.22	4.98739	-1.06	1069	centrin, EF-hand protein, 2
11079_at	0.0010863	1.38e-06	-8.20	4.95268	-3.92e-01	11079	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)
64801_at	0.0013052	1.77e-06	-8.02	4.6902	-5.88e-01	64801	ARV1 homolog (S. cerevisiae)
201161_at	0.0013052	1.80e-06	8.01	4.6716	1.09	201161	centromere protein V
8892_at	0.0015052	2.16e-06	-7.88	4.4803	-5.81e-01	8892	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa
5147_at	0.0018536	2.77e-06	-7.71	4.2195	-6.65e-01	5147	phosphodiesterase 6D, cGMP-specific, rod, delta
8343_at	0.0018536	2.86e-06	-7.68	4.18318	-1.19	8343	histone cluster 1, H2bf
2731_at	0.0018611	3.01e-06	-7.65	4.12972	-9.73e-01	2731	glycine dehydrogenase (decarboxylating)
375035_at	0.0018611	3.08e-06	-7.63	4.10637	-7.36e-01	375035	SFT2 domain containing 2
10541_at	0.0018809	3.22e-06	7.60	4.06077	5.52e-01	10541	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
55745_at	0.0019673	3.54e-06	-7.54	3.95897	-7.21e-01	55745	MU-2/AP1M2 domain containing, death-inducing
55129_at	0.0019673	3.63e-06	-7.52	3.93295	-1.28	55129	anoctamin 10
29997_at	0.0019673	3.71e-06	7.50	3.9101	7.52e-01	29997	glioma tumor suppressor candidate region gene 2
9510_at	0.0019673	3.90e-06	7.47	3.85718	2.26	9510	ADAM metallopeptidase with thrombospondin type 1 motif, 1
1476_at	0.0019673	3.91e-06	-7.47	3.85625	-1.01	1476	cystatin B (stefin B)
4257_at	0.0019936	4.07e-06	-7.44	3.81346	-3.45e-01	4257	microsomal glutathione S-transferase 1
4670_at	0.0020555	4.34e-06	7.40	3.74628	4.48e-01	4670	heterogeneous nuclear ribonucleoprotein M
100287932_at	0.0020555	4.42e-06	-7.39	3.72597	-4.86e-01	100287932	translocase of inner mitochondrial membrane 23 homolog (yeast)
