
Generated at: 2021/03/17 09:54:01
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - 
Micro RNA       - hsa-miR-221-3p
hsa-miR-155-5p
hsa-miR-222-3p
hsa-miR-150-5p
hsa-miR-200b-3p
hsa-miR-31-5p
hsa-miR-143-3p
hsa-miR-10a-5p
hsa-miR-200c-3p
hsa-miR-940
hsa-miR-181d-5p
hsa-miR-200a-3p
hsa-miR-193b-3p
hsa-miR-141-3p
hsa-miR-551b-3p
hsa-miR-1234-3p
Minimum Score   - Very High


Results (19222) 
Gene Symbol,Uniprot,Pseudogene,MicroRNA,Integrated Score,Number of Sources,Score Class,Sources
LMO4,P61968,,hsa-miR-143-3p,0.981198547984712,27,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|MultiMiTar|PACCMIT|PicTar|RepTar|RNA22|RNAhybrid|TargetRank|TargetScan
MYH10,P35580,,hsa-miR-200a-3p,0.972689326388652,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TSHZ3,Q63HK5,,hsa-miR-155-5p,0.963543888001171,22,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|PicTar|PITA|RepTar|RNAhybrid|TargetRank|TargetScan
TOX,O94900,,hsa-miR-222-3p,0.962914925930302,24,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
MAP2K4,P45985,,hsa-miR-200a-3p,0.96193620813521,23,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
ZEB2,O60315,,hsa-miR-200a-3p,0.959255042135533,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank
CDKN1B,P46527,,hsa-miR-222-3p,0.958413774312384,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
DR1,Q01658,,hsa-miR-200a-3p,0.958224994003406,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
ARF4,P18085,,hsa-miR-221-3p,0.956927345557494,23,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
DUSP1,P28562,,hsa-miR-200c-3p,0.956893766383318,20,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
ELOC,Q15369,,hsa-miR-200c-3p,0.955179504782304,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RNAhybrid|TargetRank|TargetScan
VGLL4,Q14135,,hsa-miR-221-3p,0.95511118734197,23,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
ARF4,P18085,,hsa-miR-222-3p,0.950930592332809,22,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
MSI2,Q96DH6,,hsa-miR-143-3p,0.950843540825988,21,Very High,BCmicrO|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TOX,O94900,,hsa-miR-221-3p,0.949258363634135,21,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|TargetRank|TargetScan
NCOR2,Q9Y618,,hsa-miR-10a-5p,0.94900567291449,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
PITX2,Q99697,,hsa-miR-200a-3p,0.9486128382845,22,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
ATXN1,P54253,,hsa-miR-200a-3p,0.947850358477048,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|MultiMiTar|PicTar|RepTar|TargetRank|TargetScan
CUL3,Q13618,,hsa-miR-200a-3p,0.94732902843209,23,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TGFB2,P61812,,hsa-miR-200a-3p,0.945884614890009,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PicTar|RepTar|TargetRank|TargetScan
KLF12,Q9Y4X4,,hsa-miR-200a-3p,0.945852979125165,21,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
CDKN1B,P46527,,hsa-miR-221-3p,0.945568117446662,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TFRC,P02786,,hsa-miR-200a-3p,0.945414703803781,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
FGF7,P21781,,hsa-miR-155-5p,0.945170293734859,20,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
NR4A3,Q92570,,hsa-miR-10a-5p,0.94418194466225,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|PicTar|RepTar|TargetRank|TargetScan
TCF12,Q99081,,hsa-miR-222-3p,0.943610935989622,22,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
FEZ2,Q9UHY8,,hsa-miR-200c-3p,0.943237770168715,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
E2F3,O00716,,hsa-miR-200a-3p,0.942688688941718,22,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
BACH1,O14867,,hsa-miR-155-5p,0.942076593631585,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
WEE1,P30291,,hsa-miR-155-5p,0.941895171622107,22,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
HECTD2,Q5U5R9,,hsa-miR-221-3p,0.941699494495047,22,Very High,BCmicrO|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
PLAG1,Q6DJT9,,hsa-miR-200a-3p,0.941331794794383,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|MirSNP|MirTar|Mirza-G|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TCF12,Q99081,,hsa-miR-221-3p,0.941257328387315,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RNAhybrid|TargetRank|TargetScan
ELAVL2,Q12926,,hsa-miR-200a-3p,0.941131528291239,21,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
SRSF11,Q05519,,hsa-miR-143-3p,0.940949065765615,25,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNA22|RNAhybrid|TargetRank|TargetScan
RAB1A,P62820,,hsa-miR-222-3p,0.940584774756595,21,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
RBM24,Q9BX46,,hsa-miR-221-3p,0.939662682209862,22,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|PicTar|RNAhybrid|TargetRank|TargetScan
TSHZ3,Q63HK5,,hsa-miR-200a-3p,0.939600295193723,21,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
ZMYND11,Q15326,,hsa-miR-10a-5p,0.938176535261764,21,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
