
Generated at: 2021/03/28 20:07:20
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - GADD45G
FADS2
P4HA1
SOCS2
FOSB
IGFBP2
TRHDE
ME1
Micro RNA       - 
Minimum Score   - Very High


Results (274) 
Gene Symbol,Uniprot,Pseudogene,MicroRNA,Integrated Score,Number of Sources,Score Class,Sources
TRHDE,Q9UKU6,,hsa-miR-219a-5p,0.91918387810652,20,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-218-5p,0.918238369538764,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-124-3p,0.883724888077136,17,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RNAhybrid|TargetRank
P4HA1,P13674,,hsa-miR-122-5p,0.87112254824913,19,Very High,CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-200a-3p,0.818536353165215,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-98-5p,0.813839585762287,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-153-3p,0.813254230799204,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|miRTar2GO|Mirza-G|PicTar|RNAhybrid|TargetScan
P4HA1,P13674,,hsa-miR-506-3p,0.813073757911547,17,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-153-3p,0.807359593223324,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30e-5p,0.799255985532705,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|PicTar|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-202-3p,0.797773221812431,17,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank
SOCS2,O14508,,hsa-miR-101-3p,0.796033514059807,17,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-141-3p,0.795858803466581,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-365a-3p,0.784825664304765,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7c-5p,0.783435083909646,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30b-5p,0.78327023502658,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7b-5p,0.783196979266002,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7f-5p,0.782541774856187,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7i-5p,0.781803965075108,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7g-5p,0.781361739536396,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-206,0.776454886707468,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-139-5p,0.766398771962875,19,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-let-7a-5p,0.765647614800787,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-144-3p,0.764953915589812,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-373-3p,0.761794528979337,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7e-5p,0.760214576728436,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30d-5p,0.759687040600003,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30a-5p,0.749976818984853,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-23b-3p,0.746285848859456,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-27a-3p,0.746074975679237,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30b-5p,0.741770668594415,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
FOSB,P53539,,hsa-miR-342-3p,0.736599878320241,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-613,0.736197841548338,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30c-5p,0.735228554343302,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30d-5p,0.732794313639439,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
P4HA1,P13674,,hsa-miR-30a-5p,0.732232150615784,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan|TargetSpy
ME1,P48163,,hsa-miR-30e-5p,0.72876268619092,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-25-3p,0.724621712806141,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-372-3p,0.723156585805914,15,Very High,BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30c-5p,0.71357731865375,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-363-3p,0.710802086918442,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-23a-3p,0.710618195005479,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-133b,0.710051323504008,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-32-5p,0.709772586720058,16,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-1-3p,0.705715534154627,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-520e,0.703246437583966,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-520c-3p,0.700369403518146,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-520d-3p,0.698065060783953,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
P4HA1,P13674,,hsa-miR-495-3p,0.696285586551238,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-200b-3p,0.693237914372422,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-92a-3p,0.692153253145878,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-302d-3p,0.690657209230304,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-200c-3p,0.690484882057361,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-429,0.686627487373497,18,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan|TargetSpy
