
Generated at: 2022/08/07 20:45:44
mirDIP version: 5.1.16.1.
Database version: 5.1.12.1



Gene Symbol     - FOS,IGFBP1,IGFBP2,THBS1,IRS2,SOCS2,UBD,GADD45G,DNMT3L,GOLM1,ANGPTL8,EFHD1,CRISPLD2
Micro RNA       - 
Minimum Score   - Very High


Results (339) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
IRS2	Q9Y4H2		hsa-miR-7-5p	0.917086738343788	17	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|MultiMiTar|PACCMIT|RNA22|TargetScan_v7_2
FOS	P01100		hsa-miR-155-5p	0.898447850276799	15	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|mirbase|miRcode|miRDB_v6|MiRNATIP|MirSNPInTarget|miRTar2GO|mirzag|RNA22|TargetScan_v7_2
THBS1	P07996		hsa-miR-206	0.885022686121252	19	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|mirCoX|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|MultiMiTar|PACCMIT|PITA_May_2021|RNA22|TargetScan_v7_2
FOS	P01100		hsa-miR-221-3p	0.876272078256984	18	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRcode|mirCoX|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT|RNA22|TargetScan_v7_2
GOLM1	Q8NBJ4		hsa-miR-27a-3p	0.873015136860228	13	Very High	BCmicrO|CoMeTa|DIANA|MBStar|MirAncesTar|miRcode|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|PACCMIT|TargetScan_v7_2
THBS1	P07996		hsa-miR-182-5p	0.871307133701027	16	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|MultiMiTar|PACCMIT|PITA_May_2021|TargetScan_v7_2
GOLM1	Q8NBJ4		hsa-miR-27b-3p	0.863296532191966	13	Very High	BCmicrO|CoMeTa|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|PACCMIT|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7c-5p	0.86280654303959	18	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PACCMIT|PITA_May_2021|RNA22|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-miR-448	0.862130963046429	14	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|MultiMiTar|PACCMIT|RNA22|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-miR-200a-3p	0.86042980390363	14	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-miR-98-5p	0.859723028961792	16	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7i-5p	0.85688751636618	17	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PACCMIT|RNA22|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7f-5p	0.855846329113261	16	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
THBS1	P07996		hsa-miR-19a-3p	0.852785863123534	15	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|MultiMiTar|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-miR-141-3p	0.848753068794983	13	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|mirCoX|miRDB_v6|MirTar2|mirzag|PACCMIT|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7g-5p	0.846712472729536	16	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7b-5p	0.843429893544337	16	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|MultiMiTar|PACCMIT|PITA_May_2021|RNA22|TargetScan_v7_2
CRISPLD2	Q9H0B8		hsa-miR-376b-3p	0.842797025622885	15	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
CRISPLD2	Q9H0B8		hsa-miR-376a-3p	0.841490259245587	13	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MirAncesTar|miRDB_v6|MiRNATIP|MirTar2|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
THBS1	P07996		hsa-miR-98-5p	0.840553871798631	15	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|MultiMiTar|RNA22|TargetScan_v7_2
FOS	P01100		hsa-miR-222-3p	0.839971881437643	16	Very High	BCmicrO|CoMeTa|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRcode|mirCoX|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT|RNA22|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7e-5p	0.839878945296435	17	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|MultiMiTar|PACCMIT|PITA_May_2021|RNA22|TargetScan_v7_2
THBS1	P07996		hsa-let-7c-5p	0.832772439846943	16	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PITA_May_2021|RNA22|TargetScan_v7_2
IRS2	Q9Y4H2		hsa-let-7a-5p	0.832001813438879	16	Very High	bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|miRTar2GO|mirzag|MultiMiTar|PACCMIT|RNA22|TargetScan_v7_2
THBS1	P07996		hsa-miR-338-3p	0.82354796171188	15	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRcode|miRDB_v6|mirmap_May_2021|miRTar2GO|MirTar2|mirzag|MultiMiTar|RNA22|TargetScan_v7_2
THBS1	P07996		hsa-miR-1-3p	0.823080402930671	14	Very High	BCmicrO|CoMeTa|Cupid|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|miRTar2GO|MirTar2|mirzag|MultiMiTar|PACCMIT|TargetScan_v7_2
THBS1	P07996		hsa-miR-222-3p	0.822459433856781	17	Very High	BCmicrO|bitargeting_May_2021|CoMeTa|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRcode|mirCoX|miRDB_v6|MiRNATIP|miRTar2GO|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
