
Generated at: 2021/01/12 18:39:16
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - NFIL3
CEBPD
RCAN1
TP53I3
THBS1
FOSB
ME1
GOLM1
EFHD1
TMEM45B
GADD45G
DNMT3L
IGFBP1
FOS
SOCS2
CRISPLD2
Micro RNA       - 
Minimum Score   - Very High


Gene Symbols input verification: (1)
Provided Gene Symbol,Suggestion,Updated Symbol at Database,Correct HUGO notation,HUGO Symbol ID,Approved Gene Symbol (HUGO),Previous Gene Symbol (HUGO),Gene Symbol Synonyms (HUGO)
TP53I3,approved symbol, not in database for selected minimum score,,TP53I3,,,,

Note: Suggested Gene Symbols may not be found in database.


Results (482) 
Gene Symbol,Uniprot,Pseudogene,MicroRNA,Integrated Score,Number of Sources,Score Class,Sources
FOS,P01100,,hsa-miR-101-3p,0.923901959578771,21,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank
FOS,P01100,,hsa-miR-221-3p,0.886153076522164,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-222-3p,0.885723368132796,20,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-181c-5p,0.8695510319265,16,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-144-3p,0.866304847433121,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
GOLM1,Q8NBJ4,,hsa-miR-27a-3p,0.862135544288313,19,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOS,P01100,,hsa-miR-181a-5p,0.853947809148001,14,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
GOLM1,Q8NBJ4,,hsa-miR-27b-3p,0.849647193784791,18,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOS,P01100,,hsa-miR-199a-3p,0.845025831738061,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PicTar|RNAhybrid|TargetScan|TargetSpy
FOS,P01100,,hsa-miR-181b-5p,0.844911516830803,14,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-139-5p,0.839504587012114,19,Very High,BCmicrO|CoMeTa|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PITA|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-19a-3p,0.836704303597171,18,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
FOS,P01100,,hsa-miR-155-5p,0.833274736459143,18,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOS,P01100,,hsa-miR-29c-3p,0.832051810973368,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-29b-3p,0.823804933686682,16,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
THBS1,P07996,,hsa-miR-206,0.823543068077177,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan|TargetSpy
THBS1,P07996,,hsa-miR-19b-3p,0.822813159599721,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-153-3p,0.813254230799204,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|miRTar2GO|Mirza-G|PicTar|RNAhybrid|TargetScan
ME1,P48163,,hsa-miR-153-3p,0.807359593223324,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-182-5p,0.807027324951626,18,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PITA|RepTar|TargetScan
SOCS2,O14508,,hsa-miR-101-3p,0.796033514059807,17,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank
RCAN1,P53805,,hsa-miR-124-3p,0.794151792352458,17,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RNAhybrid|TargetRank
THBS1,P07996,,hsa-miR-144-3p,0.785295231140024,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|TargetRank|TargetScan
