"ID"	"Gene.title"	"Gene.symbol"	"Gene.ID"	"UniGene.title"	"UniGene.symbol"	"UniGene.ID"	"Nucleotide.Title"	"GI"	"GenBank.Accession"	"Platform_CLONEID"	"Platform_ORF"	"Platform_SPOTID"	"Chromosome.location"	"Chromosome.annotation"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"228155_at"	"family with sequence similarity 213 member A"	"FAM213A"	"84293"	""	""	""	"UI-H-BW1-amc-e-06-0-UI.s1 NCI_CGAP_Sub7 Homo sapiens cDNA clone IMAGE:3069418 3-, mRNA sequence"	11597654	"BF512388"	NA	NA	""	"10q23.1"	"Chromosome 10, NC_000010.11 (80407829..80437115)"	"antioxidant activity"	"cellular oxidant detoxification///oxidation-reduction process///regulation of osteoclast differentiation"	"cytoplasm///extracellular exosome///mitochondrion"	"GO:0016209"	"GO:0098869///GO:0055114///GO:0045670"	"GO:0005737///GO:0070062///GO:0005739"	-0.914970556317458	9.3196952265	-6.784490344109	3.34767314183329e-06	0.172590446070139	3.15802991382938
"201368_at"	"ZFP36 ring finger protein like 2"	"ZFP36L2"	"678"	""	""	""	"Human Tis11d gene, complete cds"	984508	"U07802"	NA	NA	""	"2p22.3-p21"	"Chromosome 2, NC_000002.12 (43222402..43226606, complement)"	"AU-rich element binding///DNA binding///mRNA 3'-UTR AU-rich region binding///mRNA 3'-UTR binding///metal ion binding///poly(A) RNA binding///protein binding///transcription factor activity, sequence-specific DNA binding"	"3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///ERK1 and ERK2 cascade///T cell differentiation in thymus///cell proliferation///cellular response to epidermal growth factor stimulus///cellular response to fibroblast growth factor stimulus///cellular response to glucocorticoid stimulus///cellular response to granulocyte macrophage colony-stimulating factor stimulus///cellular response to phorbol 13-acetate 12-myristate///cellular response to transforming growth factor beta stimulus///cellular response to tumor necrosis factor///definitive hemopoiesis///hemopoiesis///mRNA catabolic process///negative regulation of fat cell differentiation///negative regulation of stem cell differentiation///nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///regulation of mRNA stability///regulation of mRNA stability///regulation of transcription, DNA-templated///response to wounding///somatic stem cell division///somatic stem cell population maintenance"	"cytoplasm///cytosol///nucleus"	"GO:0017091///GO:0003677///GO:0035925///GO:0003730///GO:0046872///GO:0044822///GO:0005515///GO:0003700"	"GO:0061158///GO:0061158///GO:0061158///GO:0070371///GO:0033077///GO:0008283///GO:0071364///GO:0044344///GO:0071385///GO:0097011///GO:1904628///GO:0071560///GO:0071356///GO:0060216///GO:0030097///GO:0006402///GO:0045599///GO:2000737///GO:0000288///GO:1900153///GO:0043488///GO:0043488///GO:0006355///GO:0009611///GO:0048103///GO:0035019"	"GO:0005737///GO:0005829///GO:0005634"	-1.02598665866667	10.0666592095	-6.44608246317885	6.31332221564295e-06	0.172590446070139	2.75353128389633
"202429_s_at"	"protein phosphatase 3 catalytic subunit alpha"	"PPP3CA"	"5530"	""	""	""	"Homo sapiens mRNA; cDNA DKFZp761L0516 (from clone DKFZp761L0516)"	7669991	"AL353950"	NA	NA	""	"4q24"	"Chromosome 4, NC_000004.12 (101023430..101347471, complement)"	"calcium ion binding///calmodulin binding///calmodulin binding///calmodulin-dependent protein phosphatase activity///calmodulin-dependent protein phosphatase activity///drug binding///enzyme binding///protein binding///protein dimerization activity///protein heterodimerization activity///protein serine/threonine phosphatase activity"	"Fc-epsilon receptor signaling pathway///G1/S transition of mitotic cell cycle///T cell activation///Wnt signaling pathway, calcium modulating pathway///calcineurin-NFAT signaling cascade///calcium ion transport///cardiac muscle hypertrophy in response to stress///cellular response to drug///cellular response to glucose stimulus///dephosphorylation///excitatory postsynaptic potential///modulation of synaptic transmission///multicellular organismal response to stress///negative regulation of chromatin binding///negative regulation of dendrite morphogenesis///negative regulation of insulin secretion///positive regulation of NFAT protein import into nucleus///positive regulation of cardiac muscle hypertrophy in response to stress///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///protein dephosphorylation///protein dephosphorylation///protein import into nucleus///response to amphetamine///response to calcium ion///skeletal muscle fiber development///transition between fast and slow fiber"	"Z disc///calcineurin complex///calcineurin complex///cytoplasm///cytosol///mitochondrion///nucleoplasm///nucleoplasm///postsynapse///sarcolemma"	"GO:0005509///GO:0005516///GO:0005516///GO:0033192///GO:0033192///GO:0008144///GO:0019899///GO:0005515///GO:0046983///GO:0046982///GO:0004722"	"GO:0038095///GO:0000082///GO:0042110///GO:0007223///GO:0033173///GO:0006816///GO:0014898///GO:0035690///GO:0071333///GO:0016311///GO:0060079///GO:0050804///GO:0033555///GO:0035562///GO:0050774///GO:0046676///GO:0051533///GO:1903244///GO:0051091///GO:0045944///GO:0006470///GO:0006470///GO:0006606///GO:0001975///GO:0051592///GO:0048741///GO:0014883"	"GO:0030018///GO:0005955///GO:0005955///GO:0005737///GO:0005829///GO:0005739///GO:0005654///GO:0005654///GO:0098794///GO:0042383"	-0.88807437726984	7.4941098045	-6.12089015740052	1.17866078077559e-05	0.204810458483873	2.34514061868035
"221575_at"	"selenocysteine lyase"	"SCLY"	"51540"	""	""	""	"Homo sapiens selenocysteine lyase, mRNA (cDNA clone IMAGE:3163969), partial cds"	33875607	"BC000586"	NA	NA	""	"2q37.3"	"Chromosome 2, NC_000002.12 (238060924..238099413)"	"protein binding///selenocysteine lyase activity///transferase activity"	"cellular amino acid metabolic process///selenium compound metabolic process"	"cytosol"	"GO:0005515///GO:0009000///GO:0016740"	"GO:0006520///GO:0001887"	"GO:0005829"	0.964201284888889	6.11078281325	5.99780764254388	1.498384698556e-05	0.204810458483873	2.18549108608458
"222209_s_at"	"transmembrane protein 135"	"TMEM135"	"65084"	""	""	""	"Homo sapiens cDNA FLJ20677 fis, clone KAIA4183"	7020930	"AK000684"	NA	NA	""	"11q14.2"	"Chromosome 11, NC_000011.10 (87037844..87328834)"	""	"peroxisome organization"	"integral component of membrane///peroxisome///peroxisome"	""	"GO:0007031"	"GO:0016021///GO:0005777///GO:0005777"	-0.488750452603174	7.859495281875	-5.78093153229651	2.29831713117841e-05	0.215350963724732	1.89739342696686
"206263_at"	"flavin containing monooxygenase 4"	"FMO4"	"2329"	""	""	""	"Homo sapiens flavin containing monooxygenase 4 (FMO4), mRNA"	751130497	"NM_002022"	NA	NA	""	"1q24.3"	"Chromosome 1, NC_000001.11 (171314131..171342084)"	"N,N-dimethylaniline monooxygenase activity///N,N-dimethylaniline monooxygenase activity///NADP binding///flavin adenine dinucleotide binding"	"drug catabolic process///drug metabolic process///oxidation-reduction process"	"endoplasmic reticulum membrane///integral component of membrane///organelle membrane"	"GO:0004499///GO:0004499///GO:0050661///GO:0050660"	"GO:0042737///GO:0017144///GO:0055114"	"GO:0005789///GO:0016021///GO:0031090"	0.540243623206348	7.953220397375	5.76691490189471	2.36324788723986e-05	0.215350963724732	1.87847648825062
"202992_at"	"complement component 7"	"C7"	"730"	""	""	""	"Homo sapiens complement component 7 (C7), mRNA"	45580687	"NM_000587"	NA	NA	""	"5p13"	"Chromosome 5, NC_000005.10 (40909497..40982939)"	""	"complement activation///complement activation, alternative pathway///complement activation, classical pathway///cytolysis///regulation of complement activation"	"extracellular exosome///extracellular region///membrane attack complex"	""	"GO:0006956///GO:0006957///GO:0006958///GO:0019835///GO:0030449"	"GO:0070062///GO:0005576///GO:0005579"	0.772971430809525	8.2314254303125	5.59645927792972	3.32297532135943e-05	0.259548108136181	1.64555609707574
"221834_at"	"uncharacterized LOC100507577///lon peptidase 2, peroxisomal"	"LOC100507577///LONP2"	"100507577///83752"	""	""	""	"AV700132 GKC Homo sapiens cDNA clone GKCGSE03 3-, mRNA sequence"	10302103	"AV700132"	NA	NA	""	"16q12.1"	"Chromosome 16, NC_000016.10 (48355685..48362999)///Chromosome 16, NC_000016.10 (48244167..48353979)"	"ATP binding///ATP-dependent peptidase activity///enzyme binding///peptidase activity///protease binding///protein binding///receptor binding///serine-type endopeptidase activity"	"misfolded or incompletely synthesized protein catabolic process///peroxisome organization///protein import into peroxisome matrix///protein processing///protein targeting to peroxisome///regulation of fatty acid beta-oxidation///response to organic cyclic compound"	"membrane///nucleus///peroxisomal matrix///peroxisome"	"GO:0005524///GO:0004176///GO:0019899///GO:0008233///GO:0002020///GO:0005515///GO:0005102///GO:0004252"	"GO:0006515///GO:0007031///GO:0016558///GO:0016485///GO:0006625///GO:0031998///GO:0014070"	"GO:0016020///GO:0005634///GO:0005782///GO:0005777"	-0.961126634206346	9.0996861243125	-5.39104718253493	5.03513654072195e-05	0.286418942495451	1.35788001091543
"219596_at"	"THAP domain containing 10"	"THAP10"	"56906"	""	""	""	"Homo sapiens THAP domain containing 10 (THAP10), mRNA"	312922350	"NM_020147"	NA	NA	""	"15q23"	"Chromosome 15, NC_000015.10 (70881342..70892433, complement)"	"DNA binding///metal ion binding///protein binding"	""	""	"GO:0003677///GO:0046872///GO:0005515"	""	""	0.541724742571428	4.029918154875	5.37819800554578	5.16863543080316e-05	0.286418942495451	1.33963405411426
"236551_at"	"zinc finger protein 311"	"ZNF311"	"282890"	""	""	""	"UI-H-BI4-aop-f-04-0-UI.s1 NCI_CGAP_Sub8 Homo sapiens cDNA clone IMAGE:3085591 3-, mRNA sequence"	11591987	"BF508689"	NA	NA	""	"6p22.1"	"Chromosome 6, NC_000006.12 (28994785..29005668, complement)"	"DNA binding///metal ion binding///transcription factor activity, sequence-specific DNA binding"	"regulation of transcription, DNA-templated///transcription, DNA-templated"	"nucleus"	"GO:0003677///GO:0046872///GO:0003700"	"GO:0006355///GO:0006351"	"GO:0005634"	0.294066282206348	3.2164638326875	5.35648684580874	5.40254406829917e-05	0.286418942495451	1.30873747395716
