ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	Description
1959_at	1.17e-05	6.47e-10	15.4	13.01527	4.61	EGR2	early growth response 2
3491_at	1.7e-05	1.88e-09	14.2	11.89811	4.87	CYR61	cysteine-rich, angiogenic inducer, 61
10468_at	0.0001447	2.39e-08	11.6	9.22348	2.95	FST	follistatin
2353_at	0.0002024	4.47e-08	11.0	8.56689	5.8	FOS	FBJ murine osteosarcoma viral oncogene homolog
2354_at	0.0002251	7.29e-08	10.5	8.05092	4.63	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
3725_at	0.0002251	7.45e-08	10.5	8.02769	2.12	JUN	jun oncogene
3484_at	0.0006184	2.48e-07	9.51	6.76085	3.78	IGFBP1	insulin-like growth factor binding protein 1
1316_at	0.0006184	2.73e-07	9.44	6.65921	3.16	KLF6	Kruppel-like factor 6
29960_at	0.0006507	3.23e-07	-9.3	6.48134	-0.768		FtsJ homolog 2 (E. coli)
10121_at	0.0008506	4.69e-07	-9.01	6.08788	-0.409		ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
2597_at	0.0008565	6.14e-07	-8.8	5.80501	-0.477		glyceraldehyde-3-phosphate dehydrogenase
230_at	0.0008565	6.22e-07	-8.79	5.79064	-1.54	ALDOC	aldolase C, fructose-bisphosphate
51506_at	0.0008565	6.73e-07	-8.73	5.70862	-0.377		ubiquitin-fold modifier conjugating enzyme 1
9963_at	0.0008565	6.92e-07	-8.71	5.6783	-1.15	SLC23A1	solute carrier family 23 (nucleobase transporters), member 1
4929_at	0.0008565	7.09e-07	8.69	5.65338	4.59	NR4A2	nuclear receptor subfamily 4, group A, member 2
64834_at	0.0009804	8.66e-07	-8.54	5.44302	-0.661		elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1
1666_at	0.0010765	1.01e-06	-8.43	5.28064	-0.58		2,4-dienoyl CoA reductase 1, mitochondrial
892_at	0.0010848	1.1e-06	-8.37	5.19435	-0.38		cyclin C
10221_at	0.0010848	1.14e-06	8.34	5.1554	1.99	TRIB1	tribbles homolog 1 (Drosophila)
1958_at	0.0010863	1.21e-06	8.3	5.09067	3.74	EGR1	early growth response 1
83729_at	0.0010863	1.28e-06	-8.25	5.02754	-2.37	INHBE	inhibin, beta E
1069_at	0.0010863	1.33e-06	-8.22	4.98739	-1.06	cetn2	centrin, EF-hand protein, 2
11079_at	0.0010863	1.38e-06	-8.2	4.95268	-0.392		RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)
64801_at	0.0013052	1.77e-06	-8.02	4.6902	-0.588		ARV1 homolog (S. cerevisiae)
201161_at	0.0013052	1.8e-06	8.01	4.6716	1.09	cenpv	centromere protein V
8892_at	0.0015052	2.16e-06	-7.88	4.4803	-0.581		eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa
5147_at	0.0018536	2.77e-06	-7.71	4.2195	-0.665		phosphodiesterase 6D, cGMP-specific, rod, delta
8343_at	0.0018536	2.86e-06	-7.68	4.18318	-1.19	Hist1h2bf	histone cluster 1, H2bf
2731_at	0.0018611	3.01e-06	-7.65	4.12972	-0.973		glycine dehydrogenase (decarboxylating)
375035_at	0.0018611	3.08e-06	-7.63	4.10637	-0.736		SFT2 domain containing 2
10541_at	0.0018809	3.22e-06	7.6	4.06077	0.552		acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
55745_at	0.0019673	3.54e-06	-7.54	3.95897	-0.721		MU-2/AP1M2 domain containing, death-inducing
55129_at	0.0019673	3.63e-06	-7.52	3.93295	-1.28	ANO10	anoctamin 10
29997_at	0.0019673	3.71e-06	7.5	3.9101	0.752		glioma tumor suppressor candidate region gene 2
9510_at	0.0019673	3.9e-06	7.47	3.85718	2.26	adamts1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
1476_at	0.0019673	3.91e-06	-7.47	3.85625	-1.01	CSTB	cystatin B (stefin B)
4257_at	0.0019936	4.07e-06	-7.44	3.81346	-0.345		microsomal glutathione S-transferase 1
4670_at	0.0020555	4.34e-06	7.4	3.74628	0.448		heterogeneous nuclear ribonucleoprotein M
100287932_at	0.0020555	4.42e-06	-7.39	3.72597	-0.486		translocase of inner mitochondrial membrane 23 homolog (yeast)
283377_at	0.0023284	5.14e-06	-7.28	3.56831	-0.616		SPRY domain containing 4
4700_at	0.0025007	5.78e-06	-7.21	3.44396	-0.703		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
10327_at	0.0025007	5.8e-06	-7.2	3.442	-0.709		aldo-keto reductase family 1, member A1 (aldehyde reductase)
83953_at	0.0025151	5.97e-06	-7.18	3.41017	-2.44	FCAMR	Fc receptor, IgA, IgM, high affinity
85236_at	0.0025151	6.11e-06	-7.17	3.3871	-1.02	Hist1h2bk	histone cluster 1, H2bk
57019_at	0.0025446	6.39e-06	-7.14	3.33902	-0.604		cytokine induced apoptosis inhibitor 1
3184_at	0.0025446	6.46e-06	7.13	3.32817	0.477		heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
27235_at	0.0026292	6.83e-06	-7.1	3.26939	-0.944		coenzyme Q2 homolog, prenyltransferase (yeast)
29095_at	0.0026292	7.07e-06	-7.07	3.23284	-1.16	ORMDL2	ORM1-like 2 (S. cerevisiae)
36_at	0.0026292	7.11e-06	7.07	3.22742	0.72		acyl-CoA dehydrogenase, short/branched chain
51248_at	0.002829	7.8e-06	-7.01	3.12929	-0.454		PDZ domain containing 11
51300_at	0.0029128	8.2e-06	-6.98	3.07782	-0.364		chromosome 3 open reading frame 1
1155_at	0.0030374	8.91e-06	-6.92	2.98988	-0.454		tubulin folding cofactor B
79135_at	0.0030374	9.04e-06	-6.91	2.97535	-0.869		apolipoprotein O
22822_at	0.0030374	9.29e-06	6.89	2.94602	2.8	PHLDA1	pleckstrin homology-like domain, family A, member 1
353322_at	0.0030374	9.33e-06	6.89	2.94194	2.23	ANKRD37	ankyrin repeat domain 37
1490_at	0.0030374	9.39e-06	6.89	2.93566	3.32	CTGF	connective tissue growth factor
51651_at	0.0031691	9.97e-06	-6.85	2.87254	-0.585		peptidyl-tRNA hydrolase 2
10952_at	0.0032128	1.06e-05	-6.81	2.81284	-0.415		Sec61 beta subunit
8443_at	0.0032128	1.06e-05	-6.81	2.81166	-0.472		glyceronephosphate O-acyltransferase
5707_at	0.0032128	1.08e-05	-6.8	2.78727	-0.668		proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
29034_at	0.0032128	1.08e-05	6.8	2.78699	3.44	CPS1-IT1	hypothetical LOC29034
8660_at	0.0032285	1.12e-05	6.78	2.75434	2.37	IRS2	insulin receptor substrate 2
140576_at	0.0032285	1.12e-05	-6.77	2.74801	-0.5		S100 calcium binding protein A16
51109_at	0.0033016	1.17e-05	-6.74	2.70114	-1.04	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
5721_at	0.0033016	1.18e-05	-6.74	2.69175	-0.471		proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
126295_at	0.0033926	1.24e-05	-6.71	2.6472	-0.573		zinc finger protein 57
51009_at	0.0034033	1.26e-05	-6.7	2.62812	-0.492		Der1-like domain family, member 2
51128_at	0.0034379	1.29e-05	-6.68	2.60199	-0.631		SAR1 homolog B (S. cerevisiae)
11221_at	0.0035064	1.33e-05	6.66	2.56598	1.76	DUSP10	dual specificity phosphatase 10
1843_at	0.003599	1.39e-05	6.64	2.52355	2.43	DUSP1	dual specificity phosphatase 1
9094_at	0.0040624	1.6e-05	-6.55	2.37833	-0.574		unc-119 homolog (C. elegans)
152926_at	0.0040624	1.61e-05	6.54	2.36704	1.53	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K
64400_at	0.0041782	1.68e-05	-6.52	2.32311	-0.788		AKT interacting protein
4645_at	0.0042498	1.74e-05	-6.5	2.29103	-1.4	MYO5B	myosin VB
4191_at	0.0043852	1.83e-05	-6.46	2.23307	-0.423		malate dehydrogenase 2, NAD (mitochondrial)
8799_at	0.0043852	1.84e-05	-6.46	2.23022	-0.407		peroxisomal biogenesis factor 11 beta
284702_at	0.0047895	2.03e-05	6.4	2.12414	1.42		non-protein coding RNA 201
